date,open,high,low,close,volume,suspect
2004-06-01,2.926150,2.926150,2.926150,2.926150,2,False
2004-06-02,2.952250,2.952250,2.952250,2.952250,2,False
2004-06-03,2.980450,2.980450,2.980450,2.980450,2,False
2004-06-04,2.958350,2.958350,2.958350,2.958350,2,False
2004-06-07,2.904750,2.904750,2.904750,2.904750,2,False
2004-06-08,2.925050,2.925050,2.925050,2.925050,2,False
2004-06-09,2.962050,2.962050,2.962050,2.962050,2,False
2004-06-10,2.909950,2.909950,2.909950,2.909950,2,False
2004-06-11,2.892850,2.892850,2.892850,2.892850,2,False
2004-06-14,2.901500,2.901500,2.901500,2.901500,2,False
2004-06-15,2.872000,2.872000,2.872000,2.872000,2,False
2004-06-16,2.905750,2.905750,2.905750,2.905750,2,False
2004-06-17,2.948850,2.948850,2.948850,2.948850,2,False
2004-06-18,2.933350,2.933350,2.933350,2.933350,2,False
2004-06-21,2.913650,2.913650,2.913650,2.913650,2,False
2004-06-22,2.898950,2.898950,2.898950,2.898950,2,False
2004-06-23,2.909750,2.909750,2.909750,2.909750,2,False
2004-06-24,2.874550,2.874550,2.874550,2.874550,2,False
2004-06-25,2.873550,2.873550,2.873550,2.873550,2,False
2004-06-28,2.855250,2.855250,2.855250,2.855250,2,False
2004-06-29,2.864650,2.864650,2.864650,2.864650,2,False
2004-06-30,2.860950,2.860950,2.860950,2.860950,2,False
2004-07-01,2.838850,2.838850,2.838850,2.838850,2,False
2004-07-02,2.828250,2.828250,2.828250,2.828250,2,False
2004-07-05,2.826300,2.826300,2.826300,2.826300,2,False
2004-07-06,2.836100,2.836100,2.836100,2.836100,2,False
2004-07-07,2.826300,2.826300,2.826300,2.826300,2,False
2004-07-08,2.819000,2.819000,2.819000,2.819000,2,False
2004-07-09,2.829950,2.829950,2.829950,2.829950,2,False
2004-07-12,2.817900,2.817900,2.817900,2.817900,2,False
2004-07-13,2.827000,2.827000,2.827000,2.827000,2,False
2004-07-14,2.845300,2.845300,2.845300,2.845300,2,False
2004-07-15,2.848100,2.848100,2.848100,2.848100,2,False
2004-07-16,2.841450,2.841450,2.841450,2.841450,2,False
2004-07-19,2.848000,2.848000,2.848000,2.848000,2,False
2004-07-20,2.832500,2.832500,2.832500,2.832500,2,False
2004-07-21,2.876200,2.876200,2.876200,2.876200,2,False
2004-07-22,2.872300,2.872300,2.872300,2.872300,2,False
2004-07-23,2.882450,2.882450,2.882450,2.882450,2,False
2004-07-26,2.894000,2.894000,2.894000,2.894000,2,False
2004-07-27,2.903150,2.903150,2.903150,2.903150,2,False
2004-07-28,2.901550,2.901550,2.901550,2.901550,2,False
2004-07-29,2.867550,2.867550,2.867550,2.867550,2,False
2004-07-30,2.856950,2.856950,2.856950,2.856950,2,False
2004-08-02,2.855350,2.855350,2.855350,2.855350,2,False
2004-08-03,2.823500,2.823500,2.823500,2.823500,2,False
2004-08-04,2.829200,2.829200,2.829200,2.829200,2,False
2004-08-05,2.832900,2.832900,2.832900,2.832900,2,False
2004-08-06,2.823450,2.823450,2.823450,2.823450,2,False
2004-08-09,2.820300,2.820300,2.820300,2.820300,2,False
2004-08-10,2.799600,2.799600,2.799600,2.799600,2,False
2004-08-11,2.793700,2.793700,2.793700,2.793700,2,False
2004-08-12,2.767900,2.767900,2.767900,2.767900,2,False
2004-08-13,2.766050,2.766050,2.766050,2.766050,2,False
2004-08-16,2.767900,2.767900,2.767900,2.767900,2,False
2004-08-17,2.754200,2.754200,2.754200,2.754200,2,False
2004-08-18,2.745100,2.745100,2.745100,2.745100,2,False
2004-08-19,2.728700,2.728700,2.728700,2.728700,2,False
2004-08-20,2.706350,2.706350,2.706350,2.706350,2,False
2004-08-23,2.733000,2.733000,2.733000,2.733000,2,False
2004-08-24,2.766500,2.766500,2.766500,2.766500,2,False
2004-08-25,2.766500,2.766500,2.766500,2.766500,2,False
2004-08-26,2.757600,2.757600,2.757600,2.757600,2,False
2004-08-27,2.741550,2.741550,2.741550,2.741550,2,False
2004-08-30,2.760200,2.760200,2.760200,2.760200,2,False
2004-08-31,2.750200,2.750200,2.750200,2.750200,2,False
2004-09-01,2.735000,2.735000,2.735000,2.735000,2,False
2004-09-02,2.760550,2.760550,2.760550,2.760550,2,False
2004-09-03,2.750150,2.750150,2.750150,2.750150,2,False
2004-09-06,2.741100,2.741100,2.741100,2.741100,2,False
2004-09-07,2.738700,2.738700,2.738700,2.738700,2,False
2004-09-08,2.749300,2.749300,2.749300,2.749300,2,False
2004-09-09,2.737000,2.737000,2.737000,2.737000,2,False
2004-09-10,2.743550,2.743550,2.743550,2.743550,2,False
2004-09-13,2.734100,2.734100,2.734100,2.734100,2,False
2004-09-14,2.716500,2.716500,2.716500,2.716500,2,False
2004-09-15,2.704650,2.704650,2.704650,2.704650,2,False
2004-09-16,2.715500,2.715500,2.715500,2.715500,2,False
2004-09-17,2.714550,2.714550,2.714550,2.714550,2,False
2004-09-20,2.701800,2.701800,2.701800,2.701800,2,False
2004-09-21,2.706700,2.706700,2.706700,2.706700,2,False
2004-09-22,2.705700,2.705700,2.705700,2.705700,2,False
2004-09-23,2.696700,2.696700,2.696700,2.696700,2,False
2004-09-24,2.700450,2.700450,2.700450,2.700450,2,False
2004-09-27,2.717500,2.717500,2.717500,2.717500,2,False
2004-09-28,2.708400,2.708400,2.708400,2.708400,2,False
2004-09-29,2.685750,2.685750,2.685750,2.685750,2,False
2004-09-30,2.673200,2.673200,2.673200,2.673200,2,False
2004-10-01,2.665250,2.665250,2.665250,2.665250,2,False
2004-10-04,2.664800,2.664800,2.664800,2.664800,2,False
2004-10-05,2.643600,2.643600,2.643600,2.643600,2,False
2004-10-06,2.634400,2.634400,2.634400,2.634400,2,False
2004-10-07,2.632700,2.632700,2.632700,2.632700,2,False
2004-10-08,2.618550,2.618550,2.618550,2.618550,2,False
2004-10-11,2.639600,2.639600,2.639600,2.639600,2,False
2004-10-12,2.639800,2.639800,2.639800,2.639800,2,False
2004-10-13,2.651800,2.651800,2.651800,2.651800,2,False
2004-10-14,2.640200,2.640200,2.640200,2.640200,2,False
2004-10-15,2.624150,2.624150,2.624150,2.624150,2,False
2004-10-18,2.625200,2.625200,2.625200,2.625200,2,False
2004-10-19,2.631400,2.631400,2.631400,2.631400,2,False
2004-10-20,2.632100,2.632100,2.632100,2.632100,2,False
2004-10-21,2.636800,2.636800,2.636800,2.636800,2,False
2004-10-22,2.626400,2.626400,2.626400,2.626400,2,False
2004-10-25,2.628450,2.628450,2.628450,2.628450,2,False
2004-10-26,2.631900,2.631900,2.631900,2.631900,2,False
2004-10-27,2.659550,2.659550,2.659550,2.659550,2,False
2004-10-28,2.678050,2.678050,2.678050,2.678050,2,False
2004-10-29,2.685950,2.685950,2.685950,2.685950,2,False
2004-11-01,2.681800,2.681800,2.681800,2.681800,2,False
2004-11-02,2.682100,2.682100,2.682100,2.682100,2,False
2004-11-03,2.679650,2.679650,2.679650,2.679650,2,False
2004-11-04,2.669950,2.669950,2.669950,2.669950,2,False
2004-11-05,2.670100,2.670100,2.670100,2.670100,2,False
2004-11-08,2.684500,2.684500,2.684500,2.684500,2,False
2004-11-09,2.693400,2.693400,2.693400,2.693400,2,False
2004-11-10,2.701750,2.701750,2.701750,2.701750,2,False
2004-11-11,2.678750,2.678750,2.678750,2.678750,2,False
2004-11-12,2.677850,2.677850,2.677850,2.677850,2,False
2004-11-15,2.636450,2.636450,2.636450,2.636450,2,False
2004-11-16,2.648450,2.648450,2.648450,2.648450,2,False
2004-11-17,2.626050,2.626050,2.626050,2.626050,2,False
2004-11-18,2.621250,2.621250,2.621250,2.621250,2,False
2004-11-19,2.620400,2.620400,2.620400,2.620400,2,False
2004-11-22,2.621150,2.621150,2.621150,2.621150,2,False
2004-11-23,2.623050,2.623050,2.623050,2.623050,2,False
2004-11-24,2.646050,2.646050,2.646050,2.646050,2,False
2004-11-25,2.639250,2.639250,2.639250,2.639250,2,False
2004-11-26,2.642500,2.642500,2.642500,2.642500,2,False
2004-11-29,2.646450,2.646450,2.646450,2.646450,2,False
2004-11-30,2.672650,2.672650,2.672650,2.672650,2,False
2004-12-01,2.692750,2.692750,2.692750,2.692750,2,False
2004-12-02,2.688250,2.688250,2.688250,2.688250,2,False
2004-12-03,2.694000,2.694000,2.694000,2.694000,2,False
2004-12-06,2.695750,2.695750,2.695750,2.695750,2,False
2004-12-07,2.712150,2.712150,2.712150,2.712150,2,False
2004-12-08,2.705650,2.705650,2.705650,2.705650,2,False
2004-12-09,2.714350,2.714350,2.714350,2.714350,2,False
2004-12-10,2.718500,2.718500,2.718500,2.718500,2,False
2004-12-13,2.712350,2.712350,2.712350,2.712350,2,False
2004-12-14,2.720000,2.720000,2.720000,2.720000,2,False
2004-12-15,2.705900,2.705900,2.705900,2.705900,2,False
2004-12-16,2.718250,2.718250,2.718250,2.718250,2,False
2004-12-17,2.718300,2.718300,2.718300,2.718300,2,False
2004-12-20,2.714650,2.714650,2.714650,2.714650,2,False
2004-12-21,2.715250,2.715250,2.715250,2.715250,2,False
2004-12-22,2.688350,2.688350,2.688350,2.688350,2,False
2004-12-23,2.699400,2.699400,2.699400,2.699400,2,False
2004-12-24,2.681800,2.681800,2.681800,2.681800,2,False
