date,open,high,low,close,volume,suspect
2002-06-03,123.590000,123.590000,123.590000,123.590000,1,False
2002-06-04,124.120000,124.120000,124.120000,124.120000,1,False
2002-06-05,124.380000,124.380000,124.380000,124.380000,1,False
2002-06-06,124.070000,124.070000,124.070000,124.070000,1,False
2002-06-07,124.330000,124.330000,124.330000,124.330000,1,False
2002-06-10,124.720000,124.720000,124.720000,124.720000,1,False
2002-06-11,125.260000,125.260000,125.260000,125.260000,1,False
2002-06-12,125.680000,125.680000,125.680000,125.680000,1,False
2002-06-13,124.870000,124.870000,124.870000,124.870000,1,False
2002-06-14,124.100000,124.100000,124.100000,124.100000,1,False
2002-06-17,124.330000,124.330000,124.330000,124.330000,1,False
2002-06-18,124.350000,124.350000,124.350000,124.350000,1,False
2002-06-19,123.900000,123.900000,123.900000,123.900000,1,False
2002-06-20,123.460000,123.460000,123.460000,123.460000,1,False
2002-06-21,121.340000,121.340000,121.340000,121.340000,1,False
2002-06-24,121.850000,121.850000,121.850000,121.850000,1,False
2002-06-25,121.330000,121.330000,121.330000,121.330000,1,False
2002-06-26,120.030000,120.030000,120.030000,120.030000,1,False
2002-06-27,119.540000,119.540000,119.540000,119.540000,1,False
2002-06-28,119.430000,119.430000,119.430000,119.430000,1,False
2002-07-01,119.640000,119.640000,119.640000,119.640000,1,False
2002-07-02,119.890000,119.890000,119.890000,119.890000,1,False
2002-07-03,119.780000,119.780000,119.780000,119.780000,1,False
2002-07-04,119.950000,119.950000,119.950000,119.950000,1,False
2002-07-05,120.340000,120.340000,120.340000,120.340000,1,False
2002-07-08,118.370000,118.370000,118.370000,118.370000,1,False
2002-07-09,118.010000,118.010000,118.010000,118.010000,1,False
2002-07-10,117.630000,117.630000,117.630000,117.630000,1,False
2002-07-11,116.930000,116.930000,116.930000,116.930000,1,False
2002-07-12,116.800000,116.800000,116.800000,116.800000,1,False
2002-07-15,116.360000,116.360000,116.360000,116.360000,1,False
2002-07-16,115.920000,115.920000,115.920000,115.920000,1,False
2002-07-17,116.300000,116.300000,116.300000,116.300000,1,False
2002-07-18,116.560000,116.560000,116.560000,116.560000,1,False
2002-07-19,115.830000,115.830000,115.830000,115.830000,1,False
2002-07-22,116.190000,116.190000,116.190000,116.190000,1,False
2002-07-23,117.540000,117.540000,117.540000,117.540000,1,False
2002-07-24,116.720000,116.720000,116.720000,116.720000,1,False
2002-07-25,116.380000,116.380000,116.380000,116.380000,1,False
