date,open,high,low,close
2003-06-02,2.483300,2.485300,2.456100,2.463900
2003-06-03,2.463400,2.470800,2.448300,2.456800
2003-06-04,2.457300,2.498900,2.454100,2.490700
2003-06-05,2.489700,2.528300,2.473300,2.524500
2003-06-08,2.519600,2.533400,2.493400,2.502800
2003-06-09,2.502300,2.522800,2.497400,2.518300
2003-06-10,2.517900,2.529100,2.508300,2.509000
2003-06-11,2.512900,2.524700,2.502500,2.506000
2003-06-12,2.503900,2.520300,2.491000,2.497200
2003-06-15,2.502900,2.530800,2.495500,2.508800
2003-06-16,2.509200,2.526100,2.504600,2.513000
2003-06-17,2.511100,2.516200,2.488400,2.494000
2003-06-18,2.495100,2.517200,2.491400,2.502800
2003-06-19,2.502100,2.505900,2.484000,2.491800
2003-06-22,2.489400,2.517200,2.484100,2.511100
2003-06-23,2.512800,2.516000,2.500600,2.504000
2003-06-24,2.504000,2.508000,2.487600,2.499900
2003-06-25,2.499600,2.506800,2.479900,2.498100
2003-06-26,2.498300,2.498700,2.468800,2.476300
2003-06-29,2.474100,2.481900,2.452600,2.459200
2003-06-30,2.459900,2.462300,2.442100,2.461700
2003-07-01,2.460000,2.463400,2.438800,2.444800
2003-07-02,2.444400,2.453200,2.437800,2.450300
2003-07-03,2.450500,2.459400,2.441400,2.456100
2003-07-06,2.454300,2.455300,2.417700,2.432700
2003-07-07,2.434500,2.487700,2.425700,2.473800
2003-07-08,2.473700,2.497100,2.456500,2.492000
2003-07-09,2.491200,2.515300,2.476800,2.486200
2003-07-10,2.486900,2.495200,2.464700,2.471900
2003-07-13,2.476200,2.479100,2.439600,2.449300
2003-07-14,2.449100,2.459900,2.437300,2.447300
2003-07-15,2.448400,2.448600,2.422400,2.437000
2003-07-16,2.436100,2.471700,2.427800,2.462400
2003-07-17,2.463000,2.466600,2.447300,2.456000
2003-07-20,2.437000,2.459400,2.433800,2.454100
2003-07-21,2.453900,2.460100,2.443300,2.452200
2003-07-22,2.450600,2.454900,2.430100,2.437000
2003-07-23,2.436600,2.436600,2.418700,2.426500
2003-07-24,2.424700,2.445000,2.424700,2.442700
2003-07-27,2.441600,2.454400,2.438900,2.450800
2003-07-28,2.450900,2.453200,2.434700,2.447500
2003-07-29,2.446900,2.482600,2.444800,2.472000
2003-07-30,2.473300,2.487100,2.467100,2.477800
2003-07-31,2.480300,2.488500,2.451100,2.471900
2003-08-03,2.470500,2.502100,2.466500,2.485300
2003-08-04,2.488300,2.513000,2.480000,2.491500
2003-08-05,2.489600,2.494000,2.473000,2.483100
2003-08-06,2.482000,2.493300,2.469800,2.484600
