date,open,high,low,close
2003-12-01,0.831270,0.840170,0.830620,0.837870
2003-12-02,0.838020,0.841840,0.836390,0.836980
2003-12-03,0.837820,0.844390,0.837060,0.839770
2003-12-04,0.839770,0.849390,0.838200,0.845830
2003-12-05,0.845770,0.847450,0.839380,0.839820
2003-12-08,0.841260,0.845820,0.838180,0.838760
2003-12-09,0.839240,0.849260,0.839050,0.847310
2003-12-10,0.847030,0.850860,0.845200,0.847290
2003-12-11,0.846970,0.856440,0.845500,0.852630
2003-12-12,0.852640,0.857240,0.849050,0.850350
2003-12-15,0.853420,0.858520,0.850110,0.852610
2003-12-16,0.851960,0.864810,0.849920,0.862370
2003-12-17,0.862840,0.869030,0.854760,0.857510
2003-12-18,0.857480,0.864220,0.855680,0.863350
2003-12-19,0.863980,0.864940,0.858170,0.861640
2003-12-22,0.858170,0.862670,0.851910,0.852560
2003-12-23,0.852850,0.868240,0.844420,0.849670
2003-12-24,0.849630,0.855400,0.844120,0.845990
2003-12-25,0.845950,0.850820,0.844770,0.846020
2003-12-26,0.845800,0.849310,0.843480,0.847090
2003-12-29,0.847530,0.854520,0.846920,0.851190
2003-12-30,0.851850,0.857290,0.843610,0.848750
2003-12-31,0.848810,0.852690,0.842480,0.851730
2004-01-01,0.850560,0.851730,0.841260,0.847880
2004-01-02,0.848630,0.852640,0.844690,0.851740
2004-01-05,0.850780,0.862860,0.847930,0.858910
2004-01-06,0.858890,0.866130,0.855790,0.862380
2004-01-07,0.863080,0.866880,0.860520,0.864490
2004-01-08,0.864320,0.870680,0.861510,0.865890
2004-01-09,0.865820,0.873890,0.862700,0.869040
2004-01-12,0.867700,0.872630,0.865440,0.867840
2004-01-13,0.867300,0.878430,0.866530,0.870340
2004-01-14,0.870760,0.881410,0.851060,0.875310
2004-01-15,0.876380,0.879450,0.867880,0.870710
2004-01-16,0.871520,0.875430,0.862250,0.863260
2004-01-19,0.863770,0.863770,0.849010,0.852360
2004-01-20,0.851970,0.862310,0.851070,0.860520
2004-01-21,0.860090,0.876140,0.857170,0.872890
2004-01-22,0.873090,0.880720,0.871990,0.875710
2004-01-23,0.875950,0.887730,0.875140,0.882120
2004-01-26,0.882910,0.885620,0.876730,0.877790
2004-01-27,0.877850,0.887290,0.876310,0.885690
2004-01-28,0.885230,0.899420,0.882940,0.893310
2004-01-29,0.893030,0.898550,0.887930,0.889880
2004-01-30,0.890440,0.895230,0.883610,0.893870
2004-02-02,0.892340,0.903450,0.889720,0.898920
2004-02-03,0.908780,0.912110,0.906290,0.907910
2004-02-04,0.907790,0.912110,0.906290,0.908740
2004-02-05,0.908780,0.920690,0.907670,0.916720
2004-02-06,0.917080,0.922570,0.914740,0.917410
2004-02-09,0.914530,0.926480,0.914530,0.924230
2004-02-10,0.923970,0.932200,0.923580,0.926250
2004-02-11,0.926330,0.928100,0.918580,0.919220
2004-02-12,0.919220,0.923280,0.917770,0.920070
2004-02-13,0.920690,0.929280,0.919750,0.921280
