date,open,high,low,close
2003-09-16,1.381400,1.384000,1.374300,1.380700
2003-09-17,1.380200,1.386800,1.374700,1.385800
2003-09-18,1.385600,1.386500,1.365300,1.366900
2003-09-21,1.356300,1.363200,1.350200,1.352800
2003-09-22,1.352700,1.359700,1.341900,1.358700
2003-09-23,1.358400,1.359300,1.340700,1.352000
2003-09-24,1.351900,1.354200,1.341200,1.344700
2003-09-25,1.344500,1.348700,1.341000,1.342500
2003-09-28,1.345300,1.359400,1.319800,1.323600
2003-09-29,1.322800,1.333600,1.309700,1.317500
2003-09-30,1.317400,1.322500,1.311700,1.315200
2003-10-01,1.314600,1.321200,1.310600,1.318100
2003-10-02,1.318600,1.338500,1.315700,1.336700
2003-10-05,1.335900,1.338900,1.317800,1.319400
2003-10-06,1.319500,1.321300,1.311100,1.314200
2003-10-07,1.314100,1.316300,1.306400,1.310900
2003-10-08,1.310800,1.323800,1.305100,1.317900
2003-10-09,1.317300,1.328500,1.306200,1.313200
2003-10-12,1.310500,1.327300,1.310200,1.322800
2003-10-13,1.322600,1.335400,1.313400,1.316400
2003-10-14,1.316300,1.333800,1.315000,1.331000
2003-10-15,1.330900,1.337200,1.322000,1.334600
2003-10-16,1.334600,1.344400,1.326200,1.326600
2003-10-19,1.326200,1.337500,1.325700,1.332000
2003-10-20,1.332700,1.336600,1.326600,1.330200
2003-10-21,1.330500,1.338800,1.311300,1.311500
2003-10-22,1.312300,1.316500,1.304700,1.309000
2003-10-23,1.309400,1.315300,1.303300,1.312400
2003-10-27,1.315900,1.319300,1.312700,1.317900
2003-10-28,1.318200,1.332000,1.311000,1.331200
2003-10-29,1.331500,1.332100,1.322000,1.330500
2003-10-30,1.330500,1.334700,1.317300,1.333600
2003-10-31,1.332500,1.342400,1.330100,1.338200
2003-11-03,1.339800,1.364000,1.336500,1.359800
2003-11-04,1.360100,1.365400,1.357300,1.364300
2003-11-05,1.364200,1.372000,1.360700,1.370800
2003-11-06,1.370600,1.378300,1.361000,1.377900
2003-11-07,1.377900,1.379800,1.360400,1.366900
2003-11-10,1.367300,1.374700,1.362500,1.374100
2003-11-11,1.374100,1.374900,1.358700,1.362300
2003-11-12,1.362200,1.362500,1.345000,1.349400
2003-11-13,1.349400,1.350900,1.334300,1.335200
2003-11-14,1.335300,1.337600,1.325700,1.326700
2003-11-17,1.319800,1.328400,1.317300,1.325200
2003-11-18,1.325000,1.326000,1.291000,1.293700
2003-11-19,1.293600,1.309100,1.290300,1.305600
2003-11-20,1.305800,1.309500,1.292300,1.300700
2003-11-21,1.300600,1.304000,1.294600,1.298300
2003-11-24,1.298600,1.321000,1.296600,1.318500
2003-11-25,1.318400,1.321700,1.314100,1.319400
2003-11-26,1.319300,1.319300,1.291600,1.294100
2003-11-27,1.294200,1.302300,1.293900,1.298900
2003-11-28,1.298900,1.300300,1.287900,1.291100
2003-12-01,1.287100,1.301000,1.286500,1.298100
2003-12-02,1.297900,1.303700,1.284500,1.287200
2003-12-03,1.287200,1.291100,1.282100,1.285200
2003-12-04,1.285600,1.295800,1.280300,1.288500
2003-12-05,1.288300,1.291600,1.272400,1.272400
2003-12-08,1.275100,1.278000,1.263300,1.267400
2003-12-09,1.267300,1.270100,1.259300,1.263200
2003-12-10,1.263200,1.274000,1.260200,1.269000
2003-12-11,1.269100,1.281200,1.266300,1.268900
2003-12-12,1.269000,1.271000,1.251100,1.261900
2003-12-15,1.274900,1.275700,1.259400,1.260500
2003-12-16,1.260900,1.268700,1.256400,1.259400
2003-12-17,1.259800,1.267300,1.251200,1.253800
2003-12-18,1.253900,1.267800,1.247700,1.250000
2003-12-19,1.250200,1.260100,1.248900,1.254800
2003-12-22,1.257100,1.258400,1.249400,1.257500
2003-12-23,1.257900,1.260100,1.254600,1.256700
2003-12-24,1.256800,1.259000,1.245000,1.247800
2003-12-25,1.247300,1.249400,1.245900,1.247700
2003-12-26,1.247400,1.255600,1.245600,1.254900
2003-12-29,1.253700,1.259200,1.245600,1.249600
2003-12-30,1.249500,1.253000,1.240400,1.242600
2003-12-31,1.242300,1.246600,1.231200,1.236600
2004-01-01,1.236600,1.245100,1.236100,1.240300
2004-01-02,1.240100,1.245600,1.234500,1.240000
2004-01-05,1.235600,1.235600,1.228300,1.232000
2004-01-06,1.231900,1.233500,1.224300,1.231900
2004-01-07,1.232100,1.241100,1.230500,1.239500
2004-01-08,1.239600,1.248600,1.224000,1.226600
2004-01-09,1.226700,1.233000,1.216200,1.221200
2004-01-12,1.219300,1.229600,1.214000,1.227700
2004-01-13,1.227500,1.230100,1.219200,1.219500
2004-01-14,1.219900,1.235400,1.213000,1.232000
2004-01-15,1.232100,1.247000,1.230400,1.243100
2004-01-16,1.243200,1.269100,1.242400,1.263700
2004-01-19,1.266300,1.271900,1.262900,1.270600
2004-01-20,1.270900,1.271100,1.244700,1.245700
2004-01-21,1.246300,1.250500,1.236500,1.237500
2004-01-22,1.237700,1.241000,1.229500,1.231900
2004-01-23,1.232100,1.246400,1.227500,1.241400
2004-01-26,1.243200,1.258100,1.240500,1.255000
2004-01-27,1.255200,1.258800,1.237800,1.240000
2004-01-28,1.240100,1.260100,1.239300,1.257900
2004-01-29,1.258000,1.263600,1.247900,1.259100
2004-01-30,1.259100,1.265600,1.251400,1.252500
2004-02-02,1.256900,1.265700,1.255500,1.261000
2004-02-03,1.261400,1.262700,1.242500,1.248300
2004-02-04,1.248800,1.254900,1.247300,1.250500
2004-02-05,1.250400,1.252000,1.240100,1.248200
2004-02-06,1.247900,1.254400,1.230500,1.234900
2004-02-09,1.238800,1.239400,1.229600,1.235400
2004-02-10,1.235300,1.239400,1.225900,1.237500
2004-02-11,1.237300,1.242800,1.227200,1.229200
2004-02-12,1.228800,1.232600,1.227000,1.230000
2004-02-13,1.229900,1.240100,1.223900,1.238900
2004-02-16,1.237700,1.238900,1.231700,1.234200
2004-02-17,1.234300,1.235000,1.222300,1.225500
2004-02-18,1.225300,1.244000,1.218300,1.238000
2004-02-19,1.237700,1.246200,1.233600,1.234900
2004-02-20,1.234700,1.264300,1.234300,1.259700
2004-02-23,1.262600,1.266600,1.253100,1.255100
2004-02-24,1.255000,1.259800,1.237600,1.242400
2004-02-25,1.242200,1.261500,1.239200,1.259000
2004-02-26,1.259100,1.270500,1.257300,1.266200
2004-02-27,1.266500,1.275600,1.260700,1.261400
2004-03-01,1.257600,1.270700,1.256300,1.268400
2004-03-02,1.268500,1.298500,1.267200,1.297400
2004-03-03,1.297200,1.307500,1.290900,1.293600
2004-03-04,1.293800,1.300800,1.289200,1.291900
2004-03-05,1.291700,1.295900,1.268200,1.278200
2004-03-08,1.276600,1.281000,1.271700,1.271800
2004-03-09,1.272000,1.285300,1.267500,1.281400
2004-03-10,1.281100,1.291900,1.277000,1.287800
2004-03-11,1.287000,1.292200,1.262800,1.266800
2004-03-12,1.266600,1.287300,1.265300,1.283300
2004-03-15,1.280300,1.282500,1.270000,1.274300
2004-03-16,1.274600,1.280500,1.266100,1.278700
2004-03-17,1.279300,1.285800,1.273600,1.278200
2004-03-18,1.278300,1.278300,1.252800,1.257000
2004-03-19,1.256600,1.273600,1.255700,1.269700
2004-03-22,1.269900,1.275900,1.253500,1.256700
2004-03-23,1.256500,1.265000,1.252000,1.256500
2004-03-24,1.256400,1.279000,1.254400,1.276600
2004-03-25,1.276600,1.282100,1.272500,1.279900
2004-03-26,1.279800,1.288800,1.273900,1.283700
2004-03-28,1.285000,1.290400,1.281900,1.283600
2004-03-29,1.283500,1.284600,1.275600,1.281000
