date,open,high,low,close,suspect,suspect_spike,suspect_flat
2003-12-01,2.237500,2.249000,2.234100,2.241100,False,False,False
2003-12-02,2.241300,2.249200,2.239300,2.242000,False,False,False
2003-12-03,2.241900,2.249500,2.236900,2.245900,False,False,False
2003-12-04,2.245600,2.263800,2.243000,2.255100,False,False,False
2003-12-05,2.255400,2.261200,2.245500,2.257400,False,False,False
2003-12-08,2.255700,2.263700,2.245300,2.248100,False,False,False
2003-12-09,2.248400,2.287000,2.247200,2.281400,False,False,False
2003-12-10,2.280400,2.287700,2.273300,2.277300,False,False,False
2003-12-11,2.277100,2.317300,2.275900,2.297800,False,False,False
2003-12-12,2.298100,2.307400,2.288000,2.294400,False,False,False
2003-12-15,2.300500,2.305100,2.286400,2.293600,False,False,False
2003-12-16,2.293400,2.330400,2.290500,2.325800,False,False,False
2003-12-17,2.324800,2.345700,2.324800,2.341500,False,False,False
2003-12-18,2.341700,2.361200,2.335300,2.358700,False,False,False
2003-12-19,2.358900,2.368900,2.352100,2.361000,False,False,False
2003-12-22,2.355300,2.361300,2.341900,2.346400,False,False,False
2003-12-23,2.346400,2.349800,2.326500,2.328400,False,False,False
2003-12-24,2.329600,2.334400,2.312800,2.319200,False,False,False
2003-12-25,2.319300,2.329300,2.316400,2.321300,False,False,False
2003-12-26,2.324800,2.325900,2.311200,2.320200,False,False,False
2003-12-29,2.324300,2.334000,2.316200,2.322000,False,False,False
2003-12-30,2.322000,2.329400,2.296000,2.300000,False,False,False
2003-12-31,2.300100,2.320300,2.296700,2.320100,False,False,False
2004-01-01,2.320100,2.320100,2.291300,2.311900,False,False,False
2004-01-02,2.312000,2.318000,2.299000,2.318000,False,False,False
2004-01-05,2.309300,2.318300,2.302700,2.314000,False,False,False
2004-01-06,2.314900,2.344000,2.311000,2.341800,False,False,False
2004-01-07,2.342700,2.348100,2.335300,2.343600,False,False,False
2004-01-08,2.343700,2.349500,2.338200,2.344700,False,False,False
2004-01-09,2.344700,2.355100,2.336100,2.339900,False,False,False
2004-01-12,2.348000,2.362600,2.345200,2.353800,False,False,False
2004-01-13,2.354600,2.360100,2.339900,2.349300,False,False,False
2004-01-14,2.349400,2.372900,2.331400,2.360600,False,False,False
2004-01-15,2.363600,2.366600,2.353900,2.363000,False,False,False
2004-01-16,2.363700,2.364800,2.330200,2.335000,False,False,False
2004-01-19,2.337600,2.343200,2.316900,2.320500,False,False,False
2004-01-20,2.320700,2.351200,2.320200,2.348700,False,False,False
2004-01-21,2.348600,2.387900,2.344200,2.381900,False,False,False
2004-01-22,2.382500,2.400300,2.381100,2.385600,False,False,False
2004-01-23,2.386400,2.423000,2.384800,2.396900,False,False,False
2004-01-26,2.397000,2.399600,2.378300,2.381800,False,False,False
2004-01-27,2.381400,2.386900,2.363300,2.385700,False,False,False
2004-01-28,2.385800,2.427100,2.381700,2.407100,False,False,False
2004-01-29,2.406500,2.427900,2.406500,2.415400,False,False,False
2004-01-30,2.414900,2.429000,2.400800,2.415400,False,False,False
2004-02-02,2.418800,2.438300,2.413400,2.434400,False,False,False
2004-02-03,2.443000,2.465900,2.437100,2.456000,False,False,False
2004-02-04,2.456000,2.465900,2.437100,2.442900,False,False,False
2004-02-05,2.443000,2.459200,2.441600,2.455000,False,False,False
2004-02-06,2.456600,2.463400,2.439200,2.439500,False,False,False
2004-02-09,2.451600,2.473500,2.449000,2.469300,False,False,False
2004-02-10,2.469300,2.490200,2.463800,2.484100,False,False,False
2004-02-11,2.484500,2.495100,2.480000,2.489200,False,False,False
2004-02-12,2.487300,2.498300,2.486300,2.495800,False,False,False
2004-02-13,2.495600,2.504200,2.472300,2.490700,False,False,False
2004-02-16,2.482100,2.490200,2.476000,2.486400,False,False,False
2004-02-17,2.487600,2.499400,2.478900,2.496200,False,False,False
2004-02-18,2.500000,2.509000,2.495500,2.502900,False,False,False
2004-02-19,2.503400,2.525500,2.497300,2.521400,False,False,False
2004-02-20,2.522300,2.524500,2.482000,2.487400,False,False,False
2004-02-23,2.486600,2.503500,2.476300,2.493600,False,False,False
2004-02-24,2.493500,2.514900,2.488600,2.510700,False,False,False
2004-02-25,2.510700,2.523000,2.492100,2.499800,False,False,False
2004-02-26,2.500800,2.510300,2.486500,2.502800,False,False,False
2004-02-27,2.502900,2.507800,2.486700,2.494800,False,False,False
2004-03-01,2.500700,2.504600,2.492300,2.498100,False,False,False
2004-03-02,2.498000,2.505200,2.464800,2.469400,False,False,False
2004-03-03,2.469400,2.486900,2.438800,2.450700,False,False,False
2004-03-04,2.450400,2.459800,2.426000,2.430500,False,False,False
2004-03-05,2.429800,2.442400,2.422000,2.438700,False,False,False
2004-03-08,2.438100,2.457900,2.433800,2.441400,False,False,False
2004-03-09,2.441600,2.451400,2.411600,2.418700,False,False,False
2004-03-10,2.441600,2.451400,2.384700,2.388100,False,False,False
2004-03-11,2.388600,2.394700,2.375400,2.383500,False,False,False
2004-03-12,2.383500,2.409300,2.368100,2.405500,False,False,False
2004-03-15,2.401100,2.412200,2.389700,2.405900,False,False,False
2004-03-16,2.405600,2.421400,2.401600,2.415800,False,False,False
2004-03-17,2.416200,2.435300,2.409700,2.432600,False,False,False
2004-03-18,2.432400,2.446400,2.429800,2.434100,False,False,False
2004-03-19,2.433900,2.446200,2.428200,2.442900,False,False,False
2004-03-22,2.445400,2.464900,2.436800,2.462800,False,False,False
2004-03-23,2.462900,2.467900,2.451700,2.466300,False,False,False
2004-03-24,2.466500,2.468100,2.442500,2.442800,False,False,False
2004-03-25,2.442700,2.445800,2.400600,2.404400,False,False,False
2004-03-26,2.404600,2.412600,2.383600,2.395900,False,False,False
2004-03-29,2.381400,2.392300,2.377900,2.386300,False,False,False
2004-03-30,2.385500,2.421100,2.383200,2.413500,False,False,False
2004-03-31,2.414000,2.448000,2.413700,2.426100,False,False,False
2004-04-01,2.426900,2.427400,2.399400,2.401900,False,False,False
2004-04-02,2.401400,2.409400,2.380100,2.396500,False,False,False
2004-04-05,2.396100,2.417500,2.391700,2.416600,False,False,False
2004-04-06,2.416500,2.426300,2.399500,2.410900,False,False,False
2004-04-07,2.412200,2.438300,2.408000,2.428000,False,False,False
2004-04-08,2.427900,2.440400,2.427600,2.432700,False,False,False
2004-04-09,2.430000,2.458000,2.429400,2.439300,False,False,False
2004-04-12,2.439800,2.458300,2.419500,2.426800,False,False,False
2004-04-13,2.426600,2.428800,2.402100,2.404000,False,False,False
2004-04-14,2.403600,2.412100,2.388000,2.406800,False,False,False
2004-04-15,2.407100,2.426200,2.398000,2.416100,False,False,False
2004-04-16,2.419000,2.438000,2.417800,2.430700,False,False,False
2004-04-19,2.407100,2.435400,2.398000,2.420000,False,False,False
2004-04-20,2.420100,2.426100,2.402200,2.404700,False,False,False
2004-04-21,2.405500,2.412200,2.395300,2.405200,False,False,False
2004-04-22,2.405600,2.413500,2.396500,2.409700,False,False,False
2004-04-23,2.410700,2.423400,2.406400,2.412700,False,False,False
2004-04-26,2.413000,2.423500,2.407300,2.422100,False,False,False
2004-04-27,2.422300,2.437300,2.411700,2.433900,False,False,False
2004-04-28,2.433900,2.438100,2.414200,2.431900,False,False,False
2004-04-29,2.431500,2.449300,2.423900,2.437700,False,False,False
2004-04-30,2.440200,2.444000,2.427800,2.430900,False,False,False
2004-05-03,2.430400,2.465000,2.428500,2.462100,False,False,False
2004-05-04,2.461800,2.471400,2.453700,2.457100,False,False,False
2004-05-05,2.459200,2.477300,2.452400,2.470100,False,False,False
2004-05-06,2.470400,2.485800,2.465800,2.475200,False,False,False
2004-05-07,2.473200,2.487100,2.463000,2.472400,False,False,False
2004-05-10,2.472100,2.487100,2.430300,2.439000,False,False,False
2004-05-11,2.440300,2.467500,2.434700,2.458700,False,False,False
2004-05-12,2.458100,2.468600,2.445900,2.451900,False,False,False
2004-05-13,2.451700,2.455600,2.438200,2.439900,False,False,False
2004-05-14,2.448300,2.473600,2.434400,2.472400,False,False,False
2004-05-17,2.471000,2.472000,2.453500,2.456000,False,False,False
2004-05-18,2.456200,2.472700,2.448700,2.451500,False,False,False
2004-05-19,2.450900,2.458700,2.424000,2.429600,False,False,False
2004-05-20,2.429500,2.464000,2.428600,2.453300,False,False,False
2004-05-21,2.454300,2.459700,2.446100,2.455100,False,False,False
2004-05-24,2.454900,2.498500,2.453100,2.484100,False,False,False
2004-05-25,2.486300,2.492100,2.477300,2.486000,False,False,False
2004-05-26,2.486900,2.499600,2.482200,2.491500,False,False,False
2004-05-27,2.491400,2.505700,2.491400,2.496500,False,False,False
2004-05-28,2.498500,2.503800,2.492900,2.496700,False,False,False
2004-05-31,2.496700,2.518100,2.493700,2.514600,False,False,False
2004-06-01,2.514100,2.522600,2.493100,2.495500,False,False,False
2004-06-02,2.496100,2.509700,2.487800,2.505300,False,False,False
2004-06-03,2.504100,2.508800,2.476900,2.484500,False,False,False
2004-06-04,2.485500,2.492600,2.468800,2.477600,False,False,False
2004-06-07,2.476800,2.482400,2.465500,2.480400,False,False,False
2004-06-08,2.480500,2.489100,2.464900,2.485000,False,False,False
2004-06-09,2.484900,2.508600,2.474000,2.503500,False,False,False
2004-06-10,2.502300,2.502700,2.475200,2.480400,False,False,False
2004-06-11,2.484400,2.499200,2.464600,2.498800,False,False,False
2004-06-14,2.500400,2.511500,2.492200,2.510100,False,False,False
2004-06-15,2.509400,2.519400,2.500300,2.507000,False,False,False
2004-06-16,2.507100,2.527800,2.503800,2.518300,False,False,False
2004-06-17,2.519100,2.521900,2.502800,2.508400,False,False,False
2004-06-18,2.500400,2.510100,2.492800,2.500300,False,False,False
2004-06-21,2.500300,2.503000,2.466500,2.473400,False,False,False
2004-06-22,2.474000,2.479500,2.462200,2.470500,False,False,False
2004-06-23,2.470400,2.471600,2.439700,2.454100,False,False,False
2004-06-24,2.454100,2.505700,2.446200,2.505700,False,False,False
2004-06-25,2.465200,2.468200,2.454100,2.466300,False,False,False
2004-06-28,2.465700,2.467400,2.427000,2.434200,False,False,False
2004-06-29,2.434200,2.440400,2.422300,2.425500,False,False,False
2004-06-30,2.426500,2.429000,2.409000,2.423200,False,False,False
2004-07-01,2.422600,2.430500,2.419500,2.423300,False,False,False
2004-07-02,2.426000,2.430900,2.420700,2.424800,False,False,False
2004-07-05,2.425600,2.445500,2.418900,2.441200,False,False,False
2004-07-06,2.440600,2.454800,2.437800,2.449300,False,False,False
2004-07-07,2.450200,2.456500,2.433400,2.436700,False,False,False
2004-07-08,2.438200,2.453600,2.433900,2.452400,False,False,False
2004-07-09,2.450500,2.460400,2.445400,2.454900,False,False,False
2004-07-12,2.455000,2.466700,2.444000,2.447300,False,False,False
2004-07-13,2.447400,2.457200,2.445100,2.454700,False,False,False
2004-07-14,2.454300,2.456400,2.446000,2.451300,False,False,False
2004-07-15,2.451200,2.466800,2.439900,2.454700,False,False,False
2004-07-16,2.451700,2.453600,2.439500,2.441900,False,False,False
2004-07-19,2.441800,2.444600,2.425600,2.430000,False,False,False
2004-07-20,2.430000,2.438900,2.425700,2.432600,False,False,False
2004-07-21,2.432700,2.441600,2.422200,2.429000,False,False,False
2004-07-22,2.428300,2.428800,2.414100,2.425000,False,False,False
2004-07-23,2.421200,2.454000,2.419400,2.450700,False,False,False
2004-07-26,2.450600,2.454200,2.424300,2.428800,False,False,False
2004-07-27,2.428300,2.435300,2.418000,2.422200,False,False,False
2004-07-28,2.422600,2.430000,2.404000,2.408700,False,False,False
2004-07-29,2.408400,2.426000,2.396500,2.425500,False,False,False
2004-07-30,2.421000,2.434900,2.416000,2.427800,False,False,False
2004-08-02,2.427700,2.432100,2.401500,2.403900,False,False,False
2004-08-03,2.403700,2.405800,2.392800,2.401400,False,False,False
2004-08-04,2.401100,2.407200,2.395700,2.403700,False,False,False
2004-08-05,2.403700,2.424500,2.400900,2.424500,False,False,False
