Date,USD,EUR,GBP,CHF,JPY
1999-01-04,4.69,3.98,4.246942136095198,2.584,2.093
1999-01-05,4.74,3.98,4.283375026005367,2.563,2.04
1999-01-06,4.73,3.97,4.288263327791475,2.613,1.965
1999-01-07,4.77,3.97,4.2492807189846795,2.582,1.803
1999-01-08,4.86,3.94,4.233167810780646,2.679,1.94
1999-01-11,4.9,3.96,4.2840191282924085,2.571,1.87
1999-01-12,4.82,4.03,4.348529068467073,2.528,1.882
1999-01-13,4.74,3.9,4.263317261118449,2.479,1.843
1999-01-14,4.63,3.91,4.2411580538532405,2.583,1.791
1999-01-15,4.66,3.87,4.267184358261312,2.583,1.791
1999-01-19,4.71,3.88,4.267822643644193,2.58,1.958
1999-01-20,4.76,3.91,4.239076595996325,2.596,1.9
1999-01-21,4.7,3.9,4.172637345733606,2.578,1.911
1999-01-22,4.64,3.84,4.122026953926007,2.551,1.867
1999-01-25,4.67,3.83,4.174801800785174,2.523,1.872
1999-01-26,4.69,3.85,4.142331947308471,2.542,1.835
1999-01-27,4.68,3.86,4.152373783286853,2.555,1.915
1999-01-28,4.67,3.86,4.154315154025808,2.555,1.961
1999-01-29,4.66,3.85,4.126419149986382,2.555,2.07
1999-02-01,4.75,3.87,4.154892913815843,2.555,2.118
1999-02-02,4.79,3.91,4.172248032406566,2.549,2.365
1999-02-03,4.83,3.95,4.21385274004802,2.54,2.395
1999-02-04,4.89,3.98,4.305973104006501,2.587,2.261
1999-02-05,4.94,3.99,4.272690184677678,2.599,2.43
1999-02-08,4.94,4.07,4.348236651353121,2.649,2.254
1999-02-09,4.91,4.0,4.297086850178113,2.593,2.106
1999-02-10,4.9,3.98,4.314531814800335,2.571,2.113
1999-02-11,4.93,4.03,4.31481607687146,2.598,2.113
1999-02-12,5.06,3.97,4.4619511962372105,2.579,2.186
1999-02-16,5.03,4.12,4.4588357334071915,2.617,2.104
1999-02-17,4.98,4.14,4.451766469215331,2.616,2.04
1999-02-18,5.04,4.11,4.4539525967573095,2.584,1.996
1999-02-19,5.07,4.13,4.429685113084817,2.577,1.885
1999-02-22,5.03,4.13,4.3972120656641325,2.58,1.881
