,EUR,GBP,AUD,NZD,USD,CAD,CHF,JPY
1998-06-01,,6.327401493930708,4.69,,,,,0.44
1998-06-02,4.05,6.350346111845593,4.74,,,,,0.446
1998-06-03,4.07,6.3620893903865765,4.8,,,,1.949,0.484
1998-06-04,4.07,6.560634113900402,4.87,,,,2.029,0.477
1998-06-05,4.12,6.583641600244146,5.07,,,,2.065,0.484
1998-06-08,4.12,6.59783757757825,,,,,2.07,0.467
1998-06-09,4.13,6.6356930105881675,5.42,,,,2.09,0.473
1998-06-10,4.12,6.6075028029169225,5.64,,,,2.043,0.469
1998-06-11,,6.55298516860449,5.52,,,,2.052,0.494
1998-06-12,4.06,6.581639830551818,5.48,,,,2.09,0.449
1998-06-15,4.03,6.593270986234172,5.54,,,,2.093,0.44
1998-06-16,4.06,6.820295732349247,5.53,,,,2.04,0.463
1998-06-17,4.07,6.964932262482041,5.39,,,,2.046,0.524
1998-06-18,4.11,6.971162125139868,5.27,,,,2.075,0.563
1998-06-19,4.11,6.974330382301448,5.26,,,,2.086,0.541
1998-06-22,4.09,6.909532878985949,5.29,,,,2.155,0.515
1998-06-23,4.09,6.891384730501273,5.36,,,,,0.517
1998-06-24,4.07,6.827470977236358,5.4,,,,2.058,0.499
1998-06-25,4.05,6.844772637235939,5.27,,,,2.214,0.52
1998-06-26,4.03,6.871528941027906,5.23,,,,2.228,0.565
1998-06-29,4.01,6.89819989610425,5.24,,,,2.343,0.59
1998-06-30,4.02,6.878482501498298,5.18,,,,2.216,0.588
1998-07-01,4.04,6.869303165198023,5.13,,,,2.2,0.603
1998-07-02,3.99,6.868662606732522,5.2,,,,2.148,0.566
1998-07-03,4.0,6.886972518243673,5.2,,,,2.199,0.563
1998-07-06,3.94,6.849172740662118,5.18,,,,2.199,0.541
1998-07-07,3.96,6.886050836736456,5.15,,,,2.209,0.539
1998-07-08,3.95,6.910650389795127,5.14,,,,2.234,0.57
1998-07-09,3.97,6.770368414318048,5.25,,,,2.207,0.572
1998-07-10,3.95,6.792735548063867,5.23,,,,2.233,0.575
1998-07-13,3.95,6.809851017965476,5.24,,,,2.28,0.603
1998-07-14,3.96,6.7468457375593704,5.19,,,,2.324,0.614
1998-07-15,3.96,6.840118122368711,5.17,,,,2.326,0.592
1998-07-16,3.98,6.816785492132848,5.09,,,,2.29,0.62
1998-07-17,3.94,6.776976161643365,5.11,,,,2.317,0.62
1998-07-20,3.95,6.819492524709341,5.14,,,,2.302,
1998-07-21,3.97,6.833785042292054,5.14,,,,2.289,0.633
1998-07-22,3.96,6.890845521298672,5.2,,,,2.393,0.62
1998-07-23,3.96,6.896786687481111,5.22,,,,2.354,0.606
1998-07-24,3.96,6.919333896162651,5.15,,,,2.21,0.621
1998-07-27,3.96,6.886837209234402,5.2,,,,2.193,0.6
1998-07-28,4.01,6.750761964134234,5.19,,,,2.163,0.602
1998-07-29,4.01,6.735127429992547,5.15,,,,2.106,0.572
1998-07-30,3.97,6.777158053083034,5.16,,,,2.147,0.53
1998-07-31,3.97,6.746055135563814,5.09,,,,2.067,0.541
1998-08-03,3.95,6.6884722544820505,5.1,,,,2.075,0.54
1998-08-04,3.95,6.685036125990101,5.1,,,,2.214,0.539
1998-08-05,3.94,6.671510904229804,5.01,,,,2.212,0.538
1998-08-06,3.94,6.590314267617148,5.0,,,,2.211,0.528
1998-08-07,3.92,6.560749596348023,5.13,,,,2.088,0.508
1998-08-10,3.87,6.539500650348909,5.22,,,,2.01,0.498
1998-08-11,3.84,6.521086254070793,5.29,,,,2.15,0.516
1998-08-12,3.8,6.469321155597816,5.22,,,,2.117,0.516
1998-08-13,3.81,6.549987533516625,5.21,,,,2.076,0.532
1998-08-14,3.82,6.5530763546767625,5.2,,,,2.023,0.518
1998-08-17,3.78,6.540196214693763,5.2,,,,2.004,0.509
1998-08-18,3.76,6.5563919038193585,5.21,,,,2.071,0.503
1998-08-19,3.78,6.599896758476736,5.17,,,,2.058,0.514
1998-08-20,3.77,6.571600969473762,5.24,,,,2.059,0.511
1998-08-21,3.69,6.4924352454555985,5.24,,,,1.971,0.503
1998-08-24,3.65,6.483194230575946,5.25,,,,1.941,0.483
1998-08-25,3.58,6.416587298503568,5.28,,,,1.969,0.484
1998-08-26,3.68,6.424810464650741,5.39,,,,1.958,0.496
1998-08-27,3.65,6.324804315338752,5.58,,,,1.95,0.497
1998-08-28,3.52,6.157638520518824,5.89,,,,1.826,0.461
1998-08-31,3.54,,5.65,,,,1.756,0.432
1998-09-01,3.51,6.1872332983285885,5.45,,,,1.773,0.442
1998-09-02,3.6,6.243232579544078,5.31,,,,1.885,0.445
1998-09-03,3.57,6.209283040952656,5.39,,,,1.894,0.445
1998-09-04,3.58,6.203693379533032,5.33,,,,1.869,0.442
1998-09-07,3.56,6.138072160916677,5.02,,,,1.881,0.42
1998-09-08,3.59,6.211126898171724,5.06,,,,1.791,0.421
1998-09-09,3.51,6.097140594113629,5.1,,,,1.801,0.418
