Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2001-07-10,SL/TP 1,0.85331,112241,94776.3004,-1000.07,-1.06,0,1021.39,1.08,-1000.07,-1.06,-1000.07,-0.10,8
1,Entry short,2001-06-28,0.8533093964,0.8444,112241,94776.3004,-1000.07,-1.06,0,1021.39,1.08,-1000.07,-1.06,-1000.07,-0.10,8
2,Exit short,2001-07-10,Exit Short 2,0.8559,112241,94776.3004,-1290.77,-1.36,0,1021.39,1.08,-1481.58,-1.56,-2290.84,-0.23,8
2,Entry short,2001-06-28,0.8533093964,0.8444,112241,94776.3004,-1290.77,-1.36,0,1021.39,1.08,-1481.58,-1.56,-2290.84,-0.23,8
3,Exit long,2002-01-15,SL/TP 1,0.88372,90721,81149.9345,-977.97,-1.21,0,9.07,0.01,-977.97,-1.21,-3268.81,-0.33,1
3,Entry long,2002-01-14,0.8837297681,0.8945,90721,81149.9345,-977.97,-1.21,0,9.07,0.01,-977.97,-1.21,-3268.81,-0.33,1
4,Exit long,2002-01-15,0.8944723582,0.8836,90721,81149.9345,-988.86,-1.22,0,9.07,0.01,-1097.72,-1.35,-4257.67,-0.43,1
4,Entry long,2002-01-14,0.8837297681,0.8945,90721,81149.9345,-988.86,-1.22,0,9.07,0.01,-1097.72,-1.35,-4257.67,-0.43,1
5,Exit short,2002-01-17,SL/TP 1,0.89448,89869,79408.2484,-977.77,-1.23,0,260.62,0.33,-977.77,-1.23,-5235.44,-0.52,2
5,Entry short,2002-01-15,0.8944723582,0.8836,89869,79408.2484,-977.77,-1.23,0,260.62,0.33,-977.77,-1.23,-5235.44,-0.52,2
6,Exit short,2002-01-17,SL 2,0.89448,89869,79408.2484,-977.77,-1.23,0,260.62,0.33,-977.77,-1.23,-6213.22,-0.62,2
6,Entry short,2002-01-15,0.8944723582,0.8836,89869,79408.2484,-977.77,-1.23,0,260.62,0.33,-977.77,-1.23,-6213.22,-0.62,2
