Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2000-11-23,SL/TP 1,1.40501,63860,91224.01,1500.07,1.64,0,1500.07,1.64,-906.81,-0.99,1500.07,0.15,13
1,Entry short,2000-11-06,1.4441593083,1.4285,63860,91224.01,1500.07,1.64,0,1500.07,1.64,-906.81,-0.99,1500.07,0.15,13
2,Exit short,2000-11-29,Exit Short 2,1.423,63860,91224.01,351.23,0.39,0,27370.4,30.00,-906.81,-0.99,1851.3,0.19,17
2,Entry short,2000-11-06,1.4441593083,1.4285,63860,91224.01,351.23,0.39,0,27370.4,30.00,-906.81,-0.99,1851.3,0.19,17
3,Exit short,2001-06-06,SL/TP 1,1.40354,95770,135945.515,1528.49,1.12,0,1528.49,1.12,-794.89,-0.58,3379.79,0.34,10
3,Entry short,2001-05-23,1.4301349926,1.4195,95770,135945.515,1528.49,1.12,0,1528.49,1.12,-794.89,-0.58,3379.79,0.34,10
4,Exit short,2001-06-15,Exit Short 2,1.4054,95770,135945.515,1350.36,0.99,0,4893.85,3.60,-794.89,-0.58,4730.15,0.47,17
4,Entry short,2001-05-23,1.4301349926,1.4195,95770,135945.515,1350.36,0.99,0,4893.85,3.60,-794.89,-0.58,4730.15,0.47,17
5,Exit long,2002-06-11,SL/TP 1,1.47017,159297,232621.4091,1572.26,0.68,0,1572.26,0.68,-63.72,-0.03,6302.41,0.63,1
5,Entry long,2002-06-10,1.4537254772,1.4603,159297,232621.4091,1572.26,0.68,0,1572.26,0.68,-63.72,-0.03,6302.41,0.63,1
6,Exit long,2002-08-01,Exit Long 2,1.5614,159297,232621.4091,16104.93,6.92,0,19896.2,8.55,-63.72,-0.03,22407.34,2.24,32
6,Entry long,2002-06-10,1.4537254772,1.4603,159297,232621.4091,16104.93,6.92,0,19896.2,8.55,-63.72,-0.03,22407.34,2.24,32
7,Exit short,2003-04-10,BL Exit Short 1,1.5725,92055,143707.0605,-1049.43,-0.73,0,1371.62,0.95,-1215.13,-0.85,21357.91,2.14,4
7,Entry short,2003-04-04,1.5743971022,1.5611,92055,143707.0605,-1049.43,-0.73,0,1371.62,0.95,-1215.13,-0.85,21357.91,2.14,4
8,Exit short,2003-04-10,BL Exit Short 2,1.5725,92055,143707.0605,-1049.43,-0.73,0,1371.62,0.95,-1215.13,-0.85,20308.48,2.03,4
8,Entry short,2003-04-04,1.5743971022,1.5611,92055,143707.0605,-1049.43,-0.73,0,1371.62,0.95,-1215.13,-0.85,20308.48,2.03,4
9,Exit short,2003-04-22,SL/TP 1,1.57342,100151,156375.7714,-1203.82,-0.77,0,120.18,0.08,-1203.82,-0.77,19104.67,1.91,1
9,Entry short,2003-04-21,1.5734127226,1.5614,100151,156375.7714,-1203.82,-0.77,0,120.18,0.08,-1203.82,-0.77,19104.67,1.91,1
10,Exit short,2003-04-22,Exit Short 2,1.5778,100151,156375.7714,-1642.48,-1.05,0,120.18,0.08,-1932.91,-1.24,17462.19,1.75,1
10,Entry short,2003-04-21,1.5734127226,1.5614,100151,156375.7714,-1642.48,-1.05,0,120.18,0.08,-1932.91,-1.24,17462.19,1.75,1
11,Exit long,2003-11-20,SL/TP 1,1.70753,88417,149212.5292,1762.15,1.18,0,1762.15,1.18,-433.24,-0.29,19224.34,1.92,5
