Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2001-02-23,SL/TP 1,115.799,869,101629.55,-8.56,-0.98,0,1.78,0.21,-8.56,-0.98,-8.56,0.00,1
1,Entry long,2001-02-22,115.7990415884,116.95,869,101629.55,-8.56,-0.98,0,1.78,0.21,-8.56,-0.98,-8.56,0.00,1
2,Exit long,2001-02-23,BL Exit Long 2,115.91,869,101629.55,-7.73,-0.89,0,1.78,0.21,-9.74,-1.12,-16.29,0.00,1
2,Entry long,2001-02-22,115.7990415884,116.95,869,101629.55,-7.73,-0.89,0,1.78,0.21,-9.74,-1.12,-16.29,0.00,1
3,Exit long,2001-02-27,BL Exit Long 1,116.2,859,100064.91,-2.14,-0.25,0,0.89,0.10,-3.69,-0.43,-18.43,0.00,1
3,Entry long,2001-02-26,115.3262144308,116.49,859,100064.91,-2.14,-0.25,0,0.89,0.10,-3.69,-0.43,-18.43,0.00,1
4,Exit long,2001-02-27,BL Exit Long 2,116.2,859,100064.91,-2.14,-0.25,0,0.89,0.10,-3.69,-0.43,-20.57,0.00,1
4,Entry long,2001-02-26,115.3262144308,116.49,859,100064.91,-2.14,-0.25,0,0.89,0.10,-3.69,-0.43,-20.57,0.00,1
5,Exit long,2001-03-02,SL/TP 1,119.134,860,100955.4,12.77,1.49,0,12.77,1.49,-2.49,-0.29,-7.79,0.00,2
5,Entry long,2001-02-28,116.2275522388,117.39,860,100955.4,12.77,1.49,0,12.77,1.49,-2.49,-0.29,-7.79,0.00,2
6,Exit long,2001-04-12,Exit Long 2,123.68,860,100955.4,43.45,5.36,0,65.87,8.08,-2.49,-0.29,35.66,0.00,31
6,Entry long,2001-02-28,116.2275522388,117.39,860,100955.4,43.45,5.36,0,65.87,8.08,-2.49,-0.29,35.66,0.00,31
7,Exit long,2001-05-01,SL/TP 1,122.649,724,89797.72,-8.06,-1.11,0,1.12,0.15,-8.06,-1.11,27.6,0.00,2
7,Entry long,2001-04-27,122.6494028775,124.03,724,89797.72,-8.06,-1.11,0,1.12,0.15,-8.06,-1.11,27.6,0.00,2
8,Exit long,2001-05-01,BL Exit Long 2,122.13,724,89797.72,-11.09,-1.53,0,1.12,0.15,-12.37,-1.71,16.51,0.00,2
8,Entry long,2001-04-27,122.6494028775,124.03,724,89797.72,-11.09,-1.53,0,1.12,0.15,-12.37,-1.71,16.51,0.00,2
9,Exit long,2001-08-02,SL/TP 1,124.032,895,112009.25,-8,-0.89,0,0.94,0.10,-8,-0.89,8.5,0.00,3
9,Entry long,2001-07-30,124.0325134023,125.15,895,112009.25,-8,-0.89,0,0.94,0.10,-8,-0.89,8.5,0.00,3
10,Exit long,2001-08-02,BL Exit Long 2,123.69,895,112009.25,-10.45,-1.17,0,0.94,0.10,-10.88,-1.21,-1.95,0.00,3
10,Entry long,2001-07-30,124.0325134023,125.15,895,112009.25,-10.45,-1.17,0,0.94,0.10,-10.88,-1.21,-1.95,0.00,3
11,Exit long,2001-11-27,SL/TP 1,124.483,1125,138543.75,12.08,1.08,0,12.08,1.08,-5.57,-0.50,10.13,0.00,5
