Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2003-04-07,SL/TP 1,1.5562,145093.5,227390.5332,1596.03,0.70,0,1596.03,0.70,-710.96,-0.31,1596.03,0.16,3
1,Entry short,2003-04-02,1.5740921029,1.5672,145093.5,227390.5332,1596.03,0.70,0,1596.03,0.70,-710.96,-0.31,1596.03,0.16,3
2,Exit short,2003-04-10,Exit Short 2,1.5727,145093.5,227390.5332,-798.01,-0.35,0,1900.72,0.84,-798.01,-0.35,798.01,0.08,6
2,Entry short,2003-04-02,1.5740921029,1.5672,145093.5,227390.5332,-798.01,-0.35,0,1900.72,0.84,-798.01,-0.35,798.01,0.08,6
3,Exit short,2003-04-22,SL/TP 1,1.56991,154976,242297.2272,-1001.14,-0.41,0,0,0.00,-1001.14,-0.41,-203.13,-0.02,1
3,Entry short,2003-04-21,1.5699026065,1.56345,154976,242297.2272,-1001.14,-0.41,0,0,0.00,-1001.14,-0.41,-203.13,-0.02,1
4,Exit short,2003-04-22,Exit Short 2,1.57755,154976,242297.2272,-2185.16,-0.90,0,0,0.00,-2185.16,-0.90,-2388.29,-0.24,1
4,Entry short,2003-04-21,1.5699026065,1.56345,154976,242297.2272,-2185.16,-0.90,0,0,0.00,-2185.16,-0.90,-2388.29,-0.24,1
5,Exit long,2003-11-18,SL/TP 1,1.69625,167755,283053.0115,1501.41,0.53,0,1501.41,0.53,0,0.00,-886.89,-0.09,2
5,Entry long,2003-11-14,1.6813389347,1.6873,167755,283053.0115,1501.41,0.53,0,1501.41,0.53,0,0.00,-886.89,-0.09,2
6,Exit long,2004-01-16,Exit Long 2,1.7963,167755,283053.0115,18285.29,6.46,0,27042.11,9.55,0,0.00,17398.41,1.74,45
6,Entry long,2003-11-14,1.6813389347,1.6873,167755,283053.0115,18285.29,6.46,0,27042.11,9.55,0,0.00,17398.41,1.74,45
7,Exit long,2004-07-07,SL/TP 1,1.84381,114439.5,209504.3926,1500.3,0.72,0,1500.3,0.72,-154.49,-0.07,18898.71,1.89,3
7,Entry long,2004-07-02,1.8219617587,1.8307,114439.5,209504.3926,1500.3,0.72,0,1500.3,0.72,-154.49,-0.07,18898.71,1.89,3
8,Exit long,2004-07-20,Exit Long 2,1.8529,114439.5,209504.3926,2540.56,1.21,0,4852.23,2.32,-154.49,-0.07,21439.27,2.14,12
8,Entry long,2004-07-02,1.8219617587,1.8307,114439.5,209504.3926,2540.56,1.21,0,4852.23,2.32,-154.49,-0.07,21439.27,2.14,12
9,Exit short,2004-10-08,SL/TP 1,1.79275,117089.5,208911.0859,-1001.12,-0.48,0,562.03,0.27,-1001.12,-0.48,20438.15,2.04,4
9,Entry short,2004-10-04,1.7927404765,1.7842,117089.5,208911.0859,-1001.12,-0.48,0,562.03,0.27,-1001.12,-0.48,20438.15,2.04,4
10,Exit short,2004-10-11,BL Exit Short 2,1.7985,117089.5,208911.0859,-1674.38,-0.80,0,562.03,0.27,-1674.38,-0.80,18763.77,1.88,5
10,Entry short,2004-10-04,1.7927404765,1.7842,117089.5,208911.0859,-1674.38,-0.80,0,562.03,0.27,-1674.38,-0.80,18763.77,1.88,5
11,Exit short,2004-10-14,Exit Short 1,1.7969,135556,242902.7964,-677.78,-0.28,0,0,0.00,-677.78,-0.28,18085.99,1.81,2
11,Entry short,2004-10-12,1.7992770382,1.7919,135556,242902.7964,-677.78,-0.28,0,0,0.00,-677.78,-0.28,18085.99,1.81,2
12,Exit short,2004-10-14,Exit Short 2,1.7969,135556,242902.7964,-677.78,-0.28,0,0,0.00,-677.78,-0.28,17408.21,1.74,2
12,Entry short,2004-10-12,1.7992770382,1.7919,135556,242902.7964,-677.78,-0.28,0,0,0.00,-677.78,-0.28,17408.21,1.74,2
13,Exit short,2005-02-10,SL/TP 1,1.87202,68877.5,127939.9562,-1000.1,-0.78,0,447.7,0.35,-1000.1,-0.78,16408.11,1.64,3
13,Entry short,2005-02-07,1.8720185145,1.8575,68877.5,127939.9562,-1000.1,-0.78,0,447.7,0.35,-1000.1,-0.78,16408.11,1.64,3
14,Exit short,2005-02-14,Exit Short 2,1.8878,68877.5,127939.9562,-2086.99,-1.63,0,447.7,0.35,-2362.5,-1.85,14321.12,1.43,5
14,Entry short,2005-02-07,1.8720185145,1.8575,68877.5,127939.9562,-2086.99,-1.63,0,447.7,0.35,-2362.5,-1.85,14321.12,1.43,5
15,Exit short,2005-06-30,SL/TP 1,1.79544,78306,142094.0676,1500.34,1.06,0,1500.34,1.06,-270.16,-0.19,15821.47,1.58,2
15,Entry short,2005-06-28,1.8273703932,1.8146,78306,142094.0676,1500.34,1.06,0,1500.34,1.06,-270.16,-0.19,15821.47,1.58,2
16,Exit short,2005-07-12,Exit Short 2,1.7781,78306,142094.0676,2858.17,2.01,0,6526.81,4.59,-270.16,-0.19,18679.64,1.87,10
16,Entry short,2005-06-28,1.8273703932,1.8146,78306,142094.0676,2858.17,2.01,0,6526.81,4.59,-270.16,-0.19,18679.64,1.87,10
17,Exit short,2005-11-16,SL/TP 1,1.72641,64155.5,112259.2939,1500.6,1.34,0,1500.6,1.34,-147.56,-0.13,20180.23,2.02,8
17,Entry short,2005-11-04,1.7653871409,1.7498,64155.5,112259.2939,1500.6,1.34,0,1500.6,1.34,-147.56,-0.13,20180.23,2.02,8
18,Exit short,2005-11-28,Exit Short 2,1.7298,64155.5,112259.2939,1283.11,1.14,0,2877.37,2.56,-147.56,-0.13,21463.34,2.15,16
18,Entry short,2005-11-04,1.7653871409,1.7498,64155.5,112259.2939,1283.11,1.14,0,2877.37,2.56,-147.56,-0.13,21463.34,2.15,16
19,Exit short,2006-03-27,SL/TP 1,1.74614,88997.5,154401.7628,-1000.33,-0.65,0,347.09,0.22,-1000.33,-0.65,20463.01,2.05,2
19,Entry short,2006-03-23,1.7461362731,1.7349,88997.5,154401.7628,-1000.33,-0.65,0,347.09,0.22,-1000.33,-0.65,20463.01,2.05,2
