Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2002-08-14,SL/TP 1,117.365,1396,165342.24,12.61,0.91,0,12.61,0.91,0,0.00,12.61,0.00,1
1,Entry short,2002-08-13,119.1562726705,118.44,1396,165342.24,12.61,0.91,0,12.61,0.91,0,0.00,12.61,0.00,1
2,Exit short,2002-08-22,Exit Short 2,119.94,1396,165342.24,-17.62,-1.27,0,13.22,0.95,-17.62,-1.27,-5.01,0.00,7
2,Entry short,2002-08-13,119.1562726705,118.44,1396,165342.24,-17.62,-1.27,0,13.22,0.95,-17.62,-1.27,-5.01,0.00,7
3,Exit short,2003-11-19,SL/TP 1,109.18,1528.5,165880.4625,-9.27,-0.60,0,6.37,0.41,-9.27,-0.60,-14.28,0.00,7
3,Entry short,2003-11-10,109.1791557602,108.525,1528.5,165880.4625,-9.27,-0.60,0,6.37,0.41,-9.27,-0.60,-14.28,0.00,7
4,Exit short,2003-11-19,Exit Short 2,109.275,1528.5,165880.4625,-10.62,-0.69,0,6.37,0.41,-10.62,-0.69,-24.9,0.00,7
4,Entry short,2003-11-10,109.1791557602,108.525,1528.5,165880.4625,-10.62,-0.69,0,6.37,0.41,-10.62,-0.69,-24.9,0.00,7
5,Exit short,2004-07-20,BL Exit Short 1,108.685,1617,175015.995,-6.69,-0.42,0,0,0.00,-6.69,-0.42,-31.6,0.00,1
5,Entry short,2004-07-19,108.8534972029,108.235,1617,175015.995,-6.69,-0.42,0,0,0.00,-6.69,-0.42,-31.6,0.00,1
6,Exit short,2004-07-20,BL Exit Short 2,108.685,1617,175015.995,-6.69,-0.42,0,0,0.00,-6.69,-0.42,-38.29,0.00,1
6,Entry short,2004-07-19,108.8534972029,108.235,1617,175015.995,-6.69,-0.42,0,0,0.00,-6.69,-0.42,-38.29,0.00,1
7,Exit short,2005-01-20,SL/TP 1,103.321,1136,116372.976,-9.73,-0.86,0,8.32,0.73,-9.73,-0.86,-48.02,0.00,6
7,Entry short,2005-01-12,103.3207680015,102.441,1136,116372.976,-9.73,-0.86,0,8.32,0.73,-9.73,-0.86,-48.02,0.00,6
8,Exit short,2005-01-25,Exit Short 2,104.077,1136,116372.976,-18.11,-1.60,0,8.32,0.73,-21.21,-1.87,-66.13,-0.01,9
8,Entry short,2005-01-12,103.3207680015,102.441,1136,116372.976,-18.11,-1.60,0,8.32,0.73,-21.21,-1.87,-66.13,-0.01,9
9,Exit long,2005-03-24,SL/TP 1,106.527,1133,119194.999,14.16,1.26,0,14.16,1.26,-3.72,-0.33,-51.97,-0.01,3
