signal,batch,ao,to,so,n_back,back_eff,against_eff,back_rank,against_rank,strong_eff,weak_eff,backers,strongest
maxdu_120,cross-sectional,0.714,-11.0,-0.02009,20,0.22222824989642392,0.22008511494173233,13.7,16.5,0.2223330451813019,0.22045629085164145,AUDCAD AUDCHF AUDJPY AUDNZD AUDUSD CADJPY CHFJPY EURAUD EURCHF EURJPY EURNZD GBPCHF GBPJPY GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,NZDCAD NZDUSD USDCAD GBPAUD NZDCHF AUDNZD AUDCHF
reldisp_500,cross-sectional,0.786,-10.18,-0.01872,22,0.22157620210136575,0.2217615785387149,14.5,14.5,0.21908921649605295,0.2220942047165367,AUDCAD AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD EURUSD GBPJPY GBPNZD GBPUSD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,NZDCHF AUDCHF CADCHF EURGBP NZDUSD USDCAD USDCHF
maxdu_D120,multi-timeframe,0.714,-11.03,-0.02015,20,0.22222824989642392,0.22008511494173233,13.7,16.5,0.2223330451813019,0.22045629085164145,AUDCAD AUDCHF AUDJPY AUDNZD AUDUSD CADJPY CHFJPY EURAUD EURCHF EURJPY EURNZD GBPCHF GBPJPY GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,NZDCAD NZDUSD USDCAD GBPAUD NZDCHF AUDNZD AUDCHF
reldisp_D500,multi-timeframe,0.786,-10.11,-0.01861,22,0.22157620210136575,0.2217615785387149,14.5,14.5,0.21908921649605295,0.2220942047165367,AUDCAD AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD EURUSD GBPJPY GBPNZD GBPUSD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,NZDCHF AUDCHF CADCHF EURGBP NZDUSD USDCAD USDCHF
zz_bbw_D120,multi-timeframe,0.857,-11.43,-0.02115,24,0.2200636956222609,0.2309293056320187,16.041666666666668,5.25,0.2221491074996962,0.22090737856435855,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY USDCAD USDCHF USDJPY,EURCHF AUDJPY CADJPY AUDCHF USDCAD EURUSD EURAUD
zz_bbw_W26,multi-timeframe,0.857,-9.54,-0.01765,24,0.22085566871770568,0.22617746705935005,15.291666666666666,9.75,0.2210129556815041,0.21732703901598058,AUDCAD AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPCHF GBPJPY GBPUSD NZDCAD NZDCHF NZDJPY USDCAD USDCHF USDJPY,GBPAUD EURCHF AUDCHF EURCAD AUDJPY CADJPY EURUSD
zz_ppaneldisp_M3,multi-timeframe,0.857,-17.52,-0.03264,24,0.22064722471316692,0.22742813108658258,15.375,9.25,0.22202195160808363,0.2252776710479331,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD EURUSD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,NZDJPY GBPJPY NZDUSD NZDCHF EURGBP AUDJPY CADJPY
z_bbw_120,own-price,0.857,-11.41,-0.0211,24,0.2200636956222609,0.2309293056320187,16.041666666666668,5.25,0.2221491074996962,0.22090737856435855,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY USDCAD USDCHF USDJPY,EURCHF AUDJPY CADJPY AUDCHF USDCAD EURAUD EURUSD
minvol_D250,regime-v5,0.714,10.7,0.01998,20,0.2223162582839052,0.21986509397302906,13.9,16.0,0.22588573571320225,0.22110466748461335,AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURNZD EURUSD GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,NZDJPY USDCAD NZDUSD AUDNZD GBPCAD EURNZD AUDUSD
zc_cx3_m50,trend-duration,0.857,-15.8,-0.02894,24,0.22290950939816975,0.21385442297656557,13.208333333333334,22.25,0.21925355293461354,0.2204746857903184,AUDJPY AUDNZD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF GBPCAD GBPNZD GBPCHF EURCAD GBPAUD GBPUSD
