pair,times_backing,eff_both,rank_is,rank_oos,backing_rate
NZDJPY,76,0.22626047051226744,5.0,15.0,0.7378640776699029
USDCAD,68,0.22669930623013312,14.0,4.0,0.6601941747572816
EURCHF,66,0.21749166108917223,20.0,18.0,0.6407766990291263
CADJPY,50,0.22038063455848145,15.0,17.0,0.4854368932038835
GBPNZD,46,0.21785698714830604,19.0,19.0,0.44660194174757284
EURCAD,40,0.21374852070736755,11.0,28.0,0.3883495145631068
CADCHF,40,0.21145151457243822,23.0,25.0,0.3883495145631068
NZDUSD,40,0.23029992029732183,7.0,5.0,0.3883495145631068
EURNZD,33,0.21979556514249188,21.0,12.0,0.32038834951456313
NZDCAD,22,0.21642822335447381,17.0,23.0,0.21359223300970873
USDJPY,22,0.23419593951472553,4.0,2.0,0.21359223300970873
AUDJPY,21,0.22574240853862332,6.0,14.0,0.20388349514563106
GBPJPY,21,0.2287742756566753,10.0,3.0,0.20388349514563106
GBPCHF,20,0.2190439680730891,25.0,7.0,0.1941747572815534
GBPCAD,19,0.2149330751252666,26.0,16.0,0.18446601941747573
AUDUSD,18,0.22560525051687125,9.0,13.0,0.17475728155339806
CHFJPY,18,0.22214722244538798,16.0,11.0,0.17475728155339806
NZDCHF,16,0.21068595557787223,28.0,21.0,0.1553398058252427
GBPAUD,14,0.22301655872464093,18.0,8.0,0.13592233009708737
AUDNZD,12,0.23676891781263823,2.0,1.0,0.11650485436893204
AUDCHF,10,0.21262831639888108,22.0,24.0,0.0970873786407767
EURGBP,10,0.21083047171907696,24.0,26.0,0.0970873786407767
EURAUD,9,0.21876986744552274,13.0,22.0,0.08737864077669903
USDCHF,8,0.23128934729077386,3.0,6.0,0.07766990291262135
EURJPY,8,0.22022289248809018,12.0,20.0,0.07766990291262135
EURUSD,5,0.23363907556781144,1.0,9.0,0.04854368932038835
AUDCAD,5,0.20606602875903848,27.0,27.0,0.04854368932038835
GBPUSD,4,0.22743822387515777,8.0,10.0,0.038834951456310676
