team,handling,position_days,episodes,r_per_unit,hit_rate_pct,worst_dip_R
team1,follow_majority_net,1585,244,0.02834664239494747,54.9,9.225
team1,follow_majority_net::1v1,969,198,0.012047178668811111,53.0,
team1,follow_majority_net::2v1,470,75,0.0519588043898712,56.0,
team1,follow_majority_net::2v2,28,5,-0.12220529518408599,40.0,
team1,follow_majority_net::3v1,92,12,0.12333803150740957,83.3,
team1,follow_majority_net::3v2,10,1,0.16912044601314796,100.0,
team1,follow_majority_net::4v1,10,2,-0.061039509080524204,50.0,
team1,follow_majority_net::4v2,6,1,-0.028514333363200656,0.0,
team1,take_all_as_fired,1585,244,-0.034097340869140694,31.6,54.418
team1,take_all_as_fired::1v1,969,198,-0.050783082178986506,30.3,
team1,take_all_as_fired::2v1,470,75,-0.016782282810617295,41.3,
team1,take_all_as_fired::2v2,28,5,0.1174498561099709,60.0,
team1,take_all_as_fired::3v1,92,12,0.02119776024272835,58.3,
team1,take_all_as_fired::3v2,10,1,0.009452702947521392,100.0,
team1,take_all_as_fired::4v1,10,2,-0.14878144456439357,0.0,
team1,take_all_as_fired::4v2,6,1,-0.13221803706690452,0.0,
team1,sit_out,1585,244,0.0,0.0,0.0
team1,sit_out::1v1,969,198,0.0,0.0,
team1,sit_out::2v1,470,75,0.0,0.0,
team1,sit_out::2v2,28,5,0.0,0.0,
team1,sit_out::3v1,92,12,0.0,0.0,
team1,sit_out::3v2,10,1,0.0,0.0,
team1,sit_out::4v1,10,2,0.0,0.0,
team1,sit_out::4v2,6,1,0.0,0.0,
team2,follow_majority_net,1585,244,0.02834664239494747,54.9,9.225
team2,follow_majority_net::1v1,969,198,0.012047178668811111,53.0,
team2,follow_majority_net::2v1,470,75,0.0519588043898712,56.0,
team2,follow_majority_net::2v2,28,5,-0.12220529518408599,40.0,
team2,follow_majority_net::3v1,92,12,0.12333803150740957,83.3,
team2,follow_majority_net::3v2,10,1,0.16912044601314796,100.0,
team2,follow_majority_net::4v1,10,2,-0.061039509080524204,50.0,
team2,follow_majority_net::4v2,6,1,-0.028514333363200656,0.0,
team2,take_all_as_fired,1585,244,-0.034097340869140694,31.6,54.418
team2,take_all_as_fired::1v1,969,198,-0.050783082178986506,30.3,
team2,take_all_as_fired::2v1,470,75,-0.016782282810617295,41.3,
team2,take_all_as_fired::2v2,28,5,0.1174498561099709,60.0,
team2,take_all_as_fired::3v1,92,12,0.02119776024272835,58.3,
team2,take_all_as_fired::3v2,10,1,0.009452702947521392,100.0,
team2,take_all_as_fired::4v1,10,2,-0.14878144456439357,0.0,
team2,take_all_as_fired::4v2,6,1,-0.13221803706690452,0.0,
team2,sit_out,1585,244,0.0,0.0,0.0
team2,sit_out::1v1,969,198,0.0,0.0,
team2,sit_out::2v1,470,75,0.0,0.0,
team2,sit_out::2v2,28,5,0.0,0.0,
team2,sit_out::3v1,92,12,0.0,0.0,
team2,sit_out::3v2,10,1,0.0,0.0,
team2,sit_out::4v1,10,2,0.0,0.0,
team2,sit_out::4v2,6,1,0.0,0.0,
