sid,pair,entry,exit,days,dir,legs,atr_len,atr_mult,entry_px,atr_entry,cost_R,fill_mark,R_engine,R_from_marks,first_vote,fill_plus_1,checks,mismatches,status
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,EURAUD,2017-06-16,2017-06-27,8,-1,2,20,1.15,1.46945,0.011626,0.0111,-0.0097,-0.5847,-0.5847,2017-06-19,2017-06-19,9,0,ok
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,NZDJPY,2017-08-07,2017-08-15,7,-1,2,47,1.2,81.534,0.687597,0.017,-0.0142,0.8822,0.8822,2017-08-08,2017-08-08,8,1,"MISMATCH: [('fill-day mark = -cost', -0.01419874094426632, -0.01703848869522926)]"
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,NZDJPY,2017-01-16,2017-01-19,4,-1,2,46,1.0,81.109,0.832616,0.014,-0.014,-0.514,-0.514,2017-01-17,2017-01-17,5,0,ok
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,AUDCHF,2018-07-25,2018-07-30,4,1,2,20,1.15,0.73917,0.005954,0.0246,-0.0214,-0.5964,-0.5964,2018-07-26,2018-07-26,5,1,"MISMATCH: [('fill-day mark = -cost', -0.021374022588133812, -0.02458012508358718)]"
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,GBPNZD,2016-09-13,2016-09-16,4,1,2,47,1.2,1.81924,0.024103,0.0119,-0.0099,-0.6099,-0.6099,2016-09-14,2016-09-14,5,0,ok
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,GBPUSD,2016-02-11,2016-02-16,4,1,2,47,1.2,1.44768,0.012866,0.009,-0.0075,-0.6075,-0.6075,2016-02-12,2016-02-12,5,0,ok
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,NZDCAD,2019-10-22,2019-10-25,4,1,2,20,1.15,0.83859,0.006099,0.0225,-0.0196,-0.5946,-0.5946,2019-10-23,2019-10-23,5,1,"MISMATCH: [('fill-day mark = -cost', -0.019593654200434685, -0.02253270156415044)]"
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,AUDCHF,2016-11-16,2016-11-24,7,-1,2,47,1.2,0.74947,0.00831,0.0179,-0.0149,-0.2249,-0.2249,2016-11-17,2016-11-17,8,1,"MISMATCH: [('fill-day mark = -cost', -0.014879676513373852, -0.017855611737615722)]"
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,CADCHF,2016-05-23,2016-05-26,4,-1,2,25,1.38,0.75279,0.007725,0.0165,-0.0119,-0.7019,-0.7019,2016-05-24,2016-05-24,5,1,"MISMATCH: [('fill-day mark = -cost', -0.01194981299340725, -0.01649074217128839)]"
C|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_at,USDJPY,2019-07-23,2019-07-31,7,1,2,25,1.38,108.228,0.551406,0.0124,-0.009,0.691,0.691,2019-07-24,2019-07-24,8,1,"MISMATCH: [('fill-day mark = -cost', -0.008973377756774426, -0.012383260778418621)]"
