sid,pair,entry,exit,days,dir,legs,atr_len,atr_mult,entry_px,atr_entry,units,leg_match_resid,implied_cost_frac,table_cost_frac,cost_R,fill_mark,R_engine,R_from_marks,first_vote,fill_plus_1,checks,mismatches,status
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,EURAUD,2019-12-05,2019-12-06,2,1,2,33,1.0,1.62506,0.008933,5597.47,0.0,0.0001758176,0.0001758176,0.016,-0.016,-0.516,-0.516,2019-12-06,2019-12-06,5,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,NZDUSD,2016-03-10,2016-04-21,31,1,2,35,1.25,0.6669,0.009411,4250.32,0.001814,0.0002047883,0.0002559853,0.0091,-0.0073,1.2713,1.2713,2016-03-11,2016-03-11,34,1,"MISMATCH: [('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPCHF,2016-09-16,2016-10-25,28,-1,2,26,1.25,1.27471,0.012992,3078.9,0.00261,0.0002128442,0.0002660553,0.0131,-0.0104,2.0458,2.0458,2016-09-19,2016-09-19,31,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.010441887192428112, -0.013052359191339739), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,AUDCAD,2019-10-07,2019-10-11,5,-1,2,33,1.0,0.8962,0.005693,8782.86,0.0,0.0002446838,0.0002446838,0.0193,-0.0193,-0.5193,-0.5193,2019-10-08,2019-10-08,8,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPJPY,2018-03-22,2018-03-27,4,-1,2,35,1.25,148.4,1.501416,26.64,0.002012,0.0001628327,0.0002035409,0.0101,-0.008,-0.633,-0.633,2018-03-23,2018-03-23,7,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.008047190494835377, -0.010058988683509648), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPNZD,2017-02-10,2017-03-08,19,-1,2,35,1.25,1.73405,0.020044,1995.63,0.002718,0.0002513834,0.0003142293,0.0136,-0.0109,-0.6359,-0.6359,2017-02-13,2017-02-13,22,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.010873949155211449, -0.013592436241453645), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,NZDJPY,2016-02-02,2016-02-15,10,-1,2,33,1.0,78.164,1.263864,39.56,0.0,0.0005747593,0.0002873796,0.0178,-0.0178,0.9117,0.9117,2016-02-03,2016-02-03,13,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,NZDCAD,2017-01-18,2017-01-24,5,1,2,26,1.25,0.94532,0.008338,4797.1,0.003716,0.0002621934,0.0003277417,0.0186,-0.0149,1.0101,1.0101,2017-01-19,2017-01-19,8,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.014862402342259884, -0.018578003472567765), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,CADCHF,2018-04-10,2018-05-02,17,1,2,20,1.1,0.75942,0.006458,7038.67,0.001809,0.000307695,0.0003384646,0.0199,-0.0181,1.3319,1.3319,2018-04-11,2018-04-11,20,1,"MISMATCH: [('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPJPY,2017-06-01,2017-06-02,2,1,2,35,1.25,143.462,1.391249,28.75,0.002099,0.0001628327,0.0002035409,0.0105,-0.0084,-0.4246,-0.4246,2017-06-02,2017-06-02,5,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.008395444601774216, -0.010494306003098343), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
B|trend|price_momentum_oscillator_signals|halftrend_signals|,GBPCAD,2020-03-27,2020-04-29,24,1,2,21,1.37,1.74137,0.028724,1270.58,0.002004,0.0001786849,0.0002447984,0.0074,-0.0054,-0.1913,-0.1913,2020-03-30,2020-03-30,27,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.005416267551481724, -0.007420286576827282), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURCAD,2019-12-31,2019-12-31,1,-1,2,28,1.0,1.45645,0.006799,7353.7,0.0,0.0001789288,0.0001789288,0.0192,-0.0192,-0.0192,-0.0192,,,5,1,"MISMATCH: [('first voted day = fill + 1 bar', -9223372036854775808, nan)]"
B|trend|price_momentum_oscillator_signals|halftrend_signals|,NZDCHF,2016-02-25,2016-02-29,3,1,2,24,1.0,0.66582,0.01077,4642.59,0.0,0.0004533158,0.0004533158,0.014,-0.014,-0.514,-0.514,2016-02-26,2016-02-26,6,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,AUDNZD,2017-02-06,2017-02-08,3,-1,2,28,1.0,1.04611,0.00642,7787.74,0.0,0.0002971769,0.0002971769,0.0242,-0.0242,-0.5242,-0.5242,2017-02-07,2017-02-07,6,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURGBP,2020-04-01,2020-04-21,15,-1,2,21,1.37,0.88632,0.014145,2580.17,0.00177,0.0001526733,0.0002091624,0.0066,-0.0048,0.1041,0.1041,2020-04-02,2020-04-02,18,1,"MISMATCH: [('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURCHF,2016-12-14,2016-12-19,4,-1,2,24,1.25,1.07498,0.005278,7578.99,0.004102,0.0001611072,0.0002013841,0.0205,-0.0164,0.4836,0.4836,2016-12-15,2016-12-15,7,3,"MISMATCH: [('fill-day mark = -cost (engine units)', -0.016407277435064316, -0.020509096979010526), ('implied cost fraction == table (x2 crisis)', 0.0, 1.0)]"
