  1/1072  5 s
  2/1072  6 s
  3/1072  9 s
  4/1072  10 s
  5/1072  13 s
  6/1072  17 s
  7/1072  22 s
  8/1072  25 s
  9/1072  28 s
  10/1072  28 s
  11/1072  29 s
  12/1072  30 s
  13/1072  33 s
  14/1072  45 s
  15/1072  47 s
  16/1072  48 s
  17/1072  49 s
  18/1072  50 s
  19/1072  50 s
  20/1072  53 s
  21/1072  55 s
  22/1072  55 s
  23/1072  56 s
  24/1072  61 s
  25/1072  66 s
  26/1072  67 s
  27/1072  78 s
  28/1072  79 s
  29/1072  79 s
  30/1072  80 s
  31/1072  82 s
  32/1072  86 s
  33/1072  86 s
  34/1072  87 s
  35/1072  89 s
  36/1072  95 s
  37/1072  98 s
  38/1072  99 s
  39/1072  101 s
  40/1072  106 s
  41/1072  107 s
  42/1072  108 s
  43/1072  110 s
  44/1072  115 s
  45/1072  116 s
  46/1072  116 s
  47/1072  119 s
  48/1072  120 s
  49/1072  123 s
/Users/jackcuster/Documents/fx-data/code/l2lib.py:1884: RuntimeWarning: overflow encountered in scalar multiply
  st = fr if not np.isfinite(st) else index_smooth * fr + (1 - index_smooth) * st
  50/1072  128 s
  51/1072  130 s
  52/1072  132 s
  53/1072  133 s
  54/1072  135 s
  55/1072  137 s
  56/1072  138 s
  57/1072  138 s
  58/1072  140 s
  59/1072  141 s
  60/1072  144 s
  61/1072  145 s
  62/1072  147 s
  63/1072  150 s
  64/1072  152 s
  65/1072  152 s
  66/1072  153 s
  67/1072  153 s
  68/1072  155 s
  69/1072  157 s
  70/1072  159 s
  71/1072  160 s
  72/1072  164 s
  73/1072  165 s
  74/1072  167 s
  75/1072  170 s
  76/1072  170 s
  77/1072  171 s
  78/1072  173 s
  79/1072  175 s
  80/1072  176 s
  81/1072  177 s
  82/1072  179 s
  83/1072  180 s
  84/1072  180 s
  85/1072  183 s
  86/1072  186 s
  87/1072  200 s
  88/1072  202 s
  89/1072  203 s
  90/1072  204 s
  91/1072  204 s
  92/1072  206 s
  93/1072  208 s
  94/1072  209 s
  95/1072  209 s
  96/1072  209 s
  97/1072  210 s
  98/1072  213 s
  99/1072  214 s
  100/1072  216 s
  101/1072  217 s
  102/1072  218 s
  103/1072  219 s
  104/1072  221 s
  105/1072  222 s
  106/1072  225 s
  107/1072  227 s
  108/1072  227 s
  109/1072  228 s
  110/1072  229 s
  111/1072  229 s
  112/1072  229 s
