pair,start,end,bars,net_vol,eff,crossings,prev,nxt
GBPNZD,2016-12-13,2017-06-15,131,0.0958899873986057,0.01081065130470219,13,ranging,trending
USDJPY,2021-03-17,2021-09-03,123,0.21731496836716085,0.025872624510085335,20,ranging,ranging
AUDJPY,2020-07-09,2020-11-30,103,0.4081935574943757,0.05742780903740215,18,trending,ranging
EURAUD,2020-07-10,2020-11-20,96,0.03661011264147039,0.004947329412938659,11,trending,ranging
GBPNZD,2020-01-30,2020-06-02,89,0.393028724965545,0.052580141977608394,15,ranging,neither
EURGBP,2025-09-24,2026-01-27,88,0.17041179823136662,0.026002214258313366,7,ranging,trending
GBPAUD,2019-12-11,2020-04-14,88,0.3671377441441011,0.04495496443811458,6,neither,ranging
EURCAD,2025-06-13,2025-10-14,88,1.0460931461140606,0.16579972716565056,10,ranging,trending
USDCHF,2018-06-27,2018-10-23,85,0.07209933197354976,0.010050250818366744,5,ranging,ranging
GBPCHF,2016-08-09,2016-12-02,84,0.11012002334662255,0.022978710293775333,3,trending,trending
AUDCAD,2025-09-08,2025-12-30,81,0.25586740070782815,0.03899238975936747,16,ranging,trending
AUDCHF,2020-08-03,2020-11-20,80,0.3941353827475447,0.05839315636245289,14,trending,ranging
EURCHF,2017-10-10,2018-01-31,80,0.12448621896347584,0.01882912147914589,15,trending,ranging
CADCHF,2024-09-06,2024-12-26,79,0.10047367428975633,0.015698720590290625,15,trending,ranging
GBPNZD,2016-08-11,2016-11-28,78,0.32778465811987484,0.060089564839103715,10,trending,ranging
AUDNZD,2022-08-04,2022-11-18,77,0.6977751645435433,0.09622700120846989,5,trending,trending
NZDCAD,2018-08-02,2018-11-14,75,0.6427233471646404,0.08450998158288545,11,ranging,trending
NZDCAD,2016-10-26,2017-02-08,74,0.05730293077232838,0.008685642813668498,11,ranging,ranging
EURGBP,2016-08-09,2016-11-16,72,0.0753602654856672,0.015338802874891299,3,trending,trending
USDCHF,2025-05-26,2025-09-01,71,0.4475409978674688,0.09928436278574743,14,neither,trending
EURCAD,2021-05-04,2021-08-06,69,0.03796605732638469,0.005941009083426882,15,neither,ranging
AUDNZD,2016-08-11,2016-11-10,66,0.32943889610414584,0.05722691182614422,9,neither,ranging
EURNZD,2023-04-05,2023-07-05,66,0.38024502817892974,0.05909468830116953,11,ranging,ranging
NZDJPY,2023-08-14,2023-11-10,65,0.5910864368012376,0.10736567453483108,6,neither,ranging
USDJPY,2021-12-10,2022-03-10,65,0.7952304003072126,0.15425543986664297,10,ranging,ranging
AUDCAD,2023-08-01,2023-10-30,65,0.09909224279155615,0.01703997990517921,17,ranging,ranging
EURUSD,2021-09-14,2021-12-10,64,1.755209533322596,0.2295991628113536,2,ranging,trending
USDCAD,2016-05-30,2016-08-25,64,0.20668863195467527,0.03438553351156518,12,trending,ranging
NZDCHF,2018-08-13,2018-11-07,63,1.0630837905434112,0.16326643602729576,5,ranging,trending
EURUSD,2025-06-05,2025-09-01,63,0.536551568586912,0.10407254967974562,14,trending,trending
AUDJPY,2025-08-18,2025-11-12,63,1.3205251557618054,0.196775758115158,8,trending,trending
EURJPY,2017-01-04,2017-03-29,61,0.6636439335854957,0.11610229482112691,8,ranging,trending
CHFJPY,2026-03-19,2026-06-11,61,0.16359089509995825,0.0332241048048808,11,trending,trending
NZDCHF,2025-01-27,2025-04-21,61,1.3923681526916172,0.15409222920076587,10,ranging,trending
USDCHF,2020-09-21,2020-12-11,60,0.8676119876424145,0.14249539351036258,8,trending,trending
GBPNZD,2021-06-09,2021-08-30,59,0.00942126888717918,0.0019065042328845073,17,neither,ranging
GBPAUD,2023-06-09,2023-08-30,59,1.366012797580443,0.21970911146525987,8,trending,trending
GBPJPY,2016-09-23,2016-12-09,56,1.6501296180084852,0.28393602655322037,2,ranging,trending
AUDUSD,2021-02-09,2021-04-27,56,0.08048460117199314,0.01375424724252201,11,trending,ranging
