trades,hit_rate_pct,r_per_unit,worst_dip_R,country,ccy,window,period,vs_normal_r
353,45.6,0.6619,10.829,US,USD,normal_days,IS,
2,100.0,1.4534,0.0,US,USD,day_before,IS,0.7915
15,20.0,0.0817,5.425,US,USD,day_after,IS,-0.5802
384,37.0,0.2573,16.504,US,USD,normal_days,OOS,
8,12.5,-0.1302,3.808,US,USD,day_before,OOS,-0.3875
8,0.0,-0.6919,5.47,US,USD,day_after,OOS,-0.9492
468,42.9,0.4479,11.192,UK,GBP,normal_days,IS,
7,57.1,0.6033,1.0,UK,GBP,day_before,IS,0.1554
6,33.3,0.2456,2.0,UK,GBP,on_holiday,IS,-0.2023
3,0.0,-0.4803,0.941,UK,GBP,day_after,IS,-0.9282
380,45.5,0.4764,11.104,UK,GBP,normal_days,OOS,
3,66.7,0.7541,1.0,UK,GBP,day_before,OOS,0.2777
2,0.0,-0.5,0.5,UK,GBP,on_holiday,OOS,-0.9764
8,75.0,1.2165,1.0,UK,GBP,day_after,OOS,0.7401
376,44.4,0.813,14.672,EU,EUR,normal_days,IS,
4,50.0,1.1861,0.5,EU,EUR,day_before,IS,0.3731
9,44.4,0.4971,1.2,EU,EUR,on_holiday,IS,-0.3159
6,66.7,-0.1485,1.0,EU,EUR,day_after,IS,-0.9615
358,33.2,0.2363,19.817,EU,EUR,normal_days,OOS,
5,0.0,-0.3359,1.597,EU,EUR,day_before,OOS,-0.5722
0,,,,EU,EUR,on_holiday,OOS,
2,100.0,2.456,0.0,EU,EUR,day_after,OOS,2.2197
345,48.1,0.6027,6.469,JP,JPY,normal_days,IS,
8,12.5,-0.2798,3.0,JP,JPY,day_before,IS,-0.8825
15,26.7,0.0619,5.29,JP,JPY,on_holiday,IS,-0.5408
10,20.0,-0.126,3.29,JP,JPY,day_after,IS,-0.7287
375,32.8,0.1269,31.986,JP,JPY,normal_days,OOS,
15,46.7,0.7566,4.0,JP,JPY,day_before,OOS,0.6297
9,55.6,0.7933,1.338,JP,JPY,on_holiday,OOS,0.6664
7,28.6,0.1521,1.0,JP,JPY,day_after,OOS,0.0252
402,43.3,0.6757,12.462,CH,CHF,normal_days,IS,
7,42.9,0.7348,0.935,CH,CHF,day_before,IS,0.0591
8,37.5,0.2579,2.2,CH,CHF,on_holiday,IS,-0.4178
4,0.0,-0.5,1.5,CH,CHF,day_after,IS,-1.1757
372,34.7,0.2122,12.309,CH,CHF,normal_days,OOS,
3,33.3,0.4329,1.651,CH,CHF,day_before,OOS,0.2207
5,40.0,0.3547,1.0,CH,CHF,on_holiday,OOS,0.1425
10,20.0,-0.0119,2.0,CH,CHF,day_after,OOS,-0.2241
468,42.5,0.3926,8.794,CA,CAD,normal_days,IS,
4,50.0,0.8173,1.0,CA,CAD,day_before,IS,0.4247
5,80.0,0.6536,0.0,CA,CAD,on_holiday,IS,0.261
5,0.0,-0.3557,1.625,CA,CAD,day_after,IS,-0.7483
344,33.7,0.1473,15.223,CA,CAD,normal_days,OOS,
0,,,,CA,CAD,day_before,OOS,
1,0.0,-1.0,0.0,CA,CAD,on_holiday,OOS,-1.1473
14,14.3,-0.375,4.515,CA,CAD,day_after,OOS,-0.5223
394,53.0,0.7289,8.244,AU,AUD,normal_days,IS,
1,100.0,2.15,0.0,AU,AUD,day_before,IS,1.4211
0,,,,AU,AUD,on_holiday,IS,
11,36.4,0.2604,3.0,AU,AUD,day_after,IS,-0.4685
340,43.5,0.4795,10.313,AU,AUD,normal_days,OOS,
7,42.9,0.4352,1.651,AU,AUD,day_before,OOS,-0.0443
11,72.7,1.3075,1.0,AU,AUD,on_holiday,OOS,0.828
5,60.0,1.37,0.5,AU,AUD,day_after,OOS,0.8905
374,48.1,0.6359,9.66,NZ,NZD,normal_days,IS,
4,50.0,1.1161,0.448,NZ,NZD,day_before,IS,0.4802
8,25.0,-0.0043,2.0,NZ,NZD,on_holiday,IS,-0.6402
12,16.7,0.0191,5.0,NZ,NZD,day_after,IS,-0.6168
339,35.1,0.2839,12.251,NZ,NZD,normal_days,OOS,
7,0.0,-0.3422,2.359,NZ,NZD,day_before,OOS,-0.6261
6,16.7,-0.0397,1.0,NZ,NZD,on_holiday,OOS,-0.3236
8,0.0,-0.7176,4.741,NZ,NZD,day_after,OOS,-1.0015
