family,fast,slow,kind,n,lift,surrogate,sd,excess,p
mas,5,8,shape only,3022,1.1080882498346059,1.1180998342456958,0.06816035197611885,-0.010011584411089958,0.5853658536585366
mas,5,8,activity only,3147,0.9496123707066112,0.9770168725563491,0.05497488137976342,-0.02740450184973786,0.7804878048780488
mas,5,8,both,130,1.5393699161815104,1.0595283533269257,0.3187616165704967,0.4798415628545847,0.12195121951219512
mas,5,8,combined (shipped),5129,1.0326493972070936,1.0296209135041878,0.04573269680552336,0.00302848370290576,0.4878048780487805
mas,5,20,shape only,3022,1.0105931054799577,1.0879106578915843,0.08696526934182693,-0.07731755241162652,0.8048780487804879
mas,5,20,activity only,3147,1.0314866902181234,1.0167809985095448,0.06962160973738961,0.014705691708578605,0.43902439024390244
mas,5,20,both,130,1.0342567273015495,1.0817258493831337,0.40197299617851145,-0.04746912208158416,0.5121951219512195
mas,5,20,combined (shipped),5129,1.014869634928379,1.0554060458499315,0.04755554385880723,-0.04053641092155247,0.8292682926829268
vol,5,60,shape only,3022,1.1562582899739429,0.9637447308451208,0.08918617594957733,0.19251355912882206,0.024390243902439025
vol,5,60,activity only,3147,1.0111945626637844,0.9917174692611332,0.08005067502235606,0.019477093402651136,0.4146341463414634
vol,5,60,both,130,0.47997425168973296,1.2010214133030068,0.5348605454364468,-0.7210471616132739,0.8780487804878049
vol,5,60,combined (shipped),5129,0.9914851231531918,0.9550756622115276,0.05573577459910925,0.036409460941664196,0.3170731707317073
vol,8,200,shape only,3022,1.2648492530752686,1.2372065323564636,0.13603708113466123,0.027642720718805025,0.43902439024390244
vol,8,200,activity only,3147,1.3378301748262809,0.8730386687888473,0.0986680984810716,0.4647915060374336,0.024390243902439025
vol,8,200,both,130,1.2783861012687163,1.2896331768017724,0.707652607756426,-0.011247075533056039,0.4878048780487805
vol,8,200,combined (shipped),5129,1.2312784831872605,1.029515459018161,0.09732991988243411,0.20176302416909953,0.024390243902439025
rng,5,60,shape only,3022,1.0716786322314116,1.0085231783780526,0.08692362930792179,0.06315545385335897,0.24390243902439024
rng,5,60,activity only,3147,0.9004722666914236,1.0041300015720356,0.08771276510378427,-0.10365773488061203,0.8536585365853658
rng,5,60,both,130,0.5838845240270419,1.0298879574226245,0.33469969987037634,-0.44600343339558257,0.9024390243902439
rng,5,60,combined (shipped),5129,0.9570135631352438,1.0130663737573862,0.06251082682446124,-0.0560528106221424,0.8048780487804879
rng,72,200,shape only,3022,1.0885467357028846,1.048131076143203,0.35744637052895684,0.04041565955968163,0.4634146341463415
rng,72,200,activity only,3147,1.509891150613407,0.9451320968112782,0.2968988846636171,0.5647590538021288,0.07317073170731707
rng,72,200,both,130,0.0,0.7803455472568495,1.3394798307468778,-0.7803455472568495,1.0
rng,72,200,combined (shipped),5129,1.1402138550877554,0.9794512576507373,0.27428891356563,0.16076259743701815,0.3170731707317073
