pair,source_url,provenance,raw_spread_pips,markup,marked_up_pips,pip_size,median_price,cost_frac_roundtrip,cost_bp_roundtrip,fetch_date,crisis_multiplier,swap
AUDCAD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,0.94114,0.00044627,4.463,2026-09-06,2.0,EXCLUDED
AUDCHF,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,0.7534,0.00055747,5.575,2026-09-06,2.0,EXCLUDED
AUDJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.2,1.5,1.8,0.01,86.38,0.00020838,2.084,2026-09-06,2.0,EXCLUDED
AUDNZD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.10043,0.00038167,3.817,2026-09-06,2.0,EXCLUDED
AUDUSD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.1,1.5,1.65,0.0001,0.7575,0.00021782,2.178,2026-09-06,2.0,EXCLUDED
CADCHF,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,0.76892,0.00054622,5.462,2026-09-06,2.0,EXCLUDED
CADJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.01,90.785,0.00046263,4.626,2026-09-06,2.0,EXCLUDED
CHFJPY,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.01,111.4125,0.00037698,3.77,2026-09-06,2.0,EXCLUDED
EURAUD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.5873,0.0002646,2.646,2026-09-06,2.0,EXCLUDED
EURCAD,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.4678,0.00028614,2.861,2026-09-06,2.0,EXCLUDED
EURCHF,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,"derived: widest published major x2.0 (project cross:major ratio, CLAUDE.md)",2.8,1.5,4.2,0.0001,1.14958,0.00036535,3.654,2026-09-06,2.0,EXCLUDED
EURGBP,https://www.compareforexbrokers.com/reviews/thinkmarkets-review/,published (ThinkMarkets Standard),1.1,1.5,1.65,0.0001,0.85094,0.0001939,1.939,2026-09-06,2.0,EXCLUDED
