pair,source_url,provenance,raw_spread_pips,markup,marked_up_pips,pip_size,median_price,cost_frac_roundtrip,cost_bp_roundtrip,fetch_date,crisis_multiplier,swap,group,entry_hour_ny,bp_2004_2015,bp_2021_2026,old_flat_bp
AUDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",6.8,1.0,6.8,0.0001,0.94114,0.0007092236118536241,7.092,2026-09-16,2.0,EXCLUDED,cross,17,7.662,4.708,4.463
AUDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",7.6,1.0,7.6,0.0001,0.7534,0.0010664187470946968,10.664,2026-09-16,2.0,EXCLUDED,cross,17,5.75,5.626,5.575
AUDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",6.1,1.0,6.1,0.01,86.38,0.0007702098495481442,7.702,2026-09-16,2.0,EXCLUDED,cross,17,4.997,3.921,2.084
AUDNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",10.0,1.0,10.0,0.0001,1.10043,0.0009511489879775834,9.511,2026-09-16,2.0,EXCLUDED,cross,17,9.316,4.954,3.817
AUDUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",3.8,1.0,3.8,0.0001,0.7575,0.0005343847714782692,5.344,2026-09-16,2.0,EXCLUDED,major,17,3.469,2.663,2.178
CADCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",5.8,1.0,5.8,0.0001,0.76892,0.0007795210569776773,7.795,2026-09-16,2.0,EXCLUDED,cross,17,7.802,6.478,5.462
CADJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",5.2,1.0,5.2,0.01,90.785,0.0006296760602885361,6.297,2026-09-16,2.0,EXCLUDED,cross,17,4.879,3.504,4.626
CHFJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",8.7,1.0,8.7,0.01,111.4125,0.0007705589406241818,7.706,2026-09-16,2.0,EXCLUDED,cross,17,4.545,3.698,3.77
EURAUD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",9.0,1.0,9.0,0.0001,1.5873,0.0005728762205445513,5.729,2026-09-16,2.0,EXCLUDED,cross,17,5.484,3.307,2.646
EURCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",8.4,1.0,8.4,0.0001,1.4678,0.0005683318790723603,5.683,2026-09-16,2.0,EXCLUDED,cross,17,5.693,2.417,2.861
EURCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",6.0,1.0,6.0,0.0001,1.14958,0.0005472825655194902,5.473,2026-09-16,2.0,EXCLUDED,cross,17,2.719,2.48,3.654
EURGBP,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 17:00 NY, 2016-2020, n=1295",6.5,1.0,6.5,0.0001,0.85094,0.0007515000645820062,7.515,2026-09-16,2.0,EXCLUDED,cross,17,3.037,3.377,1.939
