driver,block,bucket,pair_bars,metric,p,base,lift,real_lift,n_shifts,null_mean_lift,null_sd,rank_of_real,n_compared,p_null
F COT |net|,is,low,9488.0,P(acute crisis in 20 bars),0.1260539629005059,0.12249130083301114,1.0290850210853066,,,,,,,
F COT |net|,is,mid,9482.0,P(acute crisis in 20 bars),0.11231807635519933,0.12249130083301114,0.9169473717020878,,,,,,,
F COT |net|,is,high,9481.0,P(acute crisis in 20 bars),0.1291003058749077,0.12249130083301114,1.0539548930981346,,,,,,,
F COT |net|,is,top decile (declared cell),2849.0,P(acute crisis in 20 bars),0.16216216216216217,0.12249130083301114,1.3238667648997635,,,,,,,
F COT |net|,is,low,9488.0,P(trending in 20 bars),0.42105817875210794,0.4401954237109416,0.9565255703989319,,,,,,,
F COT |net|,is,mid,9482.0,P(trending in 20 bars),0.45992406665260493,0.4401954237109416,1.0448179192217553,,,,,,,
F COT |net|,is,high,9481.0,P(trending in 20 bars),0.4396160742537707,0.4401954237109416,0.9986838812355502,,,,,,,
F COT |net|,is,low,9488.0,P(ranging in 20 bars),0.4624789207419899,0.4400548311131419,1.0509574899385266,,,,,,,
F COT |net|,is,mid,9482.0,P(ranging in 20 bars),0.4370385994515925,0.4400548311131419,0.9931457821882794,,,,,,,
F COT |net|,is,high,9481.0,P(ranging in 20 bars),0.42063073515451954,0.4400548311131419,0.9558598279457855,,,,,,,
F COT |net|,is,low,9488.0,P(trend-in-range in 20 bars),0.2881534569983137,0.329232715897508,0.8752272878252398,,,,,,,
F COT |net|,is,mid,9482.0,P(trend-in-range in 20 bars),0.31480700274203754,0.329232715897508,0.956183840612118,,,,,,,
F COT |net|,is,high,9481.0,P(trend-in-range in 20 bars),0.3847695390781563,0.329232715897508,1.1686856150648686,,,,,,,
F COT |net|,oos,low,6771.0,P(acute crisis in 20 bars),0.15669768128784523,0.14977116704805493,1.046247314328317,,,,,,,
F COT |net|,oos,mid,6718.0,P(acute crisis in 20 bars),0.129353974397142,0.14977116704805493,0.8636774149969603,,,,,,,
F COT |net|,oos,high,3991.0,P(acute crisis in 20 bars),0.17238787271360562,0.14977116704805493,1.1510084091038295,,,,,,,
F COT |net|,oos,top decile (declared cell),640.0,P(acute crisis in 20 bars),0.178125,0.14977116704805493,1.1893143621084796,,,,,,,
F COT |net|,oos,low,6771.0,P(trending in 20 bars),0.3236779560308972,0.3688940092165899,0.8774280631943122,,,,,,,
F COT |net|,oos,mid,6718.0,P(trending in 20 bars),0.3722255548890222,0.3688940092165899,1.009031173153252,,,,,,,
F COT |net|,oos,high,3991.0,P(trending in 20 bars),0.4401515151515151,0.3688940092165899,1.1931652565631328,,,,,,,
F COT |net|,oos,low,6771.0,P(ranging in 20 bars),0.55941770647653,0.5375,1.040777128328428,,,,,,,
F COT |net|,oos,mid,6718.0,P(ranging in 20 bars),0.5572885422915417,0.5375,1.0368158926354265,,,,,,,
F COT |net|,oos,high,3991.0,P(ranging in 20 bars),0.4669191919191919,0.5375,0.8686868686868687,,,,,,,
F COT |net|,oos,low,6771.0,P(trend-in-range in 20 bars),0.3355614973262032,0.3400345622119816,0.9868452640323374,,,,,,,
F COT |net|,oos,mid,6718.0,P(trend-in-range in 20 bars),0.3122375524895021,0.3400345622119816,0.9182523989865756,,,,,,,
F COT |net|,oos,high,3991.0,P(trend-in-range in 20 bars),0.39444444444444443,0.3400345622119816,1.1600127995181357,,,,,,,
F COT |net|,is,top decile (declared cell),,NULL of the declared cell,,,,1.3238667648997635,50.0,0.9560758234857696,0.23385469454201563,9.0,51.0,0.17647058823529413
F COT |net|,oos,top decile (declared cell),,NULL of the declared cell,,,,1.1893143621084796,50.0,1.0342619094419918,0.27430157976529207,24.0,51.0,0.47058823529411764
