structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.773462970780822,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,20.51857725355498
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.3462996491182886,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,12.155636735324709
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.5818924922056974,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,18.362365214476362
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,0.9080680555603968,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,10.647773190674815
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,1.578323779993457,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,15.856468615919077
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,1.2695082295527542,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,12.934539242903002
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.677526183671698,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,15.651710547260928
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.3295112154911832,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,13.005796269573935
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.1414406008171984,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,12.49514579087182
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,0.9377972187560781,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,10.844825065436428
