structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.3321468320922802,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.27695553076383
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.3311797743598257,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,13.699672552192908
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,0.9237429743173119,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.496025844973017
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,0.8875316307534153,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,6.919017031597395
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,0.9634358793574486,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.051448819787671
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,0.7035292512247258,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.254054372602037
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.043788232678151,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.388928321801107
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.0688222412335118,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.603749679814154
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,0.9669748184726691,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.653502851494747
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,0.8033010583992183,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,7.301947329171688
