structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.7779858195841771,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,20.253169107950225
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.2980676631761023,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,12.675331443889126
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.3892890476683264,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,15.801459636297995
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,0.8586649330274279,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,10.062337418080238
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,1.592824936171661,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,14.525814594707427
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,1.3177114473529956,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,13.652664068243944
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.7064146736901478,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,17.494681606622315
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.3210984830594474,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,13.62287249546327
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.2339488782160126,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,12.659017841972265
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,0.9155382875070861,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,10.630758871586764
