structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.6004663105767096,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.27219738791576
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.323759030479052,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.63835819528352
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.4914036012646308,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,13.32374237266322
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,0.9611476354870722,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,8.410926446532551
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,1.502703768929213,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,6.4912715319039815
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,1.3203689960256748,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.611910789259294
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.5188890399392199,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.012872522364692
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.2590016338356527,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.8626193077044215
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.4530034678253712,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.154276366136472
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,1.300287129310493,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.020902142580898
