structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,227,227,6,1.4146436400247082,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.584298495446067
SLICE_BALANCED,1,2011-2015,2016-2016,False,227,227,6,1.2712596297989025,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,10.51642655580584
ALLPASS,2,2012-2016,2017-2017,False,210,210,6,1.2649997570769291,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,6.9278897971949736
SLICE_BALANCED,2,2012-2016,2017-2017,False,210,210,6,1.1120056779242518,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,10.044812706170527
ALLPASS,3,2013-2017,2018-2018,False,218,218,6,1.11937018183453,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.566308970218329
SLICE_BALANCED,3,2013-2017,2018-2018,False,218,218,6,0.9977781238301427,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.90702925209356
ALLPASS,4,2014-2018,2019-2019,False,215,215,6,1.2813375121754111,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.333466190432561
SLICE_BALANCED,4,2014-2018,2019-2019,False,215,215,6,1.1552392767673993,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.667587538220516
ALLPASS,5,2015-2019,2020-2020,False,202,202,6,1.2217881941094615,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.714586085042088
SLICE_BALANCED,5,2015-2019,2020-2020,False,202,202,6,1.0628234723727394,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,10.575290553807356
