strategy,detector,state,cell,data_pct,net_profit,retdd,pf,trades,win,avgtrade,expo,retexp,imp_retexp,imp_retdd,imp_pf,imp_win,imp_avg
mean_reversion n=60 e=2.0,-,-,BASELINE,1.0,0.135201160685123,2.3941864583577024,1.0838912193655637,2090,0.5067720090293454,6.46895505670445e-05,0.6030581532838869,0.22419257570584186,0.0,0.0,0.0,0.0,0.0
mean_reversion n=60 e=2.0,trend_sma200,A,trend_sma200 A,0.5137724389981726,0.05859832859170855,2.201444765881575,1.065280536476813,2325,0.49360421369450713,2.5203582189982173e-05,0.31266795657314844,0.1874139238121752,-0.16404937486388096,-0.08050404420395017,-0.017170249704249938,-0.025983667409057214,-0.6103917561792135
mean_reversion n=60 e=2.0,trend_sma200,B,trend_sma200 B,0.48622756100182735,0.07660283209341445,1.589583614814879,1.0819113182795483,2289,0.5184349134687735,3.3465632194589104e-05,0.29039019671073846,0.2637927621562223,0.17663469151779138,-0.3360652386676444,-0.0018266603240629736,0.023014105419450506,-0.4826732926532672
mean_reversion n=60 e=2.0,vol_regime,A,vol_regime A,0.42432548640223583,0.080911760420949,1.6613835098096377,1.087864913524854,2076,0.4620015048908954,3.897483642627601e-05,0.2536278619800065,0.31901763390383064,0.4229625262988488,-0.3060759724832512,0.003666137420705563,-0.08834446919079436,-0.39750955007977157
mean_reversion n=60 e=2.0,vol_regime,B,vol_regime B,0.5756745135977641,0.054289400264174,2.048977068343062,1.0649598685852901,2398,0.48683220466516175,2.2639449651448706e-05,0.3494302913038805,0.15536546663311873,-0.30699994795112956,-0.14418651012312442,-0.017466098481132317,-0.03934669636228663,-0.6500292635673037
mean_reversion n=60 e=2.0,markov_naive,A,markov_naive A,0.39557132107922177,0.04950403476847369,1.291757592027841,1.0675976070745112,22359,0.500752445447705,2.2140540618307477e-06,0.2413603138772439,0.20510428567660668,-0.08514238247693136,-0.4604607391715326,-0.015032516178689585,-0.011878247958426175,-0.9657741622499588
mean_reversion n=60 e=2.0,markov_naive,B,markov_naive B,0.6044286789207782,0.08569712591664932,2.818160740799082,1.0824595258836762,22617,0.508653122648608,3.7890580499911273e-06,0.361697839406643,0.23693015710913146,0.05681535779312467,0.17708490538042956,-0.0013208829966585085,0.003711952487008111,-0.9414270463038056
mean_reversion n=60 e=2.0,hmm_2state,A,hmm_2state A,0.9346447382564764,0.11940228824054858,3.3691737476011943,1.0849877085534614,3094,0.508653122648608,3.8591560517307235e-05,0.555465978716543,0.2149587784231879,-0.04118690038500398,0.40723114352266726,0.0010116229085604565,0.003711952487008111,-0.40343440047074075
mean_reversion n=60 e=2.0,hmm_2state,B,hmm_2state B,0.06535526174352359,0.015798872444574424,0.4005361813570758,1.056204540754404,1426,0.22310007524454478,1.1079153186938586e-05,0.04759217456734387,0.3319636597444966,0.4807076402925082,-0.8327046834807409,-0.025543779778348503,-0.5597624350408315,-0.8287334957528247
momentum 30/120,-,-,BASELINE,1.0,-0.2253501232521346,-0.8420456781659023,0.9019322773508708,864,0.49134687735139204,-0.0002608219019121928,1.0,-0.2253501232521346,0.0,0.0,0.0,0.0,0.0
momentum 30/120,trend_sma200,A,trend_sma200 A,0.5137724389981726,-0.10440682841854866,-0.7526666496447573,0.9188227319069849,3360,0.510910458991723,-3.107346083885377e-05,0.5137724389981726,-0.20321609431236934,0.09822062051858942,0.10614510689708127,0.01872696540556715,0.03981623277182222,0.8808632993968627
momentum 30/120,trend_sma200,B,trend_sma200 B,0.48622756100182735,-0.12094329483358598,-0.7604106414046056,0.9115568506900437,3372,0.47366440933032355,-3.586693203843001e-05,0.48622756100182735,-0.24873804887652481,-0.10378483617789044,0.09694846595390127,0.01067105987984142,-0.03598774885145485,0.8624849685725211
momentum 30/120,vol_regime,A,vol_regime A,0.42432548640223583,-0.10372324360348645,-0.7134783402237277,0.9205497290306401,2341,0.45372460496614,-4.430723776312962e-05,0.42432548640223583,-0.24444264350683584,-0.08472380657781771,0.15268451733190164,0.020641740125380583,-0.07656967840735068,0.8301245507440326
momentum 30/120,vol_regime,B,vol_regime B,0.5756745135977641,-0.12162687964864823,-0.8582712018310066,0.8995156273582593,2465,0.4785553047404063,-4.9341533326023624e-05,0.5756745135977641,-0.2112771657868312,0.06244930005899209,-0.019269172784599845,-0.002679414023977055,-0.0260336906584993,0.8108228911595211
momentum 30/120,markov_naive,A,markov_naive A,0.39557132107922177,-0.0905986257948042,-0.7694925822925788,0.9145702616338266,36207,0.48645598194130923,-2.502240610788085e-06,0.39557132107922177,-0.22903234124159333,-0.016339986578746392,0.08616289799308116,0.014012121087489778,-0.009954058192955667,0.9904063248046153
momentum 30/120,markov_naive,B,markov_naive B,0.6044286789207782,-0.13475149745733042,-0.7915616023867182,0.909042268822844,36403,0.4924755455229496,-3.7016591340639623e-06,0.6044286789207782,-0.22294027758234838,0.010693784565140651,0.05995408216944437,0.007883065780566674,0.0022970903522204866,0.98580771358952
momentum 30/120,hmm_2state,A,hmm_2state A,0.9346447382564764,-0.2007671546815703,-0.805913734330181,0.9032759754289901,2621,0.49209932279909707,-7.659944856221683e-05,0.9346447382564764,-0.2148058470388325,0.04679063876749949,0.042909719475577486,0.0014897993029653668,0.0015313935681469909,0.7063151215421913
momentum 30/120,hmm_2state,B,hmm_2state B,0.06535526174352359,-0.02458296857056433,-0.5625126354818236,0.9257880602252719,1881,0.2516930022573363,-1.3069095465478113e-05,0.06535526174352359,-0.37614367863809206,-0.6691523093477122,0.331968977375363,0.026449638707320314,-0.48774885145482394,0.9498926456341925
