driver,block,bucket,days,metric,p,base,lift,real,n_shifts,null_mean,null_sd,rank_of_real,n_compared
B MOVE level,is,low,1101.0,P(crisis in 20 bars),0.148047229791099,0.13299000302938505,1.1132207415499265,,,,,,
B MOVE level,is,mid,1100.0,P(crisis in 20 bars),0.1409090909090909,0.13299000302938505,1.0595464899565126,,,,,,
B MOVE level,is,high,1100.0,P(crisis in 20 bars),0.11,0.13299000302938505,0.827129840546697,,,,,,
B MOVE level,oos,low,1453.0,P(crisis in 20 bars),0.10667584308327598,0.13443983402489626,0.7934838945391824,,,,,,
B MOVE level,oos,mid,1492.0,P(crisis in 20 bars),0.10723860589812333,0.13443983402489626,0.7976698772051767,,,,,,
B MOVE level,oos,high,670.0,P(crisis in 20 bars),0.25522388059701495,0.13443983402489626,1.8984245439469323,,,,,,
B MOVE level,is,low,1101.0,P(trending in 20 bars),0.4336966394187103,0.462370710174406,0.9379846730670292,,,,,,
B MOVE level,is,mid,1100.0,P(trending in 20 bars),0.45321428571428574,0.462370710174406,0.9801967895919133,,,,,,
B MOVE level,is,high,1100.0,P(trending in 20 bars),0.5002272727272727,0.462370710174406,1.081874914910997,,,,,,
B MOVE level,is,low,1101.0,P(ranging in 20 bars),0.4507590502140911,0.44280953823516683,1.0179524407053364,,,,,,
B MOVE level,is,mid,1100.0,P(ranging in 20 bars),0.4650324675324675,0.44280953823516683,1.0501862028218067,,,,,,
B MOVE level,is,high,1100.0,P(ranging in 20 bars),0.4126298701298701,0.44280953823516683,0.9318450360722155,,,,,,
B MOVE level,oos,low,1453.0,P(trending in 20 bars),0.3749252839210998,0.3793562487581959,0.9883197789634397,,,,,,
B MOVE level,oos,mid,1492.0,P(trending in 20 bars),0.37244897959183676,0.3793562487581959,0.9817921302496803,,,,,,
B MOVE level,oos,high,670.0,P(trending in 20 bars),0.40421108742004264,0.3793562487581959,1.065518463827096,,,,,,
B MOVE level,oos,low,1453.0,P(ranging in 20 bars),0.5117304243873282,0.48218756209020464,1.06126840387392,,,,,,
B MOVE level,oos,mid,1492.0,P(ranging in 20 bars),0.45271629778672035,0.48218756209020464,0.9388800819006381,,,,,,
B MOVE level,oos,high,670.0,P(ranging in 20 bars),0.48454157782515994,0.48218756209020464,1.004881950344698,,,,,,
B MOVE level,is,,,"P(crisis in 20 bars) lift, high bucket",0.5098039215686274,,,0.827129840546697,50.0,1.00206924281507,0.23005021504251144,26.0,51.0
B MOVE level,oos,,,"P(crisis in 20 bars) lift, high bucket",0.043478260869565216,,,1.6614697448717006,45.0,0.9470619968085007,0.24352974071499794,2.0,46.0
