driver,block,bucket,days,metric,p,base,lift,real,n_shifts,null_mean,null_sd,rank_of_real,n_compared
C equity |corr|,is,low,1417.0,P(crisis in 20 bars),0.10162314749470713,0.12146033231921367,0.836677667138504,,,,,,
C equity |corr|,is,mid,1417.0,P(crisis in 20 bars),0.11644318983768526,0.12146033231921367,0.9586931602628691,,,,,,
C equity |corr|,is,high,1439.0,P(crisis in 20 bars),0.1459346768589298,0.12146033231921367,1.2015007210370077,,,,,,
C equity |corr|,oos,low,580.0,P(crisis in 20 bars),0.22241379310344828,0.1527464258841234,1.4560981824358756,,,,,,
C equity |corr|,oos,mid,1105.0,P(crisis in 20 bars),0.16923076923076924,0.1527464258841234,1.1079196665403563,,,,,,
C equity |corr|,oos,high,973.0,P(crisis in 20 bars),0.09249743062692703,0.1527464258841234,0.6055619965674188,,,,,,
C equity |corr|,is,low,1417.0,P(trending in 20 bars),0.4387287024901704,0.44115041289157836,0.994510465522327,,,,,,
C equity |corr|,is,mid,1417.0,P(trending in 20 bars),0.4291511241052525,0.44115041289157836,0.9728000055407975,,,,,,
C equity |corr|,is,high,1439.0,P(trending in 20 bars),0.4553509381514941,0.44115041289157836,1.0321897585153248,,,,,,
C equity |corr|,is,low,1417.0,P(ranging in 20 bars),0.44747454380481905,0.4366788138143158,1.0247223580558085,,,,,,
C equity |corr|,is,mid,1417.0,P(ranging in 20 bars),0.43953523540679507,0.4366788138143158,1.0065412415306547,,,,,,
C equity |corr|,is,high,1439.0,P(ranging in 20 bars),0.4232353817134915,0.4366788138143158,0.9692143706643376,,,,,,
C equity |corr|,oos,low,580.0,P(trending in 20 bars),0.36767241379310345,0.38255442434744935,0.9610983180243406,,,,,,
C equity |corr|,oos,mid,1105.0,P(trending in 20 bars),0.37240731138190303,0.38255442434744935,0.9734753741696884,,,,,,
C equity |corr|,oos,high,973.0,P(trending in 20 bars),0.40328003586371786,0.38255442434744935,1.0541768966641065,,,,,,
C equity |corr|,oos,low,580.0,P(ranging in 20 bars),0.5142857142857142,0.5082042673020687,1.01196654057222,,,,,,
C equity |corr|,oos,mid,1105.0,P(ranging in 20 bars),0.5130606689136634,0.5082042673020687,1.009556003213779,,,,,,
C equity |corr|,oos,high,973.0,P(ranging in 20 bars),0.4989166168559474,0.5082042673020687,0.9817245720988784,,,,,,
C equity |corr|,is,,,"P(crisis in 20 bars) lift, high bucket",0.37254901960784315,,,1.2138728323699421,50.0,0.9152815093486615,0.2198296132783616,19.0,51.0
C equity |corr|,oos,,,"P(crisis in 20 bars) lift, high bucket",0.09803921568627451,,,0.6055619965674188,50.0,0.9792455241439961,0.2198682532798189,5.0,51.0
