driver,block,bucket,days,metric,p,base,lift
E commodity |21d chg|,is,low,1279,P(crisis in 20 bars),0.10711493354182955,0.12146033231921367,0.8818923141122113
E commodity |21d chg|,is,mid,1278,P(crisis in 20 bars),0.10876369327073553,0.12146033231921367,0.8954667848667686
E commodity |21d chg|,is,high,1716,P(crisis in 20 bars),0.14160839160839161,0.12146033231921367,1.1658818060552165
E commodity |21d chg|,is,low,1279,P(trending in 20 bars),0.4501284485647269,0.44115041289157836,1.0203514162308063
E commodity |21d chg|,is,mid,1278,P(trending in 20 bars),0.44841269841269843,0.44115041289157836,1.0164621528369846
E commodity |21d chg|,is,high,1716,P(trending in 20 bars),0.42905011655011654,0.44115041289157836,0.9725710415589349
E commodity |21d chg|,is,low,1279,P(ranging in 20 bars),0.4509103093934994,0.4366788138143158,1.0325903046563536
E commodity |21d chg|,is,mid,1278,P(ranging in 20 bars),0.4541974066621954,0.4366788138143158,1.0401177989260748
E commodity |21d chg|,is,high,1716,P(ranging in 20 bars),0.4130244755244755,0.4366788138143158,0.9458312665017485
E commodity |21d chg|,is,low,1279,P(trend-in-range in 20 bars),0.34977102647157376,0.33450068536658756,1.045651150425151
E commodity |21d chg|,is,mid,1278,P(trend-in-range in 20 bars),0.3563603845293986,0.33450068536658756,1.0653502372913062
E commodity |21d chg|,is,high,1716,P(trend-in-range in 20 bars),0.30683899433899436,0.33450068536658756,0.9173045310885445
E commodity |21d chg|,oos,low,815,P(crisis in 20 bars),0.13496932515337423,0.1527464258841234,0.8836169119647013
E commodity |21d chg|,oos,mid,980,P(crisis in 20 bars),0.14489795918367346,0.1527464258841234,0.9486176736704534
E commodity |21d chg|,oos,high,863,P(crisis in 20 bars),0.17844727694090382,0.1527464258841234,1.168258281056459
E commodity |21d chg|,oos,low,815,P(trending in 20 bars),0.376205083260298,0.38255442434744935,0.983402777008835
E commodity |21d chg|,oos,mid,980,P(trending in 20 bars),0.3750184284240012,0.38255442434744935,0.98030085278375
E commodity |21d chg|,oos,high,863,P(trending in 20 bars),0.3971646035463366,0.38255442434744935,1.0381911128692574
E commodity |21d chg|,oos,low,815,P(ranging in 20 bars),0.5058720420683611,0.5082042673020687,0.9954108507469077
E commodity |21d chg|,oos,mid,980,P(ranging in 20 bars),0.515516733008993,0.5082042673020687,1.0143888317698402
E commodity |21d chg|,oos,high,863,P(ranging in 20 bars),0.5021328203412513,0.5082042673020687,0.988053136599877
E commodity |21d chg|,oos,low,815,P(trend-in-range in 20 bars),0.35083260297984226,0.3446333802664356,1.0179878765911012
E commodity |21d chg|,oos,mid,980,P(trend-in-range in 20 bars),0.3459015185021377,0.3446333802664356,1.0036796732653166
E commodity |21d chg|,oos,high,863,P(trend-in-range in 20 bars),0.33727835396453665,0.3446333802664356,0.9786584041969099
