driver,W,block,group,episodes,mean_drv,sep_vs_rest,real,n_shifts,null_mean,null_sd,rank_of_real,n_compared,p
C equity |corr|,21,is,trending,697.0,0.26452465480487675,-0.02936499542229491,,,,,,,
C equity |corr|,21,is,ranging,711.0,0.24978559403962747,-0.17074395035139095,,,,,,,
C equity |corr|,21,is,crisis,990.0,0.2825997321000747,0.17190016423777144,,,,,,,
C equity |corr|,21,oos,trending,444.0,0.2983278281586753,0.12867087823751983,,,,,,,
C equity |corr|,21,oos,ranging,437.0,0.2773386446073057,-0.06628630171428924,,,,,,,
C equity |corr|,21,oos,crisis,778.0,0.28063561810636856,-0.04962662032563795,,,,,,,
C equity |corr|,63,is,trending,697.0,0.2103299807804919,-0.013300670160241864,,,,,,,
C equity |corr|,63,is,ranging,711.0,0.1971106680616174,-0.13732194542146178,,,,,,,
C equity |corr|,63,is,crisis,990.0,0.22328943232749446,0.12947730381181297,,,,,,,
C equity |corr|,63,oos,trending,444.0,0.23388781265556,0.0001280356108569617,,,,,,,
C equity |corr|,63,oos,ranging,437.0,0.23900457851577225,0.049443492509655074,,,,,,,
C equity |corr|,63,oos,crisis,778.0,0.23098557744244647,-0.03862254463653426,,,,,,,
C,21,is,crisis,,,,0.17190016423777144,50.0,-0.021937533433251312,0.08344368546828496,2.0,51.0,0.0392156862745098
C,21,oos,crisis,,,,-0.04962662032563795,50.0,-0.012569759966455119,0.07572387820856841,27.0,51.0,0.5294117647058824
