pair,n,peak_chop,peak_trend,eff_chop,eff_trend,mfe_chop,mfe_trend,peak_later_in_trend,eff_higher_in_trend
AUDCAD,389,10.069565217391304,9.978571428571428,0.18378977049920112,0.20764308786793104,0.012478845107360597,0.009596938602678238,False,True
AUDCHF,401,8.933333333333334,10.552631578947368,0.19935858976759763,0.19525641728420998,0.015817063286729605,0.012406176605207804,True,False
AUDJPY,392,8.147826086956522,9.966442953020135,0.20016418552599222,0.207794630751001,0.020683056627328982,0.01850555676578018,True,True
AUDNZD,422,10.557971014492754,10.425806451612903,0.2680960533039327,0.25036686577835526,0.01060422859411124,0.009162362876069833,False,False
AUDUSD,433,11.381578947368421,11.141891891891891,0.2225770220588906,0.21681892048782822,0.02206314045938175,0.015102072431443713,False,False
CADCHF,404,9.115702479338843,8.894117647058824,0.16898041804885844,0.2286224234157994,0.011308318128932725,0.011605712904043709,False,True
CADJPY,405,10.056603773584905,10.436363636363636,0.1884731327686385,0.24708039681141095,0.01887962500252596,0.01862299674943013,True,True
CHFJPY,384,9.09433962264151,10.414285714285715,0.20790665051078505,0.24729556894661694,0.016470880480297954,0.012989684966299521,True,True
EURAUD,402,8.434426229508198,10.687943262411348,0.2146124144108232,0.19557776582341715,0.01272404271565061,0.012160588714733694,True,False
EURCAD,383,9.82857142857143,9.52662721893491,0.16272424004748545,0.23522836770738664,0.012639672288331516,0.010566192070996941,False,True
EURCHF,414,9.1,9.58682634730539,0.186153043352927,0.25571957422141395,0.007389127577866189,0.008580889413791697,True,True
EURGBP,402,10.157894736842104,9.446666666666667,0.18897248751271215,0.21381071941311394,0.012564542012299798,0.008539612437530061,False,True
EURJPY,394,9.631067961165048,9.661870503597122,0.17122466255678967,0.20533019032446126,0.013840146040306972,0.012806468069708593,True,True
EURNZD,416,9.977272727272727,10.276470588235295,0.21458268963773489,0.22001778813029502,0.012883479942203293,0.010901857011085068,True,True
EURUSD,391,9.763157894736842,9.923076923076923,0.20057230772718676,0.21374854160386766,0.013669359220914844,0.01144422373408833,True,True
GBPAUD,379,11.339130434782609,10.181818181818182,0.23149414470538499,0.2226989315493279,0.016073475306932872,0.014152667588729637,False,False
GBPCAD,398,10.907692307692308,10.307692307692308,0.20346262265338969,0.21385350151537824,0.014610846630545939,0.013649158146243354,False,True
GBPCHF,406,10.216666666666667,10.089171974522293,0.1976367462113201,0.26146538720268686,0.014701004509734016,0.013692404441042437,False,True
GBPJPY,391,8.737864077669903,9.54054054054054,0.19599797381054077,0.24151672193485535,0.018000083398636277,0.01739923516665647,True,True
GBPNZD,393,9.584070796460177,10.75625,0.20811557589515248,0.2227134466284295,0.01648216932322131,0.015044092098642372,True,True
GBPUSD,385,9.957264957264957,10.066666666666666,0.18360589639247976,0.22803683410914719,0.018193867027928554,0.014510812975332759,True,True
NZDCAD,419,11.031496062992126,9.99367088607595,0.20934963891147138,0.20572659427302695,0.015520379920766329,0.012780146341889922,False,False
NZDCHF,418,9.625954198473282,10.357142857142858,0.17502479342073882,0.20238115327686626,0.01377952069942533,0.01203430893123412,True,True
NZDJPY,385,9.413793103448276,10.033557046979865,0.19898837606246483,0.24987743933639137,0.01964360880556492,0.019721617493578765,True,True
NZDUSD,437,10.535211267605634,9.732954545454545,0.20535000961438538,0.22006605424097858,0.018857654910178434,0.015246120686951968,False,True
USDCAD,413,9.903703703703703,10.472727272727273,0.1883962605854692,0.26265941666862913,0.012708122383624204,0.013124741206923326,True,True
USDCHF,396,10.914728682170542,9.5578231292517,0.19855000191375288,0.21169032873200816,0.013485400711675,0.011148630584161932,False,True
USDJPY,393,9.626086956521739,10.938271604938272,0.18666779450652515,0.2599249814175263,0.017668624516923057,0.015439548449374771,True,True
