contrast,metric,n_a,n_b,observed,naive_t,p_21,se_21,p_63,se_63,p_126,se_126
structure: non-trending minus trending,bars_to_peak,2320,9065,0.18147502710310626,1.149662386142819,0.324,0.1855762638807404,0.293,0.1705585527614502,0.28,0.14906831571281445
structure: non-trending minus trending,ratio,2320,9065,0.024492988126497806,,0.633,0.051037266004245574,0.657,0.044999593978841436,0.644,0.04125282459548196
structure: non-trending minus trending,path_eff,2320,9065,0.0007161240505770272,0.1935242318206743,0.85,0.006909451739331722,0.951,0.008252074295627826,0.958,0.009382080787158282
grid: strong chop minus strong trend,path_eff,1014,999,0.011220014603815998,1.646940003841087,0.401,0.01009157266454251,0.406,0.01058710099939413,0.39,0.01037576532252062
grid: strong chop minus strong trend,bars_to_peak,1014,999,0.7358926974311579,2.4083373257758005,0.044,0.36712264517321636,0.036,0.37028500536524145,0.016,0.3449813857404846
grid: strong chop minus strong trend,mfe,1014,999,-0.0010494134818832337,-1.347472237517892,0.606,0.001645123880777241,0.617,0.0018021731000294023,0.591,0.0018647499845531024
grid: strong chop minus strong trend,ratio,1014,999,0.05329383828175849,,0.664,0.10845900526081072,0.655,0.1295607591134197,0.498,0.12489836663380804
tier: all differ minus all agree,ratio,1575,2192,0.08773222965450789,,0.306,0.0758364003636621,0.285,0.07620422770431169,0.338,0.0776210754453373
tier: all differ minus all agree,bars_to_peak,1575,2192,0.08404935696906435,0.3706562961314429,0.798,0.2560497434964497,0.75,0.23027073522282476,0.737,0.20987242311922458
tier: all differ minus all agree,path_eff,1575,2192,-0.009837419235164208,-1.8658481664042694,0.1,0.007047664085569498,0.096,0.007059497511173785,0.074,0.006457800783697487
