group,n,retention,vs_price_baseline
dollar,3,1.0,0.3937220588586866
commodities,9,0.8888888888888888,0.28261094774757545
us-yields,9,0.7777777777777778,0.1714998366364644
bonds,12,0.75,0.1437220588586866
credit,9,0.6666666666666666,0.06038872552535324
rates-vol,3,0.6666666666666666,0.06038872552535324
equity-vol,12,0.5833333333333334,-0.022944607807980022
panel,18,0.5555555555555556,-0.05072238558575781
ALL EXTERNAL,75,0.6933333333333334,0.08705539219201996
"(FX price, all signals)",167316,0.6062779411413134,0.0
(FX cross-sectional),964,0.6690871369294605,0.06280919578814714
