b,f,n,retention,best_to,med_to
regime-v5,dispvsown,34,0.9117647058823529,15.92,6.36
regime-v5,pr_tsexceed,34,0.8823529411764706,11.37,3.6
regime-v5,pr_q10q90,34,0.8529411764705882,10.91,3.0949999999999998
regime-v5,volaccel,34,0.8529411764705882,16.44,4.24
regime-v5,volofvol,34,0.8529411764705882,13.35,4.734999999999999
regime-v5,zz_tsexceed,34,0.8529411764705882,12.97,4.050000000000001
trend-duration,ep_mu,360,0.8472222222222222,18.56,5.585
trend-duration,oc_mu,360,0.8472222222222222,18.56,5.585
regime-v5,ps_volkurt,32,0.84375,9.07,2.99
regime-v5,pr_minvol,34,0.8235294117647058,16.28,5.24
regime-v5,zz_volaccel,34,0.8235294117647058,16.75,4.295
regime-v5,pr_exceed2,34,0.8235294117647058,13.95,4.62
regime-v5,volsplit,34,0.8235294117647058,12.59,3.17
regime-v5,zs_dispvsown,34,0.8235294117647058,15.18,5.245
trend-duration,dts,1053,0.8214624881291548,27.94,7.65
trend-duration,ts_sd,2022,0.8204747774480712,18.89,5.65
regime-v5,tsexceed,32,0.8125,14.7,4.415
trend-duration,ts_sg,2125,0.8117647058823529,21.59,7.04
trend-duration,cx2._s,741,0.8043184885290149,27.51,7.34
regime-v5,zz_volofvol,34,0.7941176470588235,15.03,5.34
regime-v5,ps_exceed2,34,0.7941176470588235,16.98,3.375
regime-v5,zz_quartic,34,0.7941176470588235,12.96,2.87
regime-v5,whip,34,0.7941176470588235,7.92,2.55
regime-v5,minvol,34,0.7941176470588235,19.23,6.445
regime-v5,maxvol,34,0.7941176470588235,13.12,5.07
regime-v5,volpersist,34,0.7941176470588235,13.71,5.54
regime-v5,pr_volskew,34,0.7941176470588235,12.85,2.58
regime-v5,zz_exceed2,34,0.7941176470588235,16.53,4.88
regime-v5,zs_tsexceed,34,0.7941176470588235,9.54,2.91
regime-v5,gini,34,0.7941176470588235,13.25,4.245
trend-duration,ts_su,1993,0.7907676869041645,21.26,6.97
trend-duration,cx1._s,741,0.7881241565452092,24.62,7.65
regime-v5,zz_dispvsown,33,0.7878787878787878,16.47,6.63
trend-duration,ts_md,1140,0.7868421052631579,15.72,5.025
trend-duration,cx2._m,741,0.7840755735492577,27.84,6.88
regime-v5,volkurt,32,0.78125,11.68,3.605
trend-duration,cx2._x,739,0.774018944519621,24.25,7.1
trend-duration,ats,1053,0.7720797720797721,27.07,7.14
regime-v5,zz_q10q90,34,0.7647058823529411,10.11,3.7
trend-duration,oc_su,782,0.7647058823529411,17.01,5.82
