sid,slice,in_contaminated,in_clean,status
A-chop|chop|adx_dmi_signals|adx_dmi_signals|variance_volume_signals|vidya,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|aroon_signals|variance_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|chandelier_exit_signals|chaikin_volatility_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|chandelier_exit_signals|efficiency_ratio_volume_signals|vidya,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|chandelier_exit_signals|variance_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|dpo_signals|chaikin_volatility_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|dpo_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|dpo_signals|vertical_horizontal_filter_volume_signals|frama_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|dspo_signals|variance_volume_signals|alma_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|fisher_transform_signals|fractal_dimension_volume_signals|super_smoother_2pole_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|glitch_index_signals|chaikin_volatility_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|glitch_index_signals|efficiency_ratio_volume_signals|alma_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|halftrend_signals|chaikin_volatility_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|halftrend_signals|chaikin_volatility_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|halftrend_signals|volatility_ratio_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|hieken_ashi_smoothed_signals|damiani_volatmeter_volume_signals|alma_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|kuskus_starlight_signals|variance_volume_signals|hma_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|laguerre_filter_signals|efficiency_ratio_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|parabolic_sar_signals|chaikin_volatility_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|polychromatic_momentum_signals|efficiency_ratio_volume_signals|vidya,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|polychromatic_momentum_signals|variance_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|polychromatic_momentum_signals|variance_volume_signals|vidya,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|price_momentum_oscillator_signals|variance_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|price_momentum_oscillator_signals|variance_volume_signals|vidya,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|qqe_mod_signals|variance_volume_signals|vidya,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|rex_oscillator_signals|efficiency_ratio_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|rex_oscillator_signals|fractal_dimension_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|rex_oscillator_signals|ttm_squeeze_volume_signals|super_smoother_2pole_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|schaff_trend_cycle_signals|efficiency_ratio_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|schaff_trend_cycle_signals|fractal_dimension_volume_signals|frama_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|schaff_trend_cycle_signals|variance_volume_signals|hma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|schaff_trend_cycle_signals|vertical_horizontal_filter_volume_signals|frama_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|ssl_channel_signals|fractal_dimension_volume_signals|frama_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|ssl_channel_signals|ttm_squeeze_volume_signals|super_smoother_2pole_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|supertrend_signals|chaikin_volatility_volume_signals|alma_baseline,A-chop,False,True,ENTERS
A-chop|chop|adx_dmi_signals|supertrend_signals|variance_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|supertrend_signals|variance_volume_signals|hma_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|trend_direction_force_index_signals|ttm_squeeze_volume_signals|frama_baseline,A-chop,True,True,stays
A-chop|chop|adx_dmi_signals|volatility_quality_signals|chaikin_volatility_volume_signals|fantail_vma,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|volatility_quality_signals|fractal_dimension_volume_signals|frama_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|volatility_quality_signals|fractal_dimension_volume_signals|super_smoother_2pole_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|volatility_quality_signals|variance_volume_signals|hma_baseline,A-chop,True,False,LEAVES
A-chop|chop|adx_dmi_signals|volatility_quality_signals|variance_volume_signals|vidya,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|adx_dmi_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|adx_dmi_signals|chaikin_volatility_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|adx_dmi_signals|choppiness_index_volume_signals|t3_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|adx_dmi_signals|variance_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|chaikin_volatility_volume_signals|alma_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|choppiness_index_volume_signals|ema_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|damiani_volatmeter_volume_signals|hma_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|variance_volume_signals|super_smoother_2pole_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|variance_volume_signals|wma_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|volatility_ratio_volume_signals|hma_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|volatility_ratio_volume_signals|super_smoother_2pole_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|bears_bulls_impulse_signals|volatility_ratio_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|center_of_gravity_signals|variance_volume_signals|fantail_vma,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|center_of_gravity_signals|variance_volume_signals|t3_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|center_of_gravity_signals|waddah_attar_explosion_volume_signals|sma_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|donchian_breakout_signals|damiani_volatmeter_volume_signals|lsma_baseline,A-chop,True,True,stays
A-chop|chop|aroon_signals|dpo_signals|chaikin_volatility_volume_signals|lsma_baseline,A-chop,True,True,stays
A-chop|chop|aroon_signals|dpo_signals|chaikin_volatility_volume_signals|mcginley_dynamic_index,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|dpo_signals|efficiency_ratio_volume_signals|frama_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|dpo_signals|efficiency_ratio_volume_signals|vidya,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|dpo_signals|variance_volume_signals|hma_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|dpo_signals|variance_volume_signals|super_smoother_2pole_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|dspo_signals|efficiency_ratio_volume_signals|vidya,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|fisher_transform_signals|chaikin_volatility_volume_signals|wma_baseline,A-chop,True,True,stays
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|hma_baseline,A-chop,True,True,stays
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|choppiness_index_volume_signals|hma_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|choppiness_index_volume_signals|lsma_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|choppiness_index_volume_signals|t3_baseline,A-chop,True,True,stays
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|choppiness_index_volume_signals|tma_baseline,A-chop,False,True,ENTERS
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|choppiness_index_volume_signals|wma_baseline,A-chop,True,False,LEAVES
A-chop|chop|aroon_signals|fx_sniper_ergodic_cci_signals|ttm_squeeze_volume_signals|fantail_vma,A-chop,True,True,stays
