axis,pair,sep
trend,EURGBP,0.18227249398571604
trend,EURAUD,0.1488393169052782
trend,EURNZD,0.1875162512171327
trend,EURUSD,0.19897505931485795
trend,EURCAD,0.13312127791421474
trend,EURCHF,0.1982034329799835
trend,EURJPY,0.09996548902044713
trend,GBPAUD,0.14711400131460511
trend,GBPNZD,0.0916872849923608
trend,GBPUSD,0.18650651138779079
trend,GBPCAD,0.27443781813571755
trend,GBPCHF,0.23687652291853606
trend,GBPJPY,0.08345903718846115
trend,AUDNZD,0.12370373150287386
trend,AUDUSD,0.058536818365941296
trend,AUDCAD,0.10189821625266236
trend,AUDCHF,0.12300016930482105
trend,AUDJPY,0.11949644423186158
trend,NZDUSD,0.0923448076755573
trend,NZDCAD,0.10414300759434318
trend,NZDCHF,0.18309013420596792
trend,NZDJPY,0.10523776936457006
trend,USDCAD,0.1356753212327644
trend,USDCHF,0.09227571898735801
trend,USDJPY,0.07181743842964608
trend,CADCHF,0.09335036854242681
trend,CADJPY,0.05989179694830268
trend,CHFJPY,0.07595193238233452
chop,EURGBP,0.36222346185457877
chop,EURAUD,0.08151237865608962
chop,EURNZD,0.072732041570758
chop,EURUSD,0.17314757156442037
chop,EURCAD,0.12020241791338881
chop,EURCHF,0.20158161528960078
chop,EURJPY,0.4750546225660496
chop,GBPAUD,0.18933256832189232
chop,GBPNZD,0.15143222800501915
chop,GBPUSD,0.17375491396217968
chop,GBPCAD,0.3014775448323273
chop,GBPCHF,0.25198167312901154
chop,GBPJPY,0.10378933773819836
chop,AUDNZD,0.1742875388564008
chop,AUDUSD,0.27726896655895
chop,AUDCAD,0.1597683241839608
chop,AUDCHF,0.10530948522126356
chop,AUDJPY,0.3045198727050706
chop,NZDUSD,0.27672304038951767
chop,NZDCAD,0.2071777856219984
chop,NZDCHF,0.2044665572470658
chop,NZDJPY,0.10475538460208406
chop,USDCAD,0.13073081931297173
chop,USDCHF,0.3107636982200114
chop,USDJPY,0.2537857964441631
chop,CADCHF,0.1964639331000151
chop,CADJPY,0.2401448897535038
chop,CHFJPY,0.04928721726093294
