stream,window,trade_year,group,n,build_median_R,trade_median_R,share_positive,pooled_PF,median_trades
routed,2011-2015,2016,passers,250,0.9794706701314846,-0.04451813894116685,0.428,0.8675356513525778,22.0
routed,2011-2015,2016,non-passers,0,,,,,
routed,2011-2015,2016,all,250,0.9794706701314846,-0.04451813894116685,0.428,0.8675356513525778,22.0
routed,2012-2016,2017,passers,250,0.9229924136316352,-0.017668861711746447,0.46,0.9953040977979949,22.0
routed,2012-2016,2017,non-passers,0,,,,,
routed,2012-2016,2017,all,250,0.9229924136316352,-0.017668861711746447,0.46,0.9953040977979949,22.0
routed,2013-2017,2018,passers,250,0.9559162863569758,0.040543338442932744,0.548,1.084180553430253,20.0
routed,2013-2017,2018,non-passers,0,,,,,
routed,2013-2017,2018,all,250,0.9559162863569758,0.040543338442932744,0.548,1.084180553430253,20.0
routed,2014-2018,2019,passers,249,0.9292832074161036,-0.0818488020361285,0.3654618473895582,0.8431217084019805,18.0
routed,2014-2018,2019,non-passers,1,0.1915352834183094,0.1556073689482014,1.0,1.1921539091464786,124.0
routed,2014-2018,2019,all,250,0.9250178232449061,-0.08184294523252006,0.368,0.8571528969893262,18.0
routed,2015-2019,2020,passers,250,0.879822117923962,-0.00457643383389955,0.488,1.0045672665660297,26.0
routed,2015-2019,2020,non-passers,0,,,,,
routed,2015-2019,2020,all,250,0.879822117923962,-0.00457643383389955,0.488,1.0045672665660297,26.0
routed,POOLED,0,passers,1249,0.9343259321682932,-0.0232281242143781,0.45796637309847876,0.9576478917055575,22.0
routed,POOLED,0,non-passers,1,0.1915352834183094,0.1556073689482014,1.0,1.1921539091464786,124.0
routed,POOLED,0,all,1250,0.9340689542870827,-0.02309510093824885,0.4584,0.9595745342006424,22.0
allon,2011-2015,2016,passers,227,0.288148662160074,-0.0825238480371347,0.2422907488986784,0.7480909952803801,88.0
allon,2011-2015,2016,non-passers,23,0.1019112801430642,-0.1100850157423251,0.34782608695652173,0.853000797774187,77.0
allon,2011-2015,2016,all,250,0.28048010108724886,-0.0832997878570058,0.252,0.7623882912484301,86.0
allon,2012-2016,2017,passers,210,0.2565456114937609,-0.0033059302064520502,0.49523809523809526,0.9715883524757319,78.0
allon,2012-2016,2017,non-passers,40,0.08188589523058665,-0.0113887485207752,0.45,0.9509197593442513,74.5
allon,2012-2016,2017,all,250,0.23836834037407006,-0.00357157374528785,0.488,0.9663977782987202,78.0
allon,2013-2017,2018,passers,218,0.2567320958515577,0.0245779163159042,0.6055045871559633,1.1166751503389485,82.0
allon,2013-2017,2018,non-passers,32,0.08212810076139926,0.0612127053507327,0.6875,1.1672743395465142,93.5
allon,2013-2017,2018,all,250,0.24078772418699879,0.035808678387872744,0.616,1.1274084965661781,82.0
allon,2014-2018,2019,passers,215,0.2643360705043305,-0.0784687369009273,0.23255813953488372,0.7767610929699925,90.0
allon,2014-2018,2019,non-passers,35,0.0986108628575428,-0.0778897408235498,0.3142857142857143,0.8674235960671913,87.0
allon,2014-2018,2019,all,250,0.24382861327974448,-0.07817923886223854,0.244,0.796091186564821,89.0
allon,2015-2019,2020,passers,202,0.241122516308702,-0.0156995751738035,0.45544554455445546,0.9909178263870361,96.0
allon,2015-2019,2020,non-passers,48,0.06866834319902024,-0.01613343626368295,0.4166666666666667,0.9593012476733993,103.5
allon,2015-2019,2020,all,250,0.2153261856017779,-0.01572038567133545,0.448,0.9827480970695797,97.0
allon,POOLED,0,passers,1072,0.26287004769604483,-0.03420337222079405,0.4039179104477612,0.9081386622838497,86.0
allon,POOLED,0,non-passers,178,0.08188589523058665,-0.01640940207089005,0.4438202247191011,0.9607983587375929,87.5
allon,POOLED,0,all,1250,0.2430612398620858,-0.02988493770143425,0.4096,0.919370337211754,86.0
