stream,window,yardstick,n,spearman,p
routed,2011-2015,sortino,246,-0.08405051761002612,0.18888233485535302
routed,2011-2015,expectancy_R,250,-0.10360293764700235,0.1021963817739923
routed,2011-2015,profit_factor,249,-0.0667658561145554,0.29398591813484115
routed,2011-2015,calmar,250,-0.03645024720395527,0.5662172692205654
routed,2011-2015,gate3_composite,250,0.03609770784437964,0.569980850380436
routed,2012-2016,sortino,246,0.029203402502503917,0.6485324950562648
routed,2012-2016,expectancy_R,250,-0.010241827869245906,0.8719908652922587
routed,2012-2016,profit_factor,250,-0.06890803544995876,0.27776131168305357
routed,2012-2016,calmar,250,-0.020403398454375266,0.7481931690802789
routed,2012-2016,gate3_composite,250,-0.05032582076516691,0.4282233954833109
routed,2013-2017,sortino,245,-0.001046928167508507,0.986992490263636
routed,2013-2017,expectancy_R,250,0.02247856765708251,0.7235780608635176
routed,2013-2017,profit_factor,250,0.04241181410189145,0.5044340306230166
routed,2013-2017,calmar,250,-0.033015696251140016,0.6033775896981256
routed,2013-2017,gate3_composite,250,-0.008940588672934102,0.8881405347459934
routed,2014-2018,sortino,245,-0.06413271426123428,0.3174403941164329
routed,2014-2018,expectancy_R,250,-0.03988863821821149,0.5301455090537033
routed,2014-2018,profit_factor,248,-0.09322368664201497,0.14323196436764785
routed,2014-2018,calmar,250,-0.031303034858741,0.6223060290534692
routed,2014-2018,gate3_composite,250,-0.057138062870742586,0.3683120067664043
routed,2015-2019,sortino,249,0.0011986008550330354,0.9849859424313578
routed,2015-2019,expectancy_R,250,-0.006825709211347381,0.9144840902228382
routed,2015-2019,profit_factor,250,0.007361013776220419,0.9078061896864607
routed,2015-2019,calmar,250,0.005815773052368837,0.9270989764063077
routed,2015-2019,gate3_composite,250,0.008222656972614178,0.8970710166174463
routed,POOLED,sortino,1231,-0.02562298215742768,0.3690618142667277
routed,POOLED,expectancy_R,1250,-0.027116005322243408,0.3381068536339771
routed,POOLED,profit_factor,1247,-0.031695134160029545,0.2633939647847831
routed,POOLED,calmar,1250,-0.023415189309549812,0.40815934475561333
routed,POOLED,gate3_composite,1250,-0.013443097105280827,0.6349072876908364
allon,2011-2015,sortino,250,-0.3261152978447655,1.3245078427224805e-07
allon,2011-2015,expectancy_R,250,-0.23293697499159985,0.00020252718034045755
allon,2011-2015,profit_factor,250,-0.17890884654154465,0.004546117792027722
allon,2011-2015,calmar,250,-0.11567301876830029,0.0678624600984876
allon,2011-2015,gate3_composite,250,-0.1578504076340457,0.012453979261903272
allon,2012-2016,sortino,250,-0.021702875246003936,0.7327474590997167
allon,2012-2016,expectancy_R,250,0.013207891326261219,0.8353870243333897
allon,2012-2016,profit_factor,250,-0.044333125330005274,0.4853032151851716
allon,2012-2016,calmar,250,-0.08057332117313877,0.20420692209467772
allon,2012-2016,gate3_composite,250,-0.029459687109777727,0.6429595651045579
allon,2013-2017,sortino,249,-0.1855670423630004,0.0032923727209505124
allon,2013-2017,expectancy_R,250,-0.15083722939567032,0.01700198517105168
allon,2013-2017,profit_factor,250,-0.10237642202275235,0.10634387254653253
allon,2013-2017,calmar,250,-0.04005836893390294,0.5283954034992409
allon,2013-2017,gate3_composite,250,-0.06092924787686159,0.33733727937805913
allon,2014-2018,sortino,250,-0.2223698939183027,0.0003958776643875383
allon,2014-2018,expectancy_R,250,-0.07756885710171361,0.22164445035187189
allon,2014-2018,profit_factor,250,-0.1689738395814333,0.007415115042406407
allon,2014-2018,calmar,250,-0.09841040656650504,0.12066780693135755
allon,2014-2018,gate3_composite,250,-0.09188418858967676,0.14744880455332904
allon,2015-2019,sortino,250,-0.08741016656266501,0.1682686649088784
allon,2015-2019,expectancy_R,250,0.07762338597417559,0.22131880652507255
allon,2015-2019,profit_factor,250,0.022792684682954926,0.7198760114918601
allon,2015-2019,calmar,250,0.01790582249315989,0.7781584827549741
allon,2015-2019,gate3_composite,250,-0.044808639007853916,0.4806294556413112
allon,POOLED,sortino,1249,-0.17825234957196529,2.2355958720248867e-10
allon,POOLED,expectancy_R,1250,-0.10085315792202108,0.00035529644030821926
allon,POOLED,profit_factor,1250,-0.10863979816947084,0.00011881906408389332
allon,POOLED,calmar,1250,-0.09102523380814964,0.001274332174251709
allon,POOLED,gate3_composite,1250,-0.08096312718095537,0.004179078932468713
