mode,slice,exit_ind,closes,exit_ind_closes,exit_ind_share_pct
A,chop,adx_dmi_exit,110349506,0,0.0
A,trend,adx_dmi_exit,174827052,0,0.0
B,chop,adx_dmi_exit,122041887,0,0.0
B,trend,adx_dmi_exit,201310140,0,0.0
C,chop,fisher_transform_exit,116656129,48203166,41.32073163511195
C,chop,coral_exit,114010681,39289738,34.461453659767194
C,chop,relative_vigor_index_exit,113698775,38536357,33.89337923825477
C,chop,rex_oscillator_exit,114165583,34428692,30.15680478765654
C,chop,center_of_gravity_exit,114100666,34243762,30.011886170760825
C,chop,fx_sniper_ergodic_cci_exit,112949471,26132863,23.136773256777804
C,chop,trend_direction_force_index_exit,112672135,25625384,22.74331981017312
C,chop,donchian_breakout_exit,110768502,16392304,14.798705140925351
C,chop,vortex_exit,110798342,14894756,13.443121739132161
C,chop,adx_dmi_exit,110365939,12194769,11.049395411749272
C,chop,schaff_trend_cycle_exit,110381234,11731369,10.628046611618784
C,chop,waddah_attar_explosion_exit,109742946,11294302,10.291597238514083
C,chop,parabolic_sar_exit,110250277,11322304,10.269637689889885
C,chop,ssl_channel_exit,109831806,11222440,10.217841633233274
C,chop,lemantrend_exit,109839151,11064388,10.073264313559743
C,chop,linreg_slope_exit,110243237,9729594,8.825569953102884
C,chop,hieken_ashi_smoothed_exit,109815713,9075556,8.264351022335028
C,chop,glitch_index_exit,109775543,8761250,7.981058221684224
C,chop,dpo_exit,109648068,7946386,7.247173748651914
C,chop,qqe_mod_exit,109493983,6302238,5.755784772209812
C,chop,didi_index_exit,109501068,6251269,5.708865780194947
C,chop,bears_bulls_impulse_exit,109328525,5603754,5.125610173557176
C,chop,kuskus_starlight_exit,109332670,5602482,5.124252430677857
C,chop,coppock_curve_exit,109222931,5219339,4.778611004313737
C,chop,polychromatic_momentum_exit,109148238,4378217,4.011257607291838
C,chop,ichimoku_exit,109241510,4294028,3.9307658782819828
C,chop,aroon_exit,109106522,4093559,3.7518921187864462
C,chop,ehlers_reverse_ema_exit,109151695,3776592,3.459948102500836
C,chop,kase_peak_oscillator_exit,109205214,3540898,3.242425769157872
C,chop,volatility_quality_exit,108953368,2990758,2.74498903053644
C,chop,mama_fama_exit,108909173,1881050,1.7271731555614696
C,chop,j_tpo_exit,108861242,1860633,1.7091785522711564
C,chop,laguerre_filter_exit,108836998,1768898,1.6252726853050468
C,chop,kalman_filter_exit,108774953,1232573,1.1331404574360056
C,chop,dspo_exit,108766966,1023508,0.9410099754000677
C,chop,price_momentum_oscillator_exit,108717684,996921,0.9169814544614472
C,chop,halftrend_exit,108644132,411037,0.3783333645668042
C,chop,chandelier_exit_exit,108628699,315625,0.29055397229787316
C,chop,supertrend_exit,108585157,71975,0.06628438175947013
C,trend,fisher_transform_exit,191863978,90712956,47.279826544615894
C,trend,coral_exit,187926166,76471453,40.692286033228605
C,trend,relative_vigor_index_exit,186814582,74217902,39.72810966116125
C,trend,center_of_gravity_exit,187246980,68088023,36.3626815236219
C,trend,rex_oscillator_exit,185105348,65151260,35.19685449606783
C,trend,fx_sniper_ergodic_cci_exit,184657102,55928390,30.2877004968918
C,trend,trend_direction_force_index_exit,179106046,43644592,24.368017146668517
C,trend,donchian_breakout_exit,174043726,28800580,16.54789900326542
C,trend,vortex_exit,174972542,26221884,14.986285105236684
C,trend,parabolic_sar_exit,176480842,23243426,13.170509465271024
C,trend,schaff_trend_cycle_exit,174918686,21054335,12.036641414056815
C,trend,ssl_channel_exit,172756730,20570915,11.907446384288473
C,trend,adx_dmi_exit,173069548,20508179,11.849675021974402
C,trend,lemantrend_exit,173321964,20138354,11.619043273707653
C,trend,hieken_ashi_smoothed_exit,173790044,18862260,10.853475588049221
C,trend,waddah_attar_explosion_exit,173175256,18373908,10.610007702255107
C,trend,linreg_slope_exit,173522712,17951978,10.345607092632347
C,trend,glitch_index_exit,172982580,16724824,9.66850188036275
C,trend,didi_index_exit,172177600,11567135,6.718141616563362
C,trend,dpo_exit,171731476,10694908,6.227692353846653
C,trend,qqe_mod_exit,171805726,10502847,6.11321126747545
C,trend,bears_bulls_impulse_exit,171609512,9386964,5.46995553486569
C,trend,coppock_curve_exit,171769346,8772048,5.106876287460511
C,trend,ichimoku_exit,171498808,7832603,4.567147195565347
C,trend,polychromatic_momentum_exit,171365120,7708580,4.498336651005759
C,trend,aroon_exit,171410764,7617982,4.444284490791955
C,trend,kuskus_starlight_exit,171195606,7515996,4.390297260316366
C,trend,volatility_quality_exit,171105314,6985842,4.082773256241475
C,trend,ehlers_reverse_ema_exit,171117330,6297181,3.6800369664486934
C,trend,kase_peak_oscillator_exit,171326760,5532473,3.2291937348257798
C,trend,mama_fama_exit,170704110,2982390,1.747110834062519
C,trend,kalman_filter_exit,170726970,2693837,1.5778625954645595
C,trend,laguerre_filter_exit,170686158,2643832,1.5489434122713102
C,trend,j_tpo_exit,170613326,2341433,1.3723623206313909
C,trend,chandelier_exit_exit,170514466,1371583,0.804379260115092
C,trend,halftrend_exit,170516860,1264843,0.7417700513603172
C,trend,dspo_exit,170426862,1178494,0.6914954521664548
C,trend,price_momentum_oscillator_exit,170441882,779727,0.45747382676753123
C,trend,supertrend_exit,170361066,183363,0.1076319867592282
