c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct
aroon_signals,kase_peak_oscillator_signals,waddah_attar_explosion_volume_signals,wma_baseline,adx_dmi_exit,trend,B,90,19.734648749884215,0.2192738749987135,0.4111111111111111,2.052899646281144,4.336733296092217,20.558999349260834,5.345667097131482,1.6791288769930377,3.6917092649622623,0.1271656525983247,10,-0.9024965929292944,-0.0902496592929294,0.4,0.5483717271204246,-4.32323408701164,-11.028365200078223,1.9983173045721627,1.0193164264030223,-0.4516282728795755,0.5540187120010236,18.83215215695492,-0.047923178689696,4,1.0,2.55,0.55,1.2,0.05
center_of_gravity_signals,didi_index_signals,efficiency_ratio_volume_signals,frama_baseline,adx_dmi_exit,trend,B,184,-8.777657734287164,-0.0477046615993867,0.2608695652173913,0.8212761917196651,-1.1140495875181071,-4.461155645520868,18.367323288970436,11.928780676026118,-0.4778953142049904,-0.4548738939518106,28,241.779509527702,8.634982483132214,0.4285714285714285,68.75269075040825,3.028660450798179,729.2640347113482,1.102947208610317,0.5057972514205362,219.2122230694409,0.990825774248591,233.00185179341483,1.0376720513881137,2,1.0,2.2,1.1,1.25,0.01
center_of_gravity_signals,rex_oscillator_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,283,35.309686412067435,0.124769209936634,0.2685512367491166,1.5284981720869657,2.2144343061174383,13.3702779961727,7.789398871573553,3.054366885961191,4.533043819456436,0.1266481012089063,31,118.22247307367635,3.813628163666979,0.4838709677419355,19.048288318090076,3.031398774651798,402.70464742556334,6.374917918104586,3.5618008233124447,18.544940435692183,0.9407116357941816,153.5321594857438,0.7700176527814285,2,1.0,2.95,1.5,1.0,0.05
chandelier_exit_signals,dspo_signals,chaikin_volatility_volume_signals,rma_baseline,adx_dmi_exit,trend,B,137,-9.726557727220095,-0.0709967717315335,0.1751824817518248,0.7291416786600622,-1.8361633374493251,-6.858909393147147,13.451798074678416,8.168117457614635,-0.7230674793973686,-0.3361777437732068,19,64.23890842076038,3.38099518004002,0.3684210526315789,16.856118557906168,3.6999243324761983,425.09421244218134,3.0513640325128506,1.5901978672906267,21.052521998779195,0.9843235993138912,54.51235069354029,1.17842851396927,19,1.0,1.9,0.65,1.7,0.01
chandelier_exit_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,190,14.843390046159216,0.0781231055061011,0.3631578947368421,1.3806011267077842,1.999777584389493,7.295328709558806,7.225795854732253,3.0250368055836776,2.0542221707575807,0.1691206510697661,24,317.04112225083503,13.21004676045146,0.2916666666666667,58.53793007871611,3.23721116384337,1313.5610196755297,4.510123875104682,2.4430112415269885,70.29543556461104,1.000896464965186,331.8845122969942,0.9552754361948764,2,1.0,1.55,0.55,1.75,0.01
coppock_curve_signals,mama_fama_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,218,25.171858435563635,0.1154672405301084,0.3348623853211009,1.446784643933097,2.0974719479671435,11.925169015679735,8.388699582459296,4.4789013228697785,3.000686600840706,0.1922784498927046,16,97.340093166166,6.083755822885374,0.75,49.670046583082794,4.897566734648597,,1.0,0.3952847075210474,97.340093166166,0.8195923833990196,122.5119516017296,0.7945354873017283,6,1.0,2.9,1.75,1.8,0.01
coppock_curve_signals,price_momentum_oscillator_signals,efficiency_ratio_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,88,5.420669487481495,0.0615985169031988,0.2727272727272727,1.2036859674220717,1.1973906749911234,7.9637646081453966,6.192633379269827,3.151808498187782,0.8753415801470628,0.4247722738774215,20,93.09967569880438,4.654983784940219,0.4,62.30305462701739,3.834787753475783,411.9849684967328,1.260173291639461,0.4563033891341548,73.87847077577997,0.9287165937530016,98.52034518628588,0.9449791870173424,2,1.0,2.7,0.85,1.0,0.06
coppock_curve_signals,ssl_channel_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,193,18.613972507976563,0.0964454534092049,0.310880829015544,1.370852657622801,1.788037466321464,12.488568637922636,11.97203984149017,4.8856790091367,1.5547870500286995,0.2713591754835335,31,135.09205330683366,4.357808171188183,0.3548387096774194,19.458541949799944,2.9316173038154747,386.274354208316,5.992347722516911,2.3141155260038553,22.54409449558648,0.9726329213181442,153.7060258148102,0.8788988758944087,4,1.0,1.7,1.55,1.3,0.02
coppock_curve_signals,volatility_quality_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,trend,B,93,15.420033564325797,0.1658068125196322,0.3225806451612903,1.7318428044209668,3.24624588219952,14.317099043715944,4.975655860569475,2.132011543256706,3.099095676315713,0.1848090832127167,19,196.54298269610535,10.344367510321336,0.5789473684210527,124.61992478485092,3.689296332700045,949.9431063053906,1.4232188661321743,0.4680116507750992,138.09751077165137,0.9877771695904224,211.9630162604312,0.9272513014941258,2,1.0,2.25,0.6,1.2,0.01
coral_signals,halftrend_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,128,21.738581183616027,0.1698326654970002,0.34375,1.638999120152746,2.5846839643502406,19.043891920023487,4.842003108660972,2.1784753621674606,4.489584309587052,0.3173776167336034,18,91.59185326439562,5.088436292466423,0.3333333333333333,17.629072276342875,4.001112053869324,1097.3777314013507,4.0,1.849884303059808,22.897963316098902,0.935372137287811,113.33043444801169,0.8081840832121027,3,1.0,2.1,2.0,1.15,0.01
coral_signals,price_momentum_oscillator_signals,chaikin_volatility_volume_signals,rma_baseline,adx_dmi_exit,trend,B,365,4.968472622659176,0.01361225376071,0.3424657534246575,1.0546533049497706,0.3383909294267878,1.6731178010954817,11.115977197708622,5.670999459931677,0.4469667879206648,0.8639756550921426,53,101.70711271346892,1.9190021266692248,0.660377358490566,20.825405416030584,2.505813241698066,148.4816197390742,2.0190046661975134,0.5433514041354816,50.37487749100586,0.8714478159631583,106.6755853361281,0.9534244634608394,2,1.0,1.25,1.35,1.35,0.1
donchian_breakout_signals,dpo_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,420,29.47744544261849,0.0701843939109964,0.3523809523809524,1.3043998322981385,1.5797264116238452,6.62551818646347,13.91956528609834,5.380072226930504,2.1176987094602744,0.1198809749642232,28,110.0059317924766,3.928783278302735,0.6071428571428571,36.68070944826757,3.4649914774206816,396.6106647712497,1.620709971561098,0.4250182413589224,67.87514960898083,0.8692562387165009,139.48337723509508,0.7886669650037572,3,1.0,2.3,1.5,1.0,0.01
dpo_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,294,38.727188350484,0.1317251304438231,0.3163265306122449,1.504803238433203,2.392616472714944,15.782400425512678,6.700208721184886,2.604781938854278,5.779997304865357,0.0996883398953664,28,117.40573098511076,4.193061820896813,0.7142857142857143,49.47275302441486,3.943912140832333,390.1943693156635,1.588698505111097,0.6011704010740004,73.90057371326137,0.7672194772032517,156.13291933559475,0.7519601342543073,4,1.0,2.5,1.8,1.0,0.05
dpo_signals,supertrend_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,290,28.425578205100106,0.0980192351900003,0.3034482758620689,1.4208747033772466,1.93162711908834,9.316832799654508,11.456138866150166,5.196917273195391,2.481252936719378,0.1338000859895269,24,106.71280455197586,4.446366856332328,0.6666666666666666,30.473247292813276,3.8624159226706345,803.9294931435037,2.6206666843254993,1.0689810971294484,40.71971654779186,0.8440970502578218,135.138382757076,0.7896557763592762,4,1.0,2.95,1.8,1.0,0.01
dpo_signals,supertrend_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,276,13.312414943839936,0.0482333874776809,0.2971014492753623,1.1932156676220598,0.9830113409412576,4.716000881546138,7.051419314813245,3.168343599618645,1.8879057320948032,0.3114215656362823,36,110.85425242922346,3.079284789700652,0.6388888888888888,37.63442398141587,3.0779685893683957,250.75433187138168,1.0,0.3471464621148,110.85425242922346,0.8626041889325291,124.1666673730634,0.8927859205253349,3,1.0,2.35,1.5,1.1,0.17
dspo_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,227,49.183284837780946,0.216666453029872,0.3832599118942731,1.8323725273589997,3.3902466607921515,33.34687097370465,6.4497001451710645,2.222384129588347,7.625669989418782,0.1462603926188909,11,81.06616767267266,7.369651606606606,0.4545454545454545,32.67670011076209,5.120914478961451,1027.838887085264,2.559173379462294,1.3227342158006672,31.6767001107621,0.938441947908999,130.24945251045358,0.6223916193902346,10,1.0,2.3,1.9,1.6,0.01
ehlers_reverse_ema_signals,fisher_transform_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,526,24.99693296734543,0.0475226862497061,0.3022813688212927,1.1685885990266298,0.9658314615763156,5.5124672767494935,26.991652999068457,13.226465337205209,0.9260986338335088,0.1129183996270614,36,108.82461049676498,3.0229058471323604,0.6388888888888888,34.82270293255605,3.2023641476332885,259.9829149439679,1.7620046573583463,0.650077779064419,61.76181773544134,0.8300593292750513,133.82154346411042,0.8132069596548229,4,1.0,2.75,0.5,1.15,0.05
ehlers_reverse_ema_signals,fisher_transform_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,256,19.784396803242466,0.0772828000126658,0.3515625,1.330102182519525,1.6757954018109258,7.374312010279414,15.684184667051568,5.041063116258622,1.2614233524554443,0.1645817051954911,20,71.00186979980178,3.550093489990089,0.3,15.898683460511863,3.538495925405394,284.3143352374726,3.5728125611109647,1.453440266847975,19.87282248518623,1.002360247654115,90.78626660304424,0.7820772067900074,21,1.0,1.75,0.75,1.0,0.19
ehlers_reverse_ema_signals,halftrend_signals,volatility_ratio_volume_signals,sma_baseline,adx_dmi_exit,trend,B,391,16.550958104277427,0.0423298161234716,0.3478260869565217,1.1663681916381303,0.9987278435521086,4.648366417593355,6.9403654978996805,3.142264441717398,2.384738686930269,0.2604130432667238,21,77.30689693089109,3.681280806232909,0.238095238095238,14.136803510946116,3.4178394661008316,311.9678306918387,4.59528768894134,1.9223164162872677,16.8230809829234,1.0120206501516111,93.85785503516854,0.8236593186784866,4,1.0,1.7,1.0,1.0,0.01
