sid,c1,c2,vol,base,slice,mode,ip1,risk1
B|trend|center_of_gravity_signals|fisher_transform_signals|chaikin_volatility_volume_signals|tma_baseline,center_of_gravity_signals,fisher_transform_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 200}, ""c1"": {""length"": 12, ""signal_length"": 2}, ""c2"": {""length"": 43}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 79}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|coral_signals|rex_oscillator_signals|variance_volume_signals|frama_baseline,coral_signals,rex_oscillator_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""const_d"": 40, ""smooth_period"": 10}, ""c2"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 220, ""sigVolAdj"": 10, ""smooth"": 40, ""volAdj"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 17, ""atr_mult"": 1.5, ""be_pct"": 0.01, ""tp_mult"": 1.85, ""trail_arm"": 1.15, ""trail_mult"": 1.45}"
B|trend|dspo_signals|schaff_trend_cycle_signals|chaikin_volatility_volume_signals|rma_baseline,dspo_signals,schaff_trend_cycle_signals,chaikin_volatility_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 11}, ""c1"": {""len"": 26}, ""c2"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 28, ""macdSlow"": 41, ""stc_midline"": 27, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 10}}","{""atr_len"": 15, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.75, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|fisher_transform_signals|price_momentum_oscillator_signals|damiani_volatmeter_volume_signals|fantail_vma,fisher_transform_signals,price_momentum_oscillator_signals,damiani_volatmeter_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 7, ""fma_weighting"": 28}, ""c1"": {""length"": 10}, ""c2"": {""s1"": 43, ""s2"": 16, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 62, ""threshold"": 1.725985, ""viscosity"": 7}}","{""atr_len"": 50, ""atr_mult"": 1.1, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.15}"
B|trend|ichimoku_signals|supertrend_signals|chaikin_volatility_volume_signals|tma_baseline,ichimoku_signals,supertrend_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""base_len"": 14, ""conversion_len"": 9, ""displacement"": 4, ""span_b_len"": 148}, ""c2"": {""atr_period"": 19, ""factor"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 15}}","{""atr_len"": 49, ""atr_mult"": 1.25, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.6, ""trail_mult"": 1.25}"
B|trend|kuskus_starlight_signals|coral_signals|chaikin_volatility_volume_signals|tma_baseline,kuskus_starlight_signals,coral_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 16}, ""c1"": {""index_smooth"": 0.373569, ""price_smooth"": 0.245783, ""range_periods"": 85}, ""c2"": {""const_d"": 5, ""smooth_period"": 28}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 4, ""roc_len"": 12}}","{""atr_len"": 43, ""atr_mult"": 1.5, ""be_pct"": 0.03, ""tp_mult"": 1.4, ""trail_arm"": 1.05, ""trail_mult"": 1.2}"
B|trend|lemantrend_signals|halftrend_signals|damiani_volatmeter_volume_signals|fantail_vma,lemantrend_signals,halftrend_signals,damiani_volatmeter_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 5, ""fma_weighting"": 12}, ""c1"": {""fast_period"": 340, ""medium_period"": 21, ""slow_period"": 24, ""smooth"": 9}, ""c2"": {""amplitude"": 50}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 18, ""threshold"": 1.4, ""viscosity"": 6}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.05, ""trail_arm"": 1.65, ""trail_mult"": 1.2}"
B|trend|parabolic_sar_signals|donchian_breakout_signals|fractal_dimension_volume_signals|tma_baseline,parabolic_sar_signals,donchian_breakout_signals,fractal_dimension_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""sar_increment"": 0.2, ""sar_maximum"": 0.2, ""sar_start"": 0.016223}, ""c2"": {""length"": 57}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 7}}","{""atr_len"": 2, ""atr_mult"": 1.25, ""be_pct"": 0.16, ""tp_mult"": 2.9, ""trail_arm"": 1.0, ""trail_mult"": 0.8}"
B|trend|relative_vigor_index_signals|chandelier_exit_signals|chaikin_volatility_volume_signals|rma_baseline,relative_vigor_index_signals,chandelier_exit_signals,chaikin_volatility_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 57}, ""c1"": {""len"": 10}, ""c2"": {""atr_mult"": 4, ""atr_period"": 27}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 5, ""roc_len"": 2}}","{""atr_len"": 46, ""atr_mult"": 1.39, ""be_pct"": 0.02, ""tp_mult"": 1.65, ""trail_arm"": 1.3, ""trail_mult"": 0.7}"
B|trend|schaff_trend_cycle_signals|price_momentum_oscillator_signals|choppiness_index_volume_signals|ema_baseline,schaff_trend_cycle_signals,price_momentum_oscillator_signals,choppiness_index_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""cycleLen"": 10, ""d1"": 6, ""d2"": 3, ""lowerBand"": 6, ""macdFast"": 19, ""macdSlow"": 27, ""stc_midline"": 50, ""upperBand"": 7}, ""c2"": {""s1"": 43, ""s2"": 25, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ci_threshold"": 50.127885, ""length"": 3}}","{""atr_len"": 19, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 1.35, ""trail_mult"": 1.4}"
