c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct,ip2,rank_R,rank_S,score,rank,net_of_structure_R
dspo_signals,dpo_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,chop,A,202,93.66042022175203,0.4636654466423369,0.3316831683168317,1.9474410345971709,4.228403498770855,22.66532423511807,13.109092673917534,4.518124976567026,7.144691288063225,0.031496762378554,15,24.82568264034632,1.6550455093564216,0.6666666666666666,6.311081967739029,13.84819377871431,180.385075500541,2.0,0.8348534363000621,12.41284132017316,0.1188285551997557,118.4861028620984,0.2095240035807407,5,1.0,2.95,1.5,2.0,0.05,"{""base"": {""mci_length"": 26}, ""c1"": {""len"": 5}, ""c2"": {""len"": 142}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}",11.0,29.0,20.0,1,0.43865614300393946
center_of_gravity_signals,schaff_trend_cycle_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,chop,A,158,77.02872549479537,0.4875235790809833,0.360759493670886,2.002048242215369,4.592080707062132,25.17249023546629,8.608000512058979,2.5461215876794716,8.948503823493684,0.0350518586755332,11,19.41338889065212,1.764853535513829,0.7272727272727273,9.878299761516278,17.3438949969392,59.65836275820095,2.000000000000007,0.6765436024470313,9.706694445326026,0.1390792723108793,96.44211438544748,0.2012957618604583,6,1.0,2.7,1.5,2.0,0.05,"{""base"": {""ma_length"": 200}, ""c1"": {""length"": 28, ""signal_length"": 4}, ""c2"": {""cycleLen"": 28, ""d1"": 3, ""d2"": 4, ""lowerBand"": 25, ""macdFast"": 43, ""macdSlow"": 12, ""stc_midline"": 41, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}",27.0,18.0,22.5,2,0.4625142754425859
center_of_gravity_signals,qqe_mod_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,chop,A,232,95.55178786697608,0.4118611545990348,0.3060344827586206,1.834681948320131,3.791765579261028,21.52805984885906,14.23540311544211,3.725389169741552,6.712264281671415,0.03139658678262,14,8.802516922756908,0.6287512087683506,0.3571428571428571,2.420337387459657,5.3712029497947995,26.235887213465514,3.1585326431625007,1.3934113516634492,2.78690072803659,0.3408116140332765,104.35430478973298,0.0843522166190786,4,1.0,3.0,1.5,2.0,0.05,"{""base"": {""ma_length"": 200}, ""c1"": {""length"": 28, ""signal_length"": 2}, ""c2"": {""fast_factor"": 10.592725, ""rsi_len"": 4, ""rsi_period"": 7}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 11}}",10.0,39.0,24.5,3,0.38685185096063734
aroon_signals,kase_peak_oscillator_signals,damiani_volatmeter_volume_signals,super_smoother_2pole_baseline,adx_dmi_exit,chop,A,128,65.5575782981879,0.512168580454593,0.3671875,1.9267081437291076,4.428421418031893,33.86978027694897,10.898222133307351,3.708359468092663,6.015437884848171,0.0442359232186612,11,-4.137151474452203,-0.3761046794956548,0.1818181818181818,0.4177365260484377,-5.208535115920265,-20.605650304514228,3.1371514744522,1.814648778710916,-1.3187605087429255,-0.7009653907786845,61.42042682373573,-0.0673579082464697,8,1.0,2.9,1.5,2.0,0.05,"{""base"": {""cutoff_period"": 150}, ""c1"": {""length"": 164}, ""c2"": {""long_cycle"": 53, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 50, ""threshold"": 1.4, ""viscosity"": 2}}",56.0,2.0,29.0,4,0.4871592768161956
fx_sniper_ergodic_cci_signals,j_tpo_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,chop,A,138,69.8363893667844,0.5060607925129305,0.3478260869565217,2.06339211374071,4.551580548304285,25.116689247418552,6.882004845828568,2.3090493735954354,10.147680934737318,0.0429575473073765,8,0.2234568138608947,0.0279321017326118,0.25,1.0386834836441772,0.2415986102499884,6.485026964544112,5.776543186139097,3.2619210777488146,0.0386834836441771,13.425412938481909,70.0598461806453,0.0031895133381355,45,1.0,3.0,1.5,2.0,0.05,"{""base"": {""mci_length"": 40}, ""c1"": {""cci_length"": 11, ""ema1_length"": 5, ""ema2_length"": 4, ""trigger_length"": 50}, ""c2"": {""ema_len"": 200, ""len"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 20}}",44.0,19.0,31.5,5,0.48105148887453303
bears_bulls_impulse_signals,didi_index_signals,variance_volume_signals,ema_baseline,adx_dmi_exit,chop,A,120,61.45557406160776,0.5121297838467314,0.4083333333333333,2.049050428536482,4.911463804906454,31.79322111400097,6.333307541692882,2.0653486810977144,9.703551210333424,0.0414194250777447,3,4.090909090909099,1.3636363636363662,0.6666666666666666,5.090909090909114,10.575174680667349,,0.9999999999999964,0.5773502691896237,4.090909090909113,0.6222222222222223,65.54648315251686,0.0624123354015831,48,1.1,2.8,1.5,2.0,0.05,"{""base"": {""ma_length"": 57}, ""c1"": {""length"": 3}, ""c2"": {""long_p"": 200, ""medium"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 16, ""hline"": 0, ""lookback"": 20}}",74.0,5.0,39.5,6,0.48712048020833393
bears_bulls_impulse_signals,dspo_signals,volatility_ratio_volume_signals,ema_baseline,adx_dmi_exit,chop,A,205,70.09891355064157,0.3419459197592271,0.526829268292683,1.8744661063147656,4.832949164458274,21.68972717925086,9.868509968411487,2.291831243645882,7.1032925715253885,0.0198477305475066,9,5.347826086956502,0.5942028985507224,0.6666666666666666,2.7826086956521645,7.889149363901662,,2.0000000000000004,0.841329001373914,2.6739130434782505,0.2601626016260178,75.44673963759806,0.0708821363606211,33,1.15,1.6,1.5,2.0,0.05,"{""base"": {""ma_length"": 37}, ""c1"": {""length"": 37}, ""c2"": {""len"": 92}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""length"": 26}}",42.0,37.0,39.5,7,0.3169366161208297
polychromatic_momentum_signals,vortex_signals,efficiency_ratio_volume_signals,alma_baseline,adx_dmi_exit,chop,A,129,64.12122343448308,0.4970637475541324,0.5736434108527132,2.636027852868313,6.282807650755223,22.84992563281174,4.533007886363055,1.2745250111948236,14.145403017582026,0.0335302398307607,4,6.410199166378834,1.6025497915947085,0.75,162.0569071842182,23.23470599002334,,0.0398008336211672,0.0199004168105836,161.05690718421786,0.3354029951638071,70.5314226008619,0.0908843027689122,10,1.0,2.15,1.5,2.0,0.05,"{""base"": {""length"": 11, ""offset"": 0.689461, ""sigma"": 6}, ""c1"": {""len"": 14}, ""c2"": {""period"": 61}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.562145, ""length"": 5}}",61.0,28.0,44.5,8,0.472054443915735
aroon_signals,fx_sniper_ergodic_cci_signals,ttm_squeeze_volume_signals,fantail_vma,adx_dmi_exit,chop,A,109,59.87323929469798,0.549295773345853,0.5412844036697247,2.655506608941952,6.2953282142572045,28.95411522124629,6.295768973197986,1.8824746475183416,9.510075663447491,0.0384144907991255,2,2.5916820013225217,1.2958410006612608,1.0,inf,14.485533831001836,,0.0,0.0,,0.8874545560860939,62.464921296020506,0.0414901987795769,7,1.0,2.3,1.5,2.0,0.05,"{""base"": {""fma_adx_length"": 6, ""fma_ma_length"": 5, ""fma_weighting"": 10}, ""c1"": {""length"": 25}, ""c2"": {""cci_length"": 17, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 9}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 5, ""bb_mult"": 2, ""kc_length"": 3, ""kc_mult"": 1.5}}",81.0,8.0,44.5,9,0.5242864697074556
kuskus_starlight_signals,dspo_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,chop,A,238,88.19305144765065,0.3705590396960111,0.3361344537815126,1.759525569009008,3.5006268359908117,17.950923921854265,12.16571368396309,3.631044296521987,7.249311773949373,0.0340162853054331,11,17.000000000000007,1.545454545454546,0.6363636363636364,5.250000000000009,12.15664801288131,,1.9999999999999971,0.7977240352174643,8.500000000000014,0.1764705882352945,105.19305144765067,0.1616076325008981,24,1.0,3.0,1.5,2.0,0.05,"{""base"": {""ma_length"": 20}, ""c1"": {""index_smooth"": 0.567792, ""price_smooth"": 0.862993, ""range_periods"": 30}, ""c2"": {""len"": 17}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}",20.0,72.0,46.0,10,0.3455497360576137
