n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
217,118.48610286209836,15,6.152059528596318,7,12.750000000000046,21,15.95205952859632,0,0.0,181,77.7083606931557,dspo_signals,dpo_signals,variance_volume_signals,mcginley_dynamic_index,chop,1,0.13463232516949553,22.66532423511807,93.66042022175203,7.144691288063225,1,77.7083606931557,181,5.0,20.0,12.5,1
112,63.304392218724196,10,-1.085641725052024,5,-0.1964007988587393,14,-0.2820425239107016,0,0.0,91,54.586434742634914,ehlers_reverse_ema_signals,waddah_attar_explosion_signals,variance_volume_signals,fantail_vma,chop,21,-0.004455338942931656,29.76225710856461,54.3043922187242,4.75684840302257,21,54.586434742634914,91,21.0,4.0,12.5,2
146,70.05984618064528,9,5.4896286973178565,4,0.3298618965974738,13,5.81949059391533,0,0.0,125,64.01689877286907,fx_sniper_ergodic_cci_signals,j_tpo_signals,variance_volume_signals,mcginley_dynamic_index,chop,5,0.08306456424283475,25.116689247418552,69.8363893667844,10.147680934737318,5,64.01689877286907,125,12.0,14.0,13.0,3
246,104.35430478973295,19,10.880623976220416,10,0.1879260288647177,28,11.437663947674302,0,0.0,205,87.11412391930173,center_of_gravity_signals,qqe_mod_signals,variance_volume_signals,wma_baseline,chop,3,0.10960414111061774,21.52805984885906,95.55178786697608,6.712264281671415,3,87.11412391930173,205,3.0,26.0,14.5,4
129,58.00650218282043,14,0.11238751978346045,14,0.5193657209537861,25,2.082048029033568,0,0.0,101,57.94435761896068,polychromatic_momentum_signals,dspo_signals,efficiency_ratio_volume_signals,kama_baseline,chop,16,0.03589335592881517,24.159190149528865,60.02640564799427,8.143779775531094,16,57.94435761896068,101,16.0,15.0,15.5,5
117,56.48939672405958,10,-2.7435521990919005,7,9.436887455211924,17,6.693335256120022,0,0.0,95,50.40003058676462,halftrend_signals,schaff_trend_cycle_signals,choppiness_index_volume_signals,mcginley_dynamic_index,chop,18,0.11848834727012127,27.04466604008275,57.09336584288465,6.162530947232519,18,50.40003058676462,95,26.0,7.0,16.5,6
169,96.44211438544748,11,18.982100579055096,9,6.935487606019786,20,25.91758818507488,0,0.0,138,51.11113730972046,center_of_gravity_signals,schaff_trend_cycle_signals,variance_volume_signals,wma_baseline,chop,2,0.2687372456548473,25.17249023546629,77.02872549479537,8.948503823493684,2,51.11113730972046,138,25.0,13.0,19.0,7
139,61.42042682373577,10,17.299999999999958,4,3.9619154454598453,14,21.261915445459806,0,0.0,115,43.29566285272813,aroon_signals,kase_peak_oscillator_signals,damiani_volatmeter_volume_signals,super_smoother_2pole_baseline,chop,4,0.34617010243965274,33.86978027694897,65.5575782981879,6.015437884848171,4,43.29566285272813,115,38.0,1.0,19.5,8
122,66.35984992202766,9,-3.5551899447625948,3,3.583537878703758,12,0.028347933941163327,0,0.0,102,52.744133064589874,didi_index_signals,dpo_signals,waddah_attar_explosion_volume_signals,kama_baseline,chop,32,0.00042718502188404493,23.536543079367732,52.77248099853105,11.81535873802086,32,52.744133064589874,102,23.0,17.0,20.0,9
105,62.63650597400409,9,7.758454038567223,6,1.3000000000000171,14,6.408454038567232,0,0.0,84,44.97805193543685,dspo_signals,bears_bulls_impulse_signals,variance_volume_signals,kama_baseline,chop,33,0.10231180585371286,27.06429503387789,51.38650597400406,8.587512052133075,33,44.97805193543685,84,35.0,6.0,20.5,10
214,75.44673963759806,21,7.908005511695826,13,7.209256169962504,32,12.334652986006155,0,0.0,173,57.76426056463539,bears_bulls_impulse_signals,dspo_signals,volatility_ratio_volume_signals,ema_baseline,chop,7,0.163488217585738,21.68972717925086,70.09891355064157,7.1032925715253885,7,57.76426056463539,173,17.0,24.0,20.5,11
134,69.5486073478073,8,4.831100592278461,5,6.914282574667466,13,11.745383166945928,0,0.0,114,46.93205622303832,dpo_signals,fx_sniper_ergodic_cci_signals,fractal_dimension_volume_signals,alma_baseline,chop,15,0.16888020644623633,25.280283232648724,59.6774393899843,5.791577620774841,15,46.93205622303832,114,31.0,12.0,21.5,12
123,65.54648315251688,11,14.36678371687091,9,8.775823059044933,19,20.5971522304613,0,0.0,101,40.858421831146444,bears_bulls_impulse_signals,didi_index_signals,variance_volume_signals,ema_baseline,chop,6,0.31423733570166995,31.79322111400097,61.45557406160776,9.703551210333424,6,40.858421831146444,101,41.0,3.0,22.0,13
163,65.49849610188645,6,1.9915672077928734,0,0.0,6,1.9915672077928734,0,0.0,145,56.336172608260135,dpo_signals,lemantrend_signals,variance_volume_signals,sma_baseline,chop,26,0.030406304363002217,21.221795176513197,59.32773981605301,6.1460398001948855,26,56.336172608260135,145,18.0,28.0,23.0,14
298,60.30423340503553,23,7.741521351494086,20,3.3999999999999826,40,11.541521351494051,0,0.0,243,53.2814143683303,bears_bulls_impulse_signals,bears_bulls_impulse_signals,variance_volume_signals,ema_baseline,chop,14,0.19138824423776374,21.52095938883215,64.4380156012295,6.531910309239754,14,53.2814143683303,243,22.0,27.0,24.5,15
296,103.68106737278444,30,17.257899712047667,1,1.6999999999999695,30,17.257899712047667,0,0.0,259,74.52316766073666,bears_bulls_impulse_signals,supertrend_signals,volatility_ratio_volume_signals,wma_baseline,chop,11,0.1664517944245021,17.705421057194595,90.08106737278432,11.9346300946553,11,74.52316766073666,259,6.0,44.0,25.0,16
415,149.60004118892508,36,6.551393130557022,24,12.606709276675437,57,13.411673909008188,0,0.0,340,109.32750650172758,dspo_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,ema_baseline,chop,17,0.08965020198136855,16.544199426519928,122.73918041073576,6.9354977058957985,17,109.32750650172758,340,1.0,49.0,25.0,17
249,105.19305144765075,24,11.94578396294484,23,16.19891358363503,43,20.14469754657991,0,0.0,195,68.04835390107075,kuskus_starlight_signals,dspo_signals,variance_volume_signals,rma_baseline,chop,10,0.19150216929114283,17.950923921854265,88.19305144765065,7.249311773949373,10,68.04835390107075,195,9.0,42.0,25.5,18
424,119.17073497063856,28,13.112209548548723,29,15.88836252341995,55,25.20057207196868,0,0.0,355,92.04931173077803,center_of_gravity_signals,volatility_quality_signals,variance_volume_signals,t3_baseline,chop,19,0.2114661127010556,16.018411840039132,117.2498838027467,10.827171043686263,19,92.04931173077803,355,2.0,51.0,26.5,19
