n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
144,68.38261814887898,14,-0.37812019154288845,10,4.7840061325973835,20,6.405885941054563,0,0.0,123,60.89523378137266,vortex_signals,fisher_transform_signals,williams_vix_fix_volume_signals,tma_baseline,trend,2,0.09367710851766468,45.987063882296766,67.30111972242722,17.4430164178189,2,60.89523378137266,123,5.0,5.0,5.0,1
192,70.3172595370477,14,2.726343903606331,12,6.286135392160721,22,10.900288401326605,0,0.0,167,59.399194297377434,vortex_signals,fisher_transform_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,trend,1,0.15501583072337488,46.82287563131113,70.29948269870401,16.497846345711455,1,59.399194297377434,167,6.0,4.0,5.0,2
204,65.1588538638659,16,-1.5256556349252555,4,0.8515672151628231,18,-2.525655634925249,0,0.0,174,64.5825575194771,qqe_mod_signals,vortex_signals,variance_volume_signals,mcginley_dynamic_index,trend,5,-0.038761511063439086,34.22280947808165,62.05690188455185,11.634301984417869,5,64.5825575194771,174,4.0,15.0,9.5,3
160,59.825076642045794,14,-0.5347183935809652,12,6.185696862221807,22,7.538787574200396,0,0.0,135,52.25798932265091,vortex_signals,fx_sniper_ergodic_cci_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,trend,4,0.12601383896768875,38.64467009155773,59.79677689685128,12.30249715807386,4,52.25798932265091,135,17.0,10.0,13.5,4
142,51.49928809563844,12,-0.04617817538230096,6,-2.999999999999945,14,-1.0461781753823063,0,0.0,122,45.85413271469868,vortex_signals,parabolic_sar_signals,williams_vix_fix_volume_signals,sma_baseline,trend,12,-0.02031442014187588,47.928508675284945,44.80795453931635,6.560147341562945,12,45.85413271469868,122,24.0,3.0,13.5,5
194,130.26798777100086,10,69.80866542725603,4,72.29968906408492,10,69.80866542725603,0,0.0,175,59.25077035394838,hieken_ashi_smoothed_signals,ehlers_reverse_ema_signals,variance_volume_signals,wma_baseline,trend,7,0.5358850368516725,31.3193790616171,56.45578377207527,13.800508642479253,7,59.25077035394838,175,7.0,22.0,14.5,6
116,55.40936008937972,12,9.522374048905258,6,3.2408725692743836,16,11.11332410589288,0,0.0,100,44.29603598348685,laguerre_filter_signals,waddah_attar_explosion_signals,volatility_ratio_volume_signals,hma_baseline,trend,3,0.20056763131655378,52.28586854966721,55.40936008937973,6.428013527761333,3,44.29603598348685,100,29.0,1.0,15.0,7
110,46.86732403876676,10,-4.145607881135014,8,5.834217491877911,16,2.6886096107428443,0,0.0,91,44.071480075134865,vortex_signals,fx_sniper_ergodic_cci_signals,williams_vix_fix_volume_signals,sma_baseline,trend,9,0.05736639899728294,52.25706204293776,46.76008968587771,9.146626240702046,9,44.071480075134865,91,30.0,2.0,16.0,8
238,78.28766354374379,18,4.040376936517586,10,6.355080944257388,22,11.517325805822399,0,0.0,198,57.479127365501355,hieken_ashi_smoothed_signals,chandelier_exit_signals,variance_volume_signals,ema_baseline,trend,6,0.14711546218756433,30.504092178066692,66.26440765370006,16.997396142207297,6,57.479127365501355,198,10.0,25.0,17.5,9
122,48.60859470643827,8,4.020810348027194,2,0.24496023143476608,10,4.265770579461959,0,0.0,112,44.34282412697631,aroon_signals,schaff_trend_cycle_signals,waddah_attar_explosion_volume_signals,tma_baseline,trend,11,0.08775753763761766,42.53734454709582,45.83323331306417,9.166646662612807,11,44.34282412697631,112,28.0,7.0,17.5,10
200,60.48548350815615,18,-1.526188463704815,6,0.6295063460005539,22,-0.06123121694863776,0,0.0,176,55.182944264513054,fisher_transform_signals,vortex_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,trend,8,-0.0010123291308464294,30.536094713844836,55.12171304756444,7.874530435366348,8,55.182944264513054,176,13.0,24.0,18.5,11
186,47.80506192036601,16,-3.5342163991693303,6,3.6505901994565244,20,-1.137169123703126,0,0.0,157,50.37734667272182,ssl_channel_signals,vortex_signals,variance_volume_signals,sma_baseline,trend,10,-0.023787629971014995,32.55465796727319,49.24017754901869,6.839039357520711,10,50.37734667272182,157,20.0,18.0,19.0,12
