c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct,rank_R,rank_S,score,new_rank
linreg_slope_signals,relative_vigor_index_signals,variance_volume_signals,fantail_vma,adx_dmi_exit,chop,B,99,79.83771269479212,0.8064415423716376,0.5151515151515151,3.210652504612239,7.454405843365933,42.821601197644654,3.0616473218577624,1.0257989103668432,26.07671763002009,0.0369499563605664,6,-0.4025175433700517,-0.0670862572283419,0.3333333333333333,0.7631442077966152,-1.6901719283456813,-2.7682452531011523,0.999999999999998,0.471440395910381,-0.4025175433700525,2.4843637661791425,79.43519515142208,-0.005067244344308,18,1.0,2.95,1.5,2.0,0.05,4.0,5.0,4.5,1
bears_bulls_impulse_signals,schaff_trend_cycle_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,chop,B,120,74.18649428536116,0.618220785711343,0.425,2.279828418676333,5.40841395177244,37.03789490899483,6.0082774984746266,2.2057198854930866,12.347381475671776,0.0397646502698015,6,4.26569967737403,0.7109499462290051,0.5,2.698754641362324,6.049532683555634,39.98134018369541,1.5110746269709328,0.8449207584418131,2.822957649633069,0.691562984531537,78.45219396273521,0.054373236259017,12,1.0,2.95,1.5,2.0,0.05,6.0,6.0,6.0,2
relative_vigor_index_signals,center_of_gravity_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,193,76.82606854505462,0.3980625313215266,0.4196891191709844,3.1067309824063885,5.771797684424193,35.38922054137816,8.625935814749944,2.942095865709903,8.906403918944733,0.0670007797202595,9,12.663426474991548,1.407047386110172,1.0,inf,19.543355017178744,,0.0,0.0,,0.3309021328493183,89.48949502004618,0.1415074079047475,49,1.0,2.95,1.6,1.2,0.12,5.0,8.0,6.5,3
parabolic_sar_signals,waddah_attar_explosion_signals,variance_volume_signals,ema_baseline,adx_dmi_exit,chop,B,137,89.2859905578423,0.6517225588163671,0.437956204379562,2.541716611523378,6.135981131796901,33.586288614541694,4.404455014301309,1.568252555344302,20.271745373248176,0.0302399064302352,13,22.506664908930787,1.731281916071599,0.7692307692307693,10.135652697269457,17.625461178716915,159.05887792387554,1.000000000000007,0.4002721683308251,22.506664908930627,0.1199644643453427,111.79265546677308,0.2013250764547783,4,1.0,2.7,1.5,2.0,0.05,3.0,11.0,7.0,4
center_of_gravity_signals,vortex_signals,variance_volume_signals,ema_baseline,adx_dmi_exit,trend,B,101,54.15738561573821,0.5362117387696852,0.5247524752475248,3.990374533495377,8.250602457120749,61.17274353390948,2.416108688179648,0.7629515728680979,22.41512804481558,0.068291814797585,5,185.3607658168035,37.07215316336071,0.6,186.36076581680365,7.156340036199371,,1.0,0.5,185.3607658168035,0.993583859193061,239.51815143254177,0.7738902655526249,3,1.0,2.7,1.25,1.05,0.01,16.0,2.0,9.0,5
relative_vigor_index_signals,center_of_gravity_signals,damiani_volatmeter_volume_signals,ema_baseline,adx_dmi_exit,trend,B,165,67.48757725947726,0.4090156197544076,0.4424242424242424,3.527143790322955,6.394206928765452,35.220054854804026,5.868385296854306,2.451576632056557,11.500195342601884,0.06512540366416,7,9.966153470917597,1.423736210131085,1.0,inf,16.479935010722016,,0.0,0.0,,0.4336450877156669,77.45373073039487,0.1286723489874015,25,1.0,2.95,1.5,1.75,0.1,10.0,9.0,9.5,6
kuskus_starlight_signals,coral_signals,chaikin_volatility_volume_signals,ema_baseline,adx_dmi_exit,trend,B,378,103.59930879441764,0.2740722454878774,0.3518518518518518,2.159901062157189,4.190654624116935,28.763717085151512,11.534081903904092,3.0784180555272873,8.982016051000214,0.0476686224395933,14,67.36155525095292,4.811539660782351,0.2857142857142857,20.20270171089192,4.247219084385716,372.2939871654309,2.0,0.8116190124339466,33.68077762547646,0.9982913849150122,170.96086404537058,0.3940174005734793,31,1.0,2.95,1.6,1.45,0.01,1.0,21.0,11.0,7
trend_direction_force_index_signals,fisher_transform_signals,waddah_attar_explosion_volume_signals,ema_baseline,adx_dmi_exit,trend,B,97,51.83388960351648,0.5343699959125411,0.5360824742268041,3.868214890730453,7.727023024000486,56.03844473838934,6.2746267638182545,1.929775841687238,8.260872168908795,0.1071899818291756,1,4.578135734811514,4.578135734811514,1.0,inf,,,0.0,0.0,,1.0,56.412025338328,0.0811553158631408,29,1.0,3.0,1.65,1.05,0.01,20.0,4.0,12.0,8
trend_direction_force_index_signals,bears_bulls_impulse_signals,waddah_attar_explosion_volume_signals,ema_baseline,adx_dmi_exit,trend,B,97,47.7608714648851,0.4923801181946917,0.5154639175257731,3.397163401267128,7.07621877038234,57.79838952249904,6.7153498691890965,2.1797780047862143,7.112194062146817,0.113062427666477,1,4.556206070104498,4.556206070104498,1.0,inf,,,0.0,0.0,,1.0,52.31707753498959,0.0870883138886592,36,1.0,3.0,1.65,1.15,0.01,23.0,3.0,13.0,9
center_of_gravity_signals,price_momentum_oscillator_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,adx_dmi_exit,chop,B,97,57.36786701523266,0.5914213094353883,0.4329896907216495,2.24362026058013,5.596567987487533,33.487076507563586,4.913738620459558,1.6130712161455034,11.674993614102194,0.0439934349160897,5,9.095238095238097,1.819047619047619,0.8,10.09523809523814,18.323857922789657,,0.9999999999999948,0.4472135954999555,9.095238095238145,0.2774869109947653,66.46310511047076,0.1368464214863354,46,1.05,2.65,1.5,2.0,0.05,15.0,12.0,13.5,10
