final_rank,c1,c2,vol,base,atr,stop,tp,w3_n,w3_total_R,w3_expectancy_R,w3_sortino,w3_profit_factor,w3_max_dd_R
1,polychromatic_momentum,lemantrend,chaikin_volatility,wma,4,1.0,3.0,100,38.099,0.381,38.492,3.637,3.191
2,trend_direction_force_index,fisher_transform,waddah_attar_explosion,ema,29,1.0,3.0,52,34.571,0.665,52.329,5.881,5.275
3,laguerre_filter,ssl_channel,chaikin_volatility,mcginley_dynamic_index,13,1.0,3.0,150,49.1,0.327,32.155,2.574,9.692
4,lemantrend,aroon,volatility_ratio,kama,21,1.0,2.4,126,40.804,0.324,33.067,2.837,2.564
5,kuskus_starlight,center_of_gravity,chaikin_volatility,ema,26,1.0,2.85,196,61.257,0.313,31.331,2.45,8.459
6,center_of_gravity,polychromatic_momentum,chaikin_volatility,tma,4,1.0,2.4,96,34.578,0.36,37.426,2.957,5.614
7,relative_vigor_index,center_of_gravity,damiani_volatmeter,mcginley_dynamic_index,49,1.0,2.95,112,40.1,0.358,32.263,2.892,7.635
8,dspo,polychromatic_momentum,chaikin_volatility,sma,18,1.0,2.15,142,33.076,0.233,41.744,1.952,5.712
9,lemantrend,coral,williams_vix_fix,rma,49,1.0,3.0,52,30.546,0.587,53.533,4.518,3.786
10,ssl_channel,relative_vigor_index,chaikin_volatility,tma,4,1.0,1.85,132,36.31,0.275,32.741,2.324,5.496
11,fx_sniper_ergodic_cci,polychromatic_momentum,chaikin_volatility,sma,24,1.0,2.0,102,29.157,0.286,44.156,2.359,6.787
12,kase_peak_oscillator,polychromatic_momentum,chaikin_volatility,tma,4,1.0,2.85,116,34.662,0.299,32.158,2.484,4.715
13,laguerre_filter,ssl_channel,chaikin_volatility,ema,11,1.0,2.95,156,43.117,0.276,28.296,2.224,8.269
14,ssl_channel,vortex,variance,ema,26,1.0,2.25,122,34.875,0.286,31.612,2.206,6.045
15,coral,lemantrend,williams_vix_fix,rma,49,1.0,3.0,54,27.939,0.517,52.685,3.507,2.0
16,ehlers_reverse_ema,fx_sniper_ergodic_cci,variance,wma,5,1.0,3.0,140,36.786,0.263,29.51,2.029,5.806
17,fx_sniper_ergodic_cci,polychromatic_momentum,chaikin_volatility,kama,32,1.0,2.25,108,31.195,0.289,33.948,2.283,4.0
18,relative_vigor_index,center_of_gravity,damiani_volatmeter,ema,25,1.0,2.95,78,30.042,0.385,34.852,3.394,5.049
19,polychromatic_momentum,parabolic_sar,chaikin_volatility,ema,17,1.0,2.9,132,35.443,0.269,28.848,2.145,6.499
20,price_momentum_oscillator,linreg_slope,variance,wma,4,1.0,2.55,80,27.258,0.341,39.936,2.669,2.977
