indicator,parameter,default,grid_points,response_R,response_max_R,n_combos,note,n_measurements,rank_in_indicator,in_cap6,is_top1
adx_dmi_exit,di_length,14.0,12,0.0491801745378328,0.0811204245531355,8,,1,1,True,True
adx_dmi_exit,adx_smoothing,14.0,12,0.0,0.0,8,,1,2,True,False
adx_dmi_exit,adx_threshold,25.0,13,0.0,0.0,8,,1,3,True,False
adx_dmi_signals,di_length,14.0,12,0.10148433634737075,0.2865572971644693,16,,2,1,True,True
adx_dmi_signals,adx_smoothing,14.0,12,0.0880975967053618,0.1507211562402514,16,,2,2,True,False
adx_dmi_signals,adx_threshold,25.0,13,0.07422690029710169,0.1852390695546737,16,,2,3,True,False
alma_baseline,offset,0.85,13,0.1179462627700965,0.2245082375181485,8,,1,1,True,True
alma_baseline,length,9.0,11,0.0836831001453944,0.1308627652789562,8,,1,2,True,False
alma_baseline,sigma,6.0,10,0.0629359691191545,0.1169022030231526,8,,1,3,True,False
aroon_exit,length,25.0,13,0.053803690222921,0.11055643937176,8,,1,1,True,True
aroon_signals,length,25.0,13,0.139741968122113,0.2098720289873187,16,,2,1,True,True
bears_bulls_impulse_exit,length,13.0,12,0.0266854629857954,0.0539321698242626,8,,1,1,True,True
bears_bulls_impulse_signals,length,13.0,12,0.1077526876632509,0.346123039823675,16,,2,1,True,True
center_of_gravity_exit,length,10.0,11,0.0724655686506853,0.104129128687208,8,,1,1,True,True
center_of_gravity_exit,signal_length,3.0,8,0.0474678661222456,0.069984984668714,8,,1,2,True,False
center_of_gravity_signals,length,10.0,11,0.12406752446274696,0.213032712746397,16,,2,1,True,True
center_of_gravity_signals,signal_length,3.0,8,0.10023167186179414,0.2030537384946489,16,,2,2,True,False
chaikin_volatility_volume_signals,roc_len,12.0,12,0.0981306225793077,0.1687363271291152,8,,1,1,True,True
chaikin_volatility_volume_signals,cvi_len,10.0,11,0.0679381711428323,0.0991405177727446,8,,1,2,True,False
chandelier_exit_exit,atr_period,22.0,13,0.0286165853047118,0.0683595834634037,8,,1,1,True,True
chandelier_exit_exit,atr_mult,3.0,8,0.0105459719599493,0.0162876177006457,8,,1,2,True,False
chandelier_exit_signals,atr_mult,3.0,8,0.12443102357747227,0.2676681652637958,16,,2,1,True,True
chandelier_exit_signals,atr_period,22.0,13,0.1051712125106551,0.1993545845038739,16,,2,2,True,False
choppiness_index_volume_signals,length,14.0,12,0.0764691522967669,0.1137242855160982,8,,1,1,True,True
choppiness_index_volume_signals,ci_threshold,61.8,13,0.0305051052332178,0.061121220230239,8,,1,2,True,False
coppock_curve_exit,long_roc,14.0,12,0.0242188735642959,0.0544013777657399,8,,1,1,True,True
coppock_curve_exit,short_roc,11.0,12,0.0227197837897786,0.0482910647650854,8,,1,2,True,False
coppock_curve_exit,smooth_len,10.0,11,0.0220028888483065,0.0473863508148022,8,,1,3,True,False
coppock_curve_signals,long_roc,14.0,12,0.0983109817380335,0.1830249353498291,16,,2,1,True,True
coppock_curve_signals,short_roc,11.0,12,0.0975309483410413,0.1712338109313185,16,,2,2,True,False
coppock_curve_signals,smooth_len,10.0,11,0.09745106054266889,0.1827436013954655,16,,2,3,True,False
coral_exit,smooth_period,10.0,11,0.091450177190249,0.1814637238742036,8,,1,1,True,True
coral_exit,const_d,14.0,12,0.0569429827213397,0.0879512495202213,8,,1,2,True,False
coral_signals,smooth_period,10.0,11,0.11635111150987484,0.2231592036471923,16,,2,1,True,True
coral_signals,const_d,14.0,12,0.053180344790009604,0.2302717250750522,16,,2,2,True,False
damiani_volatmeter_volume_signals,sedimentation,50.0,13,0.0970414292101287,0.1516907191484212,8,,1,1,True,True
damiani_volatmeter_volume_signals,viscosity,7.0,10,0.080732147543685,0.1395823967586053,8,,1,2,True,False
damiani_volatmeter_volume_signals,threshold,1.4,13,0.0614453765869794,0.2399874545201804,8,,1,3,True,False
damiani_volatmeter_volume_signals,lag,1.4,13,0.0,0.0,8,,1,4,True,False
didi_index_exit,long_p,20.0,13,0.0600964761021728,0.1249780237536543,8,,1,1,True,True
didi_index_exit,medium,8.0,11,0.0436589553226751,0.0683701828500955,8,,1,2,True,False
didi_index_signals,long_p,20.0,13,0.1139262723354155,0.2204718718475125,16,,2,1,True,True
didi_index_signals,medium,8.0,11,0.0918363738991278,0.2167685648711076,16,,2,2,True,False
donchian_breakout_exit,length,20.0,13,0.0628517352437859,0.1193657747136854,8,,1,1,True,True
donchian_breakout_signals,length,20.0,13,0.1173679441704242,0.2246161424182568,16,,2,1,True,True
dpo_exit,len,50.0,13,0.041149096995851,0.0768079250235577,8,,1,1,True,True
dpo_signals,len,50.0,13,0.1467129885533196,0.229343808698883,16,,2,1,True,True
dspo_exit,len,14.0,12,0.0416258095020854,0.0792671868168055,8,,1,1,True,True
dspo_signals,len,14.0,12,0.10810971818003909,0.1560026654210888,16,,2,1,True,True
efficiency_ratio_volume_signals,length,10.0,11,0.1596729665714367,0.2675593671085908,8,,1,1,True,True
efficiency_ratio_volume_signals,er_threshold,0.3,13,0.0901067075083436,0.2013672501743402,8,,1,2,True,False
ehlers_reverse_ema_exit,alpha,0.1,13,0.0334939509952183,0.0841008950843235,8,,1,1,True,True
ehlers_reverse_ema_signals,alpha,0.1,13,0.08338174495045231,0.1646644180501792,16,,2,1,True,True
ema_baseline,ma_length,20.0,13,0.145696609455259,0.2568126155611909,8,,1,1,True,True
fantail_vma,fma_ma_length,6.0,10,0.1397316702066919,0.2511622960260131,8,,1,1,True,True
fantail_vma,fma_weighting,10.0,11,0.0923335207396247,0.1463519018983093,8,,1,2,True,False
fantail_vma,fma_adx_length,2.0,6,0.0562131440893188,0.1327640705997685,8,,1,3,True,False
fisher_transform_exit,length,10.0,11,0.047059116414183,0.0734378311062414,8,,1,1,True,True
fisher_transform_signals,length,10.0,11,0.06094043870184375,0.1345960532601232,16,,2,1,True,True
fractal_dimension_volume_signals,length,30.0,13,0.2065658082889309,0.2832355992479698,8,,1,1,True,True
fractal_dimension_volume_signals,fd_threshold,1.5,13,0.1354627209523365,0.2316951829045126,8,,1,2,True,False
frama_baseline,length,10.0,11,0.0824918745673865,0.1275749822751399,8,,1,1,True,True
