n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share
304,110.28477806310468,20,22.936159134079805,4,14.708476501455625,22,24.4361591340798,2,13.20847650145563,261,82.59865112666493,lemantrend_signals,rex_oscillator_signals,variance_volume_signals,fantail_vma,trend,1,0.22157327206205638
150,111.79265546677307,12,15.020154927513934,5,6.561743627623828,16,18.88189855513781,0,0.0,121,70.40409200270453,parabolic_sar_signals,waddah_attar_explosion_signals,variance_volume_signals,ema_baseline,chop,2,0.16890106488927506
146,86.09107036533452,17,25.648583618519183,3,0.7619047619047528,20,26.410488380423935,0,0.0,108,52.76041079988933,bears_bulls_impulse_signals,ssl_channel_signals,variance_volume_signals,kama_baseline,chop,3,0.3067738415650875
117,72.49956712474801,12,12.445891230884397,5,1.8599451119070167,16,11.955836342791423,0,0.0,89,60.61921440179709,lemantrend_signals,dpo_signals,ttm_squeeze_volume_signals,sma_baseline,chop,4,0.16490907210824232
202,89.48949502004619,10,-1.6598538230169595,10,9.30695993962521,18,8.647106116608269,0,0.0,175,68.17896242844634,relative_vigor_index_signals,center_of_gravity_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,trend,5,0.09662705231123792
126,78.4521939627352,17,16.01791875556386,12,1.5202860503279467,25,13.638204805891782,0,0.0,95,60.548289479469396,bears_bulls_impulse_signals,schaff_trend_cycle_signals,variance_volume_signals,t3_baseline,chop,6,0.17384096118930634
222,73.8962060174453,24,-0.6958463638825336,8,7.704626155572054,30,8.008779791689529,0,0.0,170,63.09252955571034,coral_signals,fx_sniper_ergodic_cci_signals,williams_vix_fix_volume_signals,rma_baseline,trend,7,0.1083787683199707
201,99.6845690248478,12,7.538291859907259,11,8.792616983551675,23,16.33090884345893,0,0.0,169,79.08094821363896,dpo_signals,waddah_attar_explosion_signals,choppiness_index_volume_signals,sma_baseline,chop,8,0.16382584589785623
268,79.761502743908,20,0.6788825299520634,16,14.602011115723556,32,16.53501719432062,0,0.0,233,61.038788100035845,bears_bulls_impulse_signals,rex_oscillator_signals,variance_volume_signals,ema_baseline,trend,9,0.20730573805022157
172,77.45373073039484,16,-5.85154749530878,6,8.305644548166079,20,3.4540970528572554,0,0.0,145,64.03348020662,relative_vigor_index_signals,center_of_gravity_signals,damiani_volatmeter_volume_signals,ema_baseline,trend,10,0.04459561883313878
230,143.87473209275828,22,66.37173262064347,10,73.29023043014715,28,67.04590362232078,0,0.0,194,72.97398885001695,qqe_mod_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,11,0.4660019354829814
233,129.45515258761918,17,28.315770963845804,9,15.000000000000048,25,40.315770963845786,0,0.0,198,74.50934218326393,dspo_signals,dpo_signals,variance_volume_signals,rma_baseline,chop,12,0.3114265454714817
