sid,src_label,err,w2_n,w2_total_R,w2_expectancy_R,w2_profit_factor,w2_sharpe,w2_sortino,w2_calmar,w2_max_dd_R,w2_win_rate,w2_avg_win_R
A-trend|trend|adx_dmi_signals|coral_signals|efficiency_ratio_volume_signals|frama_baseline,A-trend,,88,8.082052104377778,0.09184150118611112,1.3227277027653197,1.8767855344346351,12.745615223674006,0.9458607402155751,8.544653309678298,0.4090909090909091,0.9201388079427706
A-trend|trend|adx_dmi_signals|ehlers_reverse_ema_signals|variance_volume_signals|wma_baseline,A-trend,,76,7.051528259452651,0.0927832665717454,1.308698986509659,1.8976699904354255,14.289662960093827,1.234523679033904,5.711942491836961,0.39473684210526316,0.9964753465105354
A-trend|trend|adx_dmi_signals|halftrend_signals|variance_volume_signals|wma_baseline,A-trend,,68,10.537969433083395,0.15497013872181464,1.519414538258404,2.8795557258246705,48.86446977526605,2.543061620452683,4.143812068229618,0.4117647058823529,1.100933481076891
A-trend|trend|adx_dmi_signals|kuskus_starlight_signals|variance_volume_signals|wma_baseline,A-trend,,70,19.139384290795423,0.27341977558279174,1.89768187535253,4.461513150130472,28.050929499293364,4.492215760264475,4.2605665694179855,0.44285714285714284,1.3051704176772316
A-trend|trend|adx_dmi_signals|laguerre_filter_signals|variance_volume_signals|wma_baseline,A-trend,,74,-0.7705172405361,-0.010412395142379731,0.9700476985925892,-0.2073738013760773,-0.9381159131757013,-0.06376495747059936,12.083709785133454,0.40540540540540543,0.8318097339069307
A-trend|trend|adx_dmi_signals|mama_fama_signals|variance_volume_signals|wma_baseline,A-trend,,70,17.009671896076043,0.24299531280108633,1.7564046654848893,3.9568194117412956,30.79725159260775,2.5149889016894518,6.763318869777017,0.42857142857142855,1.3165733651965856
A-trend|trend|aroon_signals|adx_dmi_signals|variance_volume_signals|wma_baseline,A-trend,,76,10.996693609913786,0.14469333697254982,1.4239042969994886,2.2953568592224296,31.93250414809423,1.4176317625844597,7.757087489254548,0.32894736842105265,1.477525884476887
A-trend|trend|aroon_signals|chandelier_exit_signals|waddah_attar_explosion_volume_signals|ema_baseline,A-trend,,66,-7.115747950942845,-0.10781436289307342,0.48481650801342857,-4.6709831900480845,-9.151578228352886,-0.7184952532607813,9.903681226353418,0.36363636363636365,0.2790132162569485
A-trend|trend|aroon_signals|chandelier_exit_signals|waddah_attar_explosion_volume_signals|hma_baseline,A-trend,,156,-2.8810068290696584,-0.018467992494036273,0.9367672360763254,-0.46829917729905113,-1.727350808640169,-0.15233035134082462,18.912887705639704,0.3974358974358974,0.688402003328279
A-trend|trend|aroon_signals|chandelier_exit_signals|waddah_attar_explosion_volume_signals|sma_baseline,A-trend,,70,56.81970268803468,0.8117100384004955,3.0525103352005356,1.5551481535468794,94.02145907240075,4.442324779467308,12.790533225003891,0.15714285714285714,7.682066497423188
A-trend|trend|aroon_signals|coppock_curve_signals|waddah_attar_explosion_volume_signals|fantail_vma,A-trend,,144,2.1184460805023972,0.014711431114599981,1.0409491912827653,0.2443536130990287,1.66879992982274,0.24032959851062252,8.814753129164664,0.2638888888888889,1.4171571783906063
A-trend|trend|aroon_signals|coppock_curve_signals|waddah_attar_explosion_volume_signals|super_smoother_2pole_baseline,A-trend,,84,-10.01590556818643,-0.11923697104983845,0.7085959350539367,-2.3386064734257115,-25.625966063194458,-0.5749359665036211,17.42090624299697,0.20238095238095238,1.4326640091582796
A-trend|trend|aroon_signals|coppock_curve_signals|waddah_attar_explosion_volume_signals|tma_baseline,A-trend,,90,-17.738192936805383,-0.19709103263117092,0.39664403519021046,-6.44023578033336,-14.08231193637664,-0.8956896974024808,19.803948832108397,0.26666666666666666,0.48587600257220087
A-trend|trend|aroon_signals|coppock_curve_signals|waddah_attar_explosion_volume_signals|wma_baseline,A-trend,,212,1.5702378216782504,0.007406782177727596,1.025543205102502,0.14259134535454632,0.7190599237992247,0.21126452830963188,7.43256728539346,0.3160377358490566,0.9409557532353553
A-trend|trend|aroon_signals|coral_signals|waddah_attar_explosion_volume_signals|ema_baseline,A-trend,,72,-0.3247559768322317,-0.00451049967822544,0.9829873759752187,-0.11834264143178912,-0.43974180934193835,-0.062292125824319936,5.213435446851314,0.4027777777777778,0.6470469446964006
A-trend|trend|aroon_signals|didi_index_signals|waddah_attar_explosion_volume_signals|ema_baseline,A-trend,,64,3.8862828272480003,0.060723169175750005,1.2122290846693395,1.322466048198579,6.488653126408335,0.49828955445822537,7.799246025683669,0.40625,0.8537699290261354
A-trend|trend|aroon_signals|didi_index_signals|waddah_attar_explosion_volume_signals|fantail_vma,A-trend,,80,-5.914048909140839,-0.07392561136426049,0.7824212639858701,-1.7670023516428908,-13.243164478278727,-0.49729746000612324,11.892377067576454,0.325,0.8179669554133492
A-trend|trend|aroon_signals|didi_index_signals|waddah_attar_explosion_volume_signals|sma_baseline,A-trend,,72,-2.1247711267473313,-0.029510710093712936,0.8810836172418383,-0.8145339452446285,-2.225356524394085,-0.286278499619386,7.422042275519344,0.4027777777777778,0.5428621897121458
A-trend|trend|aroon_signals|didi_index_signals|waddah_attar_explosion_volume_signals|wma_baseline,A-trend,,216,0.5942123205862533,0.0027509829656770985,1.0096263325273704,0.05373881863231631,0.26240728719346545,0.037096981376092575,16.017807879354784,0.3194444444444444,0.9032175572219707
A-trend|trend|aroon_signals|ehlers_reverse_ema_signals|waddah_attar_explosion_volume_signals|fantail_vma,A-trend,,114,-7.343418973786976,-0.06441595591041208,0.8481304096229175,-1.050630972297093,-9.000651868661139,-0.4110578934708249,17.864683029881242,0.21052631578947367,1.7087513830140129
A-trend|trend|aroon_signals|ehlers_reverse_ema_signals|waddah_attar_explosion_volume_signals|kama_baseline,A-trend,,122,-2.1646834565467015,-0.0177433070208746,0.9489377024984704,-0.3606412576046986,-2.3217732221429253,-0.2089416227133949,10.360230902944583,0.3114754098360656,1.058639640307866
A-trend|trend|aroon_signals|fx_sniper_ergodic_cci_signals|efficiency_ratio_volume_signals|ema_baseline,A-trend,,94,-16.660205273113636,-0.17723622630971952,0.5876237341002231,-3.4485865373051054,-48.88374929856414,-0.9010302436988578,18.490173209637355,0.1595744680851064,1.5826859825216977
A-trend|trend|aroon_signals|fx_sniper_ergodic_cci_signals|variance_volume_signals|ema_baseline,A-trend,,190,-7.296178289459121,-0.03840093836557432,0.903296594587249,-0.6619791251292056,-4.213109412762979,-0.38501856874595625,18.950198462436497,0.24210526315789474,1.48158376731581
A-trend|trend|aroon_signals|fx_sniper_ergodic_cci_signals|vertical_horizontal_filter_volume_signals|vidya,A-trend,,134,4.304056579969142,0.03211982522365031,1.0866703063122323,0.5512794440601736,9.349934582586862,0.2775187346168606,15.50906675151599,0.27611940298507465,1.458490874755498
A-trend|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_attar_explosion_volume_signals|mcginley_dynamic_index,A-trend,,72,60.29522061075357,0.8374336195937996,3.5067805316488703,1.7464304175348135,87.37391705664595,8.953724350400664,6.7340939089838585,0.2916666666666667,4.01657487647228
A-trend|trend|aroon_signals|hieken_ashi_smoothed_signals|waddah_attar_explosion_volume_signals|tma_baseline,A-trend,,82,-14.762369145500688,-0.18002889201830108,0.5172762558707662,-4.903986406688569,-21.776576784086977,-1.0381124219098385,14.220395434958798,0.21951219512195122,0.8788351898111229
A-trend|trend|aroon_signals|j_tpo_signals|waddah_attar_explosion_volume_signals|vidya,A-trend,,122,-3.7482276444083578,-0.03072317741318326,0.8852308758137512,-0.8224174674976206,-3.00014515523692,-0.28190966743516604,13.295846426658567,0.4180327868852459,0.5668749537830653
A-trend|trend|aroon_signals|kalman_filter_signals|waddah_attar_explosion_volume_signals|mcginley_dynamic_index,A-trend,,104,-11.639097863318684,-0.11191440253191041,0.5906158904707483,-3.3371303310326335,-10.48889391744011,-0.8951167711489706,13.0028821249531,0.2403846153846154,0.6716661432437899
A-trend|trend|aroon_signals|kalman_filter_signals|waddah_attar_explosion_volume_signals|sma_baseline,A-trend,,68,10.866680591735859,0.15980412634905675,1.605721262384664,2.7380169690599296,14.846407110032061,2.662568510462756,4.081277363956815,0.39705882352941174,1.0669166117883266
A-trend|trend|aroon_signals|kase_peak_oscillator_signals|waddah_attar_explosion_volume_signals|ema_baseline,A-trend,,68,8.04783388832887,0.11835049835777751,1.4555869516269961,2.4678682732561597,10.899677120730685,1.0612515297216119,7.583342556349467,0.38235294117647056,0.9889458958787427
A-trend|trend|aroon_signals|kase_peak_oscillator_signals|waddah_attar_explosion_volume_signals|hma_baseline,A-trend,,88,-7.325837710214058,-0.08324815579788702,0.7795861574772872,-1.6617763786972224,-14.636534507164413,-0.6448115177579324,11.3612079010106,0.25,1.1777683135097599
A-trend|trend|aroon_signals|kase_peak_oscillator_signals|waddah_attar_explosion_volume_signals|sma_baseline,A-trend,,90,11.503376490150167,0.12781529433500186,1.5230151503454041,2.1560108445362314,11.815745928181984,2.08109585266805,5.527557260470424,0.4222222222222222,0.8815190285071394
A-trend|trend|aroon_signals|kase_peak_oscillator_signals|waddah_attar_explosion_volume_signals|tma_baseline,A-trend,,92,8.280814818181316,0.09000885671936212,1.3408968442774627,1.7661774908977605,8.49931149642813,1.0050731391297383,8.239017137948206,0.391304347826087,0.9047799327095493
