sid,src_label,src_mode,slice,c1,c2,vol,base,exit_ind,ip2,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct,w3_n,w3_total_R,w3_expectancy_R,w3_profit_factor,w3_sharpe,w3_sortino,w3_calmar,w3_max_dd_R,w3_ulcer_R,w3_win_rate,w3_avg_win_R,w3_avg_loss_R,w3_win_loss_ratio,w3_profit_concentration,w3_avg_hold_bars,w3_max_dd_frac,verdict,sharpe_only_flag,settings_basis,n,total_R,expectancy_R,profit_factor,sharpe,sortino,calmar,max_dd_R,win_rate,profit_concentration
A-trend|trend|aroon_signals|aroon_signals|waddah_attar_explosion_volume_signals|fantail_vma,A-trend,A,trend,aroon_signals,aroon_signals,waddah_attar_explosion_volume_signals,fantail_vma,adx_dmi_exit,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 3, ""fma_weighting"": 12}, ""c1"": {""length"": 25}, ""c2"": {""length"": 25}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 57, ""bbStd"": 6, ""fastEma"": 5, ""sensitivity"": 23, ""slowEma"": 32}}",4,1.0,2.75,1.25,1.3,0.05,62,18.7978986131,0.3031919131145161,2.8977655479199056,6.782499640588972,23.597098073950537,7.918380851006314,2.373957374216353,0.8843689678826258,0.5806451612903226,0.7973105095158688,-0.3809722972873569,2.0928306734977093,11.25547120531583,6.5,0.08270712552746833,PASS,False,adopted,62,18.7978986131,0.3031919131145161,2.8977655479199056,6.782499640588972,23.597098073950537,7.918380851006314,2.373957374216353,0.5806451612903226,11.25547120531583
A-trend|trend|chandelier_exit_signals|ssl_channel_signals|chaikin_volatility_volume_signals|kama_baseline,A-trend,A,trend,chandelier_exit_signals,ssl_channel_signals,chaikin_volatility_volume_signals,kama_baseline,adx_dmi_exit,"{""base"": {""fast_length"": 2, ""length"": 19, ""slow_length"": 30}, ""c1"": {""atr_mult"": 4, ""atr_period"": 18}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 5, ""roc_len"": 10}}",5,1.0,2.4,1.4,1.4,0.02,210,34.2891955209042,0.1632818834328771,1.5198036145622482,2.6574809109629554,19.88187813256516,5.193797511012102,6.601950778443489,2.8563379182153743,0.3476190476190476,1.3733543701117166,-0.4815012664032926,2.8522341807538085,14.508009929668072,13.642857142857142,0.06585167227387162,PASS,False,adopted,210,34.2891955209042,0.1632818834328771,1.5198036145622482,2.6574809109629554,19.88187813256516,5.193797511012102,6.601950778443489,0.3476190476190476,14.508009929668072
A-trend|trend|coral_signals|lemantrend_signals|williams_vix_fix_volume_signals|rma_baseline,A-trend,A,trend,coral_signals,lemantrend_signals,williams_vix_fix_volume_signals,rma_baseline,adx_dmi_exit,"{""base"": {""ma_length"": 16}, ""c1"": {""const_d"": 5, ""smooth_period"": 66}, ""c2"": {""fast_period"": 18, ""medium_period"": 91, ""slow_period"": 5, ""smooth"": 4}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 87, ""bb_mult"": 2, ""lookback"": 3}}",7,1.0,3.0,0.7,1.6,0.05,54,32.95880066682369,0.610348160496735,3.903716895056485,8.827792613193951,762.3175971252946,15.31497866669912,2.152063113120052,0.7633469159192562,0.5925925925925926,1.3846673898258914,-0.5159343548911292,2.6838053653513336,14.181787546970906,13.703703703703704,0.04856904465227416,PASS,False,adopted,54,32.95880066682369,0.610348160496735,3.903716895056485,8.827792613193951,762.3175971252946,15.31497866669912,2.152063113120052,0.5925925925925926,14.181787546970906
A-trend|trend|didi_index_signals|ehlers_reverse_ema_signals|variance_volume_signals|sma_baseline,A-trend,A,trend,didi_index_signals,ehlers_reverse_ema_signals,variance_volume_signals,sma_baseline,adx_dmi_exit,"{""base"": {""length"": 20}, ""c1"": {""long_p"": 37, ""medium"": 15}, ""c2"": {""alpha"": 0.432876}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}",4,1.0,2.95,1.45,1.0,0.02,50,31.58124397276925,0.631624879455385,4.166802358916786,9.53638323601382,60.29610906937429,8.977323756427086,3.5178907244109876,1.084932377892757,0.54,1.5390311502814882,-0.4335911776013448,3.5494983057439287,12.934229310052862,12.9,0.08465861722709667,PASS,False,adopted,50,31.58124397276925,0.631624879455385,4.166802358916786,9.53638323601382,60.29610906937429,8.977323756427086,3.5178907244109876,0.54,12.934229310052862
A-trend|trend|donchian_breakout_signals|center_of_gravity_signals|variance_volume_signals|kama_baseline,A-trend,A,trend,donchian_breakout_signals,center_of_gravity_signals,variance_volume_signals,kama_baseline,adx_dmi_exit,"{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 56}, ""c1"": {""length"": 16}, ""c2"": {""length"": 10, ""signal_length"": 4}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 20}}",3,1.0,1.95,0.85,1.0,0.05,78,29.786167400119353,0.3818739410271712,2.7759585751111993,7.002394281854878,61.47452578115942,6.441966720222889,4.62376921423909,1.49080011671545,0.5641025641025641,1.0581374830578434,-0.4932906427772283,2.145058898949563,15.248943442230846,12.461538461538462,0.09931191895433003,PASS,False,adopted,78,29.786167400119353,0.3818739410271712,2.7759585751111993,7.002394281854878,61.47452578115942,6.441966720222889,4.62376921423909,0.5641025641025641,15.248943442230846
A-trend|trend|donchian_breakout_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|sma_baseline,A-trend,A,trend,donchian_breakout_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,sma_baseline,adx_dmi_exit,"{""base"": {""length"": 37}, ""c1"": {""length"": 7}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 12}}",12,1.0,1.85,0.5,1.2,0.01,128,31.0835984486186,0.2428406128798328,2.03157644305615,4.811005412588738,26.531631444748086,9.148378792580212,3.397716595844166,1.3258200146622574,0.484375,0.9873505051529052,-0.4565474677403259,2.162645890995256,15.35178739708398,7.203125,0.05550397786006587,PASS,False,adopted,128,31.0835984486186,0.2428406128798328,2.03157644305615,4.811005412588738,26.531631444748086,9.148378792580212,3.397716595844166,0.484375,15.35178739708398
A-trend|trend|dspo_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|frama_baseline,A-trend,A,trend,dspo_signals,fx_sniper_ergodic_cci_signals,chaikin_volatility_volume_signals,frama_baseline,adx_dmi_exit,"{""base"": {""length"": 28}, ""c1"": {""len"": 14}, ""c2"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 15}}",3,1.0,2.75,0.5,1.4,0.01,218,60.72982759911494,0.2785771908216282,2.0034151008294474,4.553216448416049,33.247114434589406,6.542303483273109,9.28263688078436,3.195277729957083,0.4128440366972477,1.347255139885807,-0.4728369921141229,2.8493014767352136,10.882693527291387,14.536697247706424,0.07655595939699665,PASS,False,adopted,218,60.72982759911494,0.2785771908216282,2.0034151008294474,4.553216448416049,33.247114434589406,6.542303483273109,9.28263688078436,0.4128440366972477,10.882693527291387
A-trend|trend|fx_sniper_ergodic_cci_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|ema_baseline,A-trend,A,trend,fx_sniper_ergodic_cci_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,ema_baseline,adx_dmi_exit,"{""base"": {""ma_length"": 25}, ""c1"": {""cci_length"": 11, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 22}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 10}}",4,1.0,3.0,1.45,1.0,0.1,160,33.476534876155455,0.2092283429759716,2.175986353895862,4.395281254258073,16.258706541671277,6.408687058748548,5.22361828082343,1.7649111671213686,0.44375,0.8724409355064104,-0.3198513656719066,2.727644866151151,14.560838001869309,8.6875,0.0843290192700515,PASS,False,adopted,160,33.476534876155455,0.2092283429759716,2.175986353895862,4.395281254258073,16.258706541671277,6.408687058748548,5.22361828082343,0.44375,14.560838001869309
A-trend|trend|j_tpo_signals|lemantrend_signals|chaikin_volatility_volume_signals|frama_baseline,A-trend,A,trend,j_tpo_signals,lemantrend_signals,chaikin_volatility_volume_signals,frama_baseline,adx_dmi_exit,"{""base"": {""length"": 28}, ""c1"": {""ema_len"": 200, ""len"": 40}, ""c2"": {""fast_period"": 34, ""medium_period"": 2, ""slow_period"": 13, ""smooth"": 9}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 4, ""roc_len"": 15}}",7,1.0,2.4,1.05,1.0,0.02,76,25.978806240634583,0.3418263979030866,2.501582572520752,5.936774708591039,33.1740989462776,8.00265948993417,3.246271601748269,1.137685033425043,0.4473684210526316,1.272934031220284,-0.4119274004965494,3.090190236643282,12.010942954459304,10.986842105263158,0.07500669648251798,PASS,False,adopted,76,25.978806240634583,0.3418263979030866,2.501582572520752,5.936774708591039,33.1740989462776,8.00265948993417,3.246271601748269,0.4473684210526316,12.010942954459304
A-trend|trend|kalman_filter_signals|lemantrend_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline,A-trend,A,trend,kalman_filter_signals,lemantrend_signals,chaikin_volatility_volume_signals,super_smoother_2pole_baseline,adx_dmi_exit,"{""base"": {""cutoff_period"": 18}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""fast_period"": 18, ""medium_period"": 210, ""slow_period"": 13, ""smooth"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 2}}",9,1.1,2.05,1.45,2.0,0.05,104,29.943890069714875,0.2879220199011045,2.305447871717986,5.374254068070087,21.72759132636937,8.557155879522433,3.499280659520487,1.192206042031538,0.5096153846153846,0.9977646713160506,-0.4497575982359962,2.218449838822967,14.746779503837503,10.26923076923077,0.06617207973508743,PASS,False,adopted,104,29.943890069714875,0.2879220199011045,2.305447871717986,5.374254068070087,21.72759132636937,8.557155879522433,3.499280659520487,0.5096153846153846,14.746779503837503
A-trend|trend|kase_peak_oscillator_signals|fisher_transform_signals|variance_volume_signals|vidya,A-trend,A,trend,kase_peak_oscillator_signals,fisher_transform_signals,variance_volume_signals,vidya,adx_dmi_exit,"{""base"": {""vda_length"": 13}, ""c1"": {""long_cycle"": 15, ""sharpness"": 40, ""short_cycle"": 8}, ""c2"": {""length"": 4}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 16}}",2,1.0,3.0,0.8,1.95,0.16,196,39.64777794384704,0.2022845813461583,1.7708653146452469,3.371888009750883,21.12967855456043,7.00698387414545,5.658322989744622,2.258809854699948,0.4183673469387755,1.1107390146836624,-0.4511650987738006,2.461934705726319,16.63148080628314,12.275510204081632,0.062124349633092636,PASS,False,adopted,196,39.64777794384704,0.2022845813461583,1.7708653146452469,3.371888009750883,21.12967855456043,7.00698387414545,5.658322989744622,0.4183673469387755,16.63148080628314
A-trend|trend|kase_peak_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|rma_baseline,A-trend,A,trend,kase_peak_oscillator_signals,relative_vigor_index_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,"{""base"": {""ma_length"": 20}, ""c1"": {""long_cycle"": 10, ""sharpness"": 40, ""short_cycle"": 4}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}",2,1.0,2.8,0.85,1.0,0.05,60,24.48935943921687,0.4081559906536144,3.819246667346484,7.595724123642654,33.91968027511214,8.7639999042938,2.7943130655693693,0.9852815042842644,0.5666666666666667,0.9757602928114196,-0.3340957890912072,2.920600392676723,15.42985212917772,7.516666666666667,0.0842273240718791,PASS,False,adopted,60,24.48935943921687,0.4081559906536144,3.819246667346484,7.595724123642654,33.91968027511214,8.7639999042938,2.7943130655693693,0.5666666666666667,15.42985212917772
A-trend|trend|laguerre_filter_signals|kase_peak_oscillator_signals|waddah_attar_explosion_volume_signals|kama_baseline,A-trend,A,trend,laguerre_filter_signals,kase_peak_oscillator_signals,waddah_attar_explosion_volume_signals,kama_baseline,adx_dmi_exit,"{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 24}, ""c1"": {""alpha"": 0.2}, ""c2"": {""long_cycle"": 185, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 20, ""bbStd"": 2, ""fastEma"": 37, ""sensitivity"": 150, ""slowEma"": 40}}",31,1.0,2.0,1.85,2.0,0.01,88,27.28837849120703,0.3100952101273526,2.131210913606776,4.801080695382748,38.26379747809293,6.572661169741384,4.151800585253774,1.4199555175633911,0.4318181818181818,1.3529351450209024,-0.4824631403917453,2.8042248863247052,12.231949159852771,12.034090909090908,0.08075620663736191,PASS,False,adopted,88,27.28837849120703,0.3100952101273526,2.131210913606776,4.801080695382748,38.26379747809293,6.572661169741384,4.151800585253774,0.4318181818181818,12.231949159852771
A-trend|trend|laguerre_filter_signals|waddah_attar_explosion_signals|volatility_ratio_volume_signals|kama_baseline,A-trend,A,trend,laguerre_filter_signals,waddah_attar_explosion_signals,volatility_ratio_volume_signals,kama_baseline,adx_dmi_exit,"{""base"": {""fast_length"": 2, ""length"": 19, ""slow_length"": 37}, ""c1"": {""alpha"": 0.2}, ""c2"": {""bbLen"": 57, ""bbStd"": 2, ""fastEma"": 20, ""sensitivity"": 150, ""slowEma"": 32}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""length"": 92}}",46,1.0,1.8,1.75,2.0,0.05,76,21.32722501863526,0.2806213818241481,2.1825982512783035,4.703372067695341,25.30387072817244,6.590845050895971,3.23588627163007,1.0056975227811416,0.4736842105263157,1.093373190486295,-0.4508552459717842,2.425109168087004,17.720892426108655,10.052631578947368,0.08220956078822808,PASS,False,adopted,76,21.32722501863526,0.2806213818241481,2.1825982512783035,4.703372067695341,25.30387072817244,6.590845050895971,3.23588627163007,0.4736842105263157,17.720892426108655
A-trend|trend|lemantrend_signals|hieken_ashi_smoothed_signals|chaikin_volatility_volume_signals|sma_baseline,A-trend,A,trend,lemantrend_signals,hieken_ashi_smoothed_signals,chaikin_volatility_volume_signals,sma_baseline,adx_dmi_exit,"{""base"": {""length"": 20}, ""c1"": {""fast_period"": 340, ""medium_period"": 210, ""slow_period"": 7, ""smooth"": 9}, ""c2"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 8, ""ma_len2"": 8, ""vol_factor1"": 0.82, ""vol_factor2"": 0.82}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 6}}",16,1.0,2.9,1.7,1.9,0.01,196,56.51461431629736,0.2883398689607008,1.975289852834147,4.244991925439084,35.26259411708978,11.734398182478811,4.8161493616845235,1.7610687820973978,0.3826530612244898,1.526147929205087,-0.4788965320172246,3.186800962572424,12.761402534795383,13.321428571428571,0.04207673685728988,PASS,False,adopted,196,56.51461431629736,0.2883398689607008,1.975289852834147,4.244991925439084,35.26259411708978,11.734398182478811,4.8161493616845235,0.3826530612244898,12.761402534795383
