sid,src_label,slice,c1,c2,vol,base,incumbent_stop,incumbent_tp,candidate_stop,candidate_tp,candidate_tp_none,ft_risk_atr_len,ft_risk_trail_mult,ft_risk_trail_arm,ft_risk_be_pct,ft_ip2,base_total_R,ft_total_R,base_max_dd_R,ft_max_dd_R,base_sortino,ft_sortino,base_sharpe,ft_sharpe,base_win_rate,ft_win_rate,ft_n_blind,failed_on,tag
B|trend|polychromatic_momentum_signals|center_of_gravity_signals|fractal_dimension_volume_signals|vidya,B,trend,polychromatic_momentum_signals,center_of_gravity_signals,fractal_dimension_volume_signals,vidya,1.0,2.6,1.2,999.0,True,3,1.5,2.0,0.05,"{""base"": {""vda_length"": 9}, ""c1"": {""len"": 14}, ""c2"": {""length"": 12, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 5}}",150.68595340096073,164.26830476091752,10.041155256409011,18.027998817542223,79.62511406044602,62.4165539492205,1.4897959016820712,1.2146245079368931,0.3967391304347826,0.3061224489795918,196,"DD,Sortino,Sharpe",MULTI
B|trend|dpo_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|tma_baseline,B,trend,dpo_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,1.0,1.05,1.45,10.0,False,9,0.5,1.95,0.05,"{""base"": {""length"": 37}, ""c1"": {""len"": 500}, ""c2"": {""len"": 26}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}",1.0262866801923742,153.18236207840718,13.189329021814236,26.943238128248765,0.4907395823591086,24.36558738157934,0.1631360171950373,1.116759717131513,0.3522727272727273,0.2921810699588477,486,DD,DD_ONLY
B|trend|center_of_gravity_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|sma_baseline,B,trend,center_of_gravity_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,sma_baseline,1.0,2.3,1.5,999.0,True,2,0.5,2.0,0.05,"{""base"": {""length"": 25}, ""c1"": {""length"": 28, ""signal_length"": 4}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 10}}",135.2931838392155,142.86712073015576,9.4897919220451,7.566882843366216,40.3415659421001,26.915884474969427,1.3491973752775943,1.5758945507938955,0.3289473684210526,0.3764044943820224,356,Sortino,SORTINO_ONLY
B|chop|dspo_signals|dpo_signals|variance_volume_signals|rma_baseline,B,chop,dspo_signals,dpo_signals,variance_volume_signals,rma_baseline,1.0,3.0,1.15,30.0,False,22,1.5,2.0,0.05,"{""base"": {""ma_length"": 16}, ""c1"": {""len"": 5}, ""c2"": {""len"": 329}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 16}}",119.89890326438454,139.0236246546529,9.700516126991673,22.969469579149695,25.57505777250604,25.238267091240328,4.629370785514381,1.7527580484217025,0.3776824034334764,0.2435424354243542,271,"DD,Sortino,Sharpe",MULTI
B|trend|vortex_signals|center_of_gravity_signals|variance_volume_signals|sma_baseline,B,trend,vortex_signals,center_of_gravity_signals,variance_volume_signals,sma_baseline,1.0,2.05,1.45,999.0,True,4,1.5,2.0,0.05,"{""base"": {""length"": 11}, ""c1"": {""period"": 17}, ""c2"": {""length"": 12, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}",-0.9716527200798236,138.75740623789537,5.177342305033049,21.71960575678537,-1.377978582638704,20.681328252339615,-0.3225492474195792,0.760310603671594,0.3225806451612903,0.3083333333333333,480,DD,DD_ONLY
B|trend|polychromatic_momentum_signals|ssl_channel_signals|chaikin_volatility_volume_signals|ema_baseline,B,trend,polychromatic_momentum_signals,ssl_channel_signals,chaikin_volatility_volume_signals,ema_baseline,1.0,1.7,1.0,10.5,False,15,1.0,1.55,0.05,"{""base"": {""ma_length"": 20}, ""c1"": {""len"": 17}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 12}}",130.41461827244058,135.71582566355482,9.041003773761224,13.09599486011676,28.69841756527379,22.11182850241378,1.3841639963745231,1.3103681151524178,0.3952380952380952,0.3095238095238095,504,"DD,Sortino,Sharpe",MULTI
B|trend|laguerre_filter_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|tma_baseline,B,trend,laguerre_filter_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,1.0,2.35,1.3,11.75,False,3,0.65,2.0,0.05,"{""base"": {""length"": 37}, ""c1"": {""alpha"": 0.569607}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 12}}",132.47054546933782,134.90148191753462,11.50308454492952,12.418993365209303,60.05393058211795,32.200095302418305,1.514042631566706,1.596688017410198,0.3448275862068966,0.3155080213903743,374,"DD,Sortino",MULTI
B|trend|ichimoku_signals|price_momentum_oscillator_signals|chaikin_volatility_volume_signals|tma_baseline,B,trend,ichimoku_signals,price_momentum_oscillator_signals,chaikin_volatility_volume_signals,tma_baseline,1.0,2.25,1.2,9.5,False,3,1.0,2.0,0.05,"{""base"": {""length"": 37}, ""c1"": {""base_len"": 14, ""conversion_len"": 9, ""displacement"": 260, ""span_b_len"": 520}, ""c2"": {""s1"": 28, ""s2"": 37, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}",0.9252307638069884,131.09079905181034,5.838068914747314,17.172722962439053,1.514170359703278,55.56045841550086,0.3958715706759163,1.7976490899007629,0.2777777777777778,0.2916666666666667,240,DD,DD_ONLY
B|trend|parabolic_sar_signals|ichimoku_signals|chaikin_volatility_volume_signals|t3_baseline,B,trend,parabolic_sar_signals,ichimoku_signals,chaikin_volatility_volume_signals,t3_baseline,1.0,3.0,0.75,9.75,False,5,0.5,1.65,0.05,"{""base"": {""length"": 43, ""volume_factor"": 0.7}, ""c1"": {""sar_increment"": 0.02, ""sar_maximum"": 0.070224, ""sar_start"": 0.02}, ""c2"": {""base_len"": 26, ""conversion_len"": 9, ""displacement"": 32, ""span_b_len"": 342}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 22}}",115.83590584192328,130.02418927847697,14.968026060340264,9.528972680439011,88.48377949878714,35.06441005847263,2.0864389437382593,1.7268523265304705,0.3939393939393939,0.3112582781456953,302,"Sortino,Sharpe",MULTI
B|trend|qqe_mod_signals|fx_sniper_ergodic_cci_signals|variance_volume_signals|tma_baseline,B,trend,qqe_mod_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,tma_baseline,1.0,2.6,0.75,999.0,True,9,1.5,2.0,0.05,"{""base"": {""length"": 11}, ""c1"": {""fast_factor"": 1.984883, ""rsi_len"": 3, ""rsi_period"": 11}, ""c2"": {""cci_length"": 11, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}",1.5709717121133564,130.01180085151813,6.452091883489553,11.529051480165949,2.2478980820021346,26.991009760452595,0.6358878153925969,1.3293500425620477,0.3548387096774194,0.3257142857142857,350,DD,DD_ONLY
B|chop|center_of_gravity_signals|ssl_channel_signals|variance_volume_signals|mcginley_dynamic_index,B,chop,center_of_gravity_signals,ssl_channel_signals,variance_volume_signals,mcginley_dynamic_index,1.0,2.55,1.25,2.65,False,7,1.5,2.0,0.05,"{""base"": {""mci_length"": 17}, ""c1"": {""length"": 43, ""signal_length"": 2}, ""c2"": {""len"": 66}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}",80.64212340174052,126.1970308956042,15.874047414428716,44.34194740107126,16.65076071006195,14.88958590819982,3.116088411718654,1.0331265906015317,0.3783783783783784,0.2555205047318612,317,"DD,Sortino,Sharpe",MULTI
B|trend|donchian_breakout_signals|relative_vigor_index_signals|variance_volume_signals|lsma_baseline,B,trend,donchian_breakout_signals,relative_vigor_index_signals,variance_volume_signals,lsma_baseline,1.0,1.75,1.5,999.0,True,3,1.5,2.0,0.05,"{""base"": {""length"": 37, ""lsma_offset"": 0}, ""c1"": {""length"": 3}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 25}}",5.588016322714915,124.1157074429962,7.247010984210679,10.572513379311005,2.945995540816945,15.738643679807096,0.9481432208729614,1.1746360170725458,0.3735632183908046,0.3311475409836065,610,DD,DD_ONLY
B|trend|polychromatic_momentum_signals|fisher_transform_signals|efficiency_ratio_volume_signals|frama_baseline,B,trend,polychromatic_momentum_signals,fisher_transform_signals,efficiency_ratio_volume_signals,frama_baseline,1.0,1.8,0.95,999.0,True,2,1.5,2.0,0.05,"{""base"": {""length"": 5}, ""c1"": {""len"": 14}, ""c2"": {""length"": 28}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 66}}",2.389481870712898,122.86343729426316,5.105371330530411,13.269637657410785,3.0149412182288597,62.4245988367295,0.8407603418280096,1.1216925396700292,0.3428571428571428,0.2873563218390804,174,DD,DD_ONLY
