sid,src_label,src_mode,slice,c1,c2,vol,base,exit_ind,ft_seconds,adopted,ft_total_R,ft_expectancy_R,ft_profit_factor,ft_sharpe,ft_sortino,ft_calmar,ft_max_dd_R,ft_ulcer_R,ft_win_rate,ft_n_blind,ft_n_w2,ft_n_w3,ft_risk_atr_len,ft_risk_atr_mult,ft_risk_tp_mult,ft_risk_trail_mult,ft_risk_trail_arm,ft_risk_be_pct,ft_ip2,variants,prev_total_R,prev_sortino,at_edge
B|chop|bears_bulls_impulse_signals|schaff_trend_cycle_signals|variance_volume_signals|t3_baseline,B,B,chop,bears_bulls_impulse_signals,schaff_trend_cycle_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,182.4,False,-1.7731809568882824,-0.008865904784441412,0.9895879620522311,-0.04164600910809209,-1.245344103683919,-0.02988012208134504,59.34316305873886,35.962140633286964,0.13,200,150,50,28,0.7,6.65,1.5,2.0,0.05,"{""base"": {""length"": 12, ""volume_factor"": 0.7}, ""c1"": {""length"": 3}, ""c2"": {""cycleLen"": 10, ""d1"": 2, ""d2"": 6, ""lowerBand"": 25, ""macdFast"": 12, ""macdSlow"": 50, ""stc_midline"": 50, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 2, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}",0,74.18649428536116,37.03789490899483,
B|trend|coral_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|wma_baseline,B,B,trend,coral_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,wma_baseline,adx_dmi_exit,31.6,False,-3.7123065465085143,-0.017677650221469117,0.9507407482844081,-0.22044856295438278,-2.1513371457590984,-0.17298955427851864,21.4597150792792,13.6242369951703,0.18095238095238095,210,116,94,43,0.75,7.85,0.5,2.3,0.05,"{""base"": {""ma_length"": 37}, ""c1"": {""const_d"": 61, ""smooth_period"": 28}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 12}}",0,72.30042108554305,29.412139154356527,
B|chop|bears_bulls_impulse_signals|ichimoku_signals|variance_volume_signals|t3_baseline,B,B,chop,bears_bulls_impulse_signals,ichimoku_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,80.1,False,49.381156808063466,0.22548473428339483,1.3281315455307179,1.425050272876362,14.972352500119522,1.731064379899727,28.526470408295214,13.79810607570965,0.2374429223744292,219,101,118,6,0.55,2.6,1.5,2.0,0.05,"{""base"": {""length"": 19, ""volume_factor"": 0.567792}, ""c1"": {""length"": 56}, ""c2"": {""base_len"": 21, ""conversion_len"": 7, ""displacement"": 26, ""span_b_len"": 97}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 2, ""hline"": 0, ""lookback"": 3}}",0,68.81310350743833,28.21731122172616,
B|chop|ichimoku_signals|fisher_transform_signals|chaikin_volatility_volume_signals|wma_baseline,B,B,chop,ichimoku_signals,fisher_transform_signals,chaikin_volatility_volume_signals,wma_baseline,adx_dmi_exit,26.2,False,13.019647431920419,0.07439798532525953,1.0934117800620613,0.4193582396271398,7.9279890750034845,0.40023086647338524,32.530343165789304,14.854495020692168,0.17142857142857143,175,117,58,10,0.5,4.05,1.5,2.0,0.05,"{""base"": {""ma_length"": 57}, ""c1"": {""base_len"": 21, ""conversion_len"": 9, ""displacement"": 21, ""span_b_len"": 148}, ""c2"": {""length"": 43}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 10}}",0,55.22724612582536,40.71074167741873,atr_mult
B|chop|parabolic_sar_signals|bears_bulls_impulse_signals|variance_volume_signals|fantail_vma,B,B,chop,parabolic_sar_signals,bears_bulls_impulse_signals,variance_volume_signals,fantail_vma,adx_dmi_exit,117.3,False,-16.446776289528913,-0.08391212392616793,0.8783427314350196,-0.6736063776929665,-5.243866209476776,-0.3031766293881664,54.24816656455269,30.12685768665634,0.20918367346938777,196,116,80,35,0.65,7.5,1.5,2.0,0.05,"{""base"": {""fma_adx_length"": 6, ""fma_ma_length"": 7, ""fma_weighting"": 10}, ""c1"": {""sar_increment"": 0.131587, ""sar_maximum"": 0.162226, ""sar_start"": 0.037476}, ""c2"": {""length"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 16}}",0,66.97739861294502,24.542451823993776,
B|chop|center_of_gravity_signals|linreg_slope_signals|efficiency_ratio_volume_signals|fantail_vma,B,B,chop,center_of_gravity_signals,linreg_slope_signals,efficiency_ratio_volume_signals,fantail_vma,adx_dmi_exit,79.9,False,36.6975689317119,0.20163499413028516,1.365015601670572,1.8190579966322642,11.615250089825075,1.5116736268199527,24.27611905151187,9.63840430643588,0.34615384615384615,182,114,68,12,0.8,6.55,1.5,2.0,0.05,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 7, ""fma_weighting"": 4}, ""c1"": {""length"": 10, ""signal_length"": 3}, ""c2"": {""length"": 14, ""r2_floor"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.369854, ""length"": 10}}",0,59.564773269122966,26.84946090579352,
B|trend|ehlers_reverse_ema_signals|aroon_signals|variance_volume_signals|tma_baseline,B,B,trend,ehlers_reverse_ema_signals,aroon_signals,variance_volume_signals,tma_baseline,adx_dmi_exit,26.8,False,-9.371292531516584,-0.022856811052479473,0.9388480608340045,-0.2863964433441076,-4.027587464820846,-0.2648619711972893,35.3817971268368,20.007824445845543,0.2097560975609756,410,236,174,24,0.5,7.7,0.5,2.05,0.05,"{""base"": {""length"": 16}, ""c1"": {""alpha"": 0.023101}, ""c2"": {""length"": 20}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 20}}",0,50.88718809288832,38.10300364918744,atr_mult
B|chop|aroon_signals|parabolic_sar_signals|choppiness_index_volume_signals|sma_baseline,B,B,chop,aroon_signals,parabolic_sar_signals,choppiness_index_volume_signals,sma_baseline,adx_dmi_exit,20.9,False,-0.7115201905885158,-0.004743467937256772,0.9934447356999305,-0.037452226076147815,-0.37931920744327874,-0.03245603163826413,21.922587410522084,10.819353497449264,0.22666666666666666,150,96,54,5,0.65,5.8,1.5,2.0,0.05,"{""base"": {""length"": 20}, ""c1"": {""length"": 108}, ""c2"": {""sar_increment"": 0.002, ""sar_maximum"": 0.106734, ""sar_start"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ci_threshold"": 32.980801, ""length"": 2}}",0,67.36888779280912,22.39247537403855,
B|chop|polychromatic_momentum_signals|bears_bulls_impulse_signals|variance_volume_signals|ema_baseline,B,B,chop,polychromatic_momentum_signals,bears_bulls_impulse_signals,variance_volume_signals,ema_baseline,adx_dmi_exit,28.1,True,77.9151174903918,0.38571840341778113,1.5757554720643272,2.447661988394788,35.94842752686175,3.975430608350995,19.59916425826155,7.732709993982947,0.30198019801980197,202,131,71,10,0.6,5.5,1.5,2.0,0.05,"{""base"": {""ma_length"": 11}, ""c1"": {""len"": 14}, ""c2"": {""length"": 7}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 57}}",0,53.16938268210387,28.32743073030267,
B|chop|ichimoku_signals|price_momentum_oscillator_signals|ttm_squeeze_volume_signals|rma_baseline,B,B,chop,ichimoku_signals,price_momentum_oscillator_signals,ttm_squeeze_volume_signals,rma_baseline,adx_dmi_exit,40.1,False,-6.628468212977492,-0.0470104128579964,0.9444491647292054,-0.24602924081797853,-7.235459764243575,-0.14938640601482067,44.37129448257748,18.99828919322124,0.14184397163120568,141,91,50,21,0.55,6.6,1.5,2.0,0.05,"{""base"": {""ma_length"": 25}, ""c1"": {""base_len"": 14, ""conversion_len"": 9, ""displacement"": 49, ""span_b_len"": 97}, ""c2"": {""s1"": 28, ""s2"": 16, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 2, ""bb_mult"": 2, ""kc_length"": 20, ""kc_mult"": 1.216696}}",0,49.51871510015593,33.622204249313754,
