sid,src_label,src_mode,slice,c1,c2,vol,base,exit_ind,ft_seconds,adopted,ft_total_R,ft_expectancy_R,ft_profit_factor,ft_sharpe,ft_sortino,ft_calmar,ft_max_dd_R,ft_ulcer_R,ft_win_rate,ft_n_blind,ft_n_w2,ft_n_w3,ft_risk_atr_len,ft_risk_atr_mult,ft_risk_tp_mult,ft_risk_trail_mult,ft_risk_trail_arm,ft_risk_be_pct,ft_ip2,variants,prev_total_R,prev_sortino,at_edge,costed
B|chop|bears_bulls_impulse_signals|ssl_channel_signals|variance_volume_signals|kama_baseline,B,B,chop,bears_bulls_impulse_signals,ssl_channel_signals,variance_volume_signals,kama_baseline,adx_dmi_exit,123.2,False,-64.56150842080135,-0.31647798245490855,0.7156004200620517,-1.1774280153299352,-25.505824903509808,-0.8533272471095573,75.65855729966208,40.92129851659531,0.04411764705882353,204,131,73,2,0.15,3.2,1.5,2.0,0.05,"{""base"": {""fast_length"": 2, ""length"": 28, ""slow_length"": 37}, ""c1"": {""length"": 3}, ""c2"": {""len"": 100}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 37, ""hline"": 0, ""lookback"": 20}}",0,79.17089918031324,35.67972074837336,,True
B|chop|dspo_signals|dpo_signals|variance_volume_signals|rma_baseline,B,B,chop,dspo_signals,dpo_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,103.1,False,-107.34629846381911,-0.3861377642583421,0.6114392241467944,-1.6393499209371765,-24.58972691402767,-0.7969072516934007,134.70362860384554,91.03947737720557,0.08992805755395683,278,124,154,21,0.85,6.5,1.5,2.0,0.05,"{""base"": {""ma_length"": 37}, ""c1"": {""len"": 5}, ""c2"": {""len"": 62}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 16}}",0,114.82511314710972,25.563371592502424,,True
B|chop|ichimoku_signals|price_momentum_oscillator_signals|choppiness_index_volume_signals|rma_baseline,B,B,chop,ichimoku_signals,price_momentum_oscillator_signals,choppiness_index_volume_signals,rma_baseline,adx_dmi_exit,90.6,True,83.26420487754831,0.6556236604531362,1.7395340883557542,1.8376251573678681,41.627952078620154,1.8962436307549917,43.91007754863048,20.695325928636727,0.15748031496062992,127,80,47,2,0.55,8.0,1.5,2.0,0.05,"{""base"": {""ma_length"": 20}, ""c1"": {""base_len"": 21, ""conversion_len"": 39, ""displacement"": 3, ""span_b_len"": 5}, ""c2"": {""s1"": 43, ""s2"": 25, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ci_threshold"": 61.8, ""length"": 26}}",0,65.32607098085406,30.76820596539089,tp_mult,True
B|chop|center_of_gravity_signals|qqe_mod_signals|variance_volume_signals|sma_baseline,B,B,chop,center_of_gravity_signals,qqe_mod_signals,variance_volume_signals,sma_baseline,adx_dmi_exit,229.7,False,24.42835704252425,0.10484273408808692,1.1477348903051632,0.8705326363784318,6.746801654953098,0.7060822735688659,34.59704053898996,14.352590074116643,0.27467811158798283,233,150,83,4,0.35,1.8,1.5,2.0,0.05,"{""base"": {""length"": 37}, ""c1"": {""length"": 66, ""signal_length"": 9}, ""c2"": {""fast_factor"": 1.61, ""rsi_len"": 5, ""rsi_period"": 7}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 57}}",0,78.02090116021003,24.80465285882668,,True
B|chop|polychromatic_momentum_signals|bears_bulls_impulse_signals|variance_volume_signals|rma_baseline,B,B,chop,polychromatic_momentum_signals,bears_bulls_impulse_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,83.2,False,28.195261518313018,0.15664034176840566,1.1955314061301854,0.8573828965289192,13.062212572336032,0.6219421159746673,45.33422129505932,22.255240681800814,0.25,180,111,69,8,0.35,7.15,1.5,2.0,0.05,"{""base"": {""ma_length"": 5}, ""c1"": {""len"": 14}, ""c2"": {""length"": 7}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 87}}",0,59.125004870713454,28.971658813965412,,True
B|chop|glitch_index_signals|linreg_slope_signals|variance_volume_signals|fantail_vma,B,B,chop,glitch_index_signals,linreg_slope_signals,variance_volume_signals,fantail_vma,adx_dmi_exit,183.2,False,15.215083716904655,0.09110828572996799,1.09397780402054,0.37576779066737803,10.121369809963431,0.4405330664076692,34.53789256042955,19.099008858963952,0.17365269461077845,167,96,71,14,0.7,2.25,1.5,2.0,0.05,"{""base"": {""fma_adx_length"": 6, ""fma_ma_length"": 39, ""fma_weighting"": 12}, ""c1"": {""length"": 30, ""multiplier"": 1, ""smooth"": 3}, ""c2"": {""length"": 17, ""r2_floor"": 0.162226}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 7}}",0,51.50513429093179,75.88471358018299,,True
B|chop|waddah_attar_explosion_signals|ssl_channel_signals|waddah_attar_explosion_volume_signals|fantail_vma,B,B,chop,waddah_attar_explosion_signals,ssl_channel_signals,waddah_attar_explosion_volume_signals,fantail_vma,adx_dmi_exit,530.6,False,-31.41196809385039,-0.2326812451396325,0.7247548907704653,-1.6877472946103869,-15.447949426400921,-0.6278363488064017,50.032095391687044,25.862561163077693,0.17777777777777778,135,92,43,6,0.35,4.65,1.5,2.0,0.05,"{""base"": {""fma_adx_length"": 4, ""fma_ma_length"": 3, ""fma_weighting"": 10}, ""c1"": {""bbLen"": 20, ""bbStd"": 9, ""fastEma"": 5, ""sensitivity"": 35, ""slowEma"": 75}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 20, ""bbStd"": 2, ""fastEma"": 200, ""sensitivity"": 53, ""slowEma"": 32}}",0,53.63961379081495,31.13866617374187,,True
B|trend|bears_bulls_impulse_signals|lemantrend_signals|variance_volume_signals|t3_baseline,B,B,trend,bears_bulls_impulse_signals,lemantrend_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,325.5,False,-62.55016410701285,-0.35948370176444167,0.1969307592855709,-11.813961047273862,-51.47949378007511,-0.9920132791006918,63.0537568647444,41.07408431296541,0.11494252873563218,174,116,58,3,0.9,8.0,0.85,1.0,0.001,"{""base"": {""length"": 8, ""volume_factor"": 0.7}, ""c1"": {""length"": 86}, ""c2"": {""fast_period"": 18, ""medium_period"": 210, ""slow_period"": 13, ""smooth"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 87}}",0,50.49506634356822,37.67061956570058,tp_mult,True
B|chop|bears_bulls_impulse_signals|parabolic_sar_signals|williams_vix_fix_volume_signals|mcginley_dynamic_index,B,B,chop,bears_bulls_impulse_signals,parabolic_sar_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,adx_dmi_exit,81.2,False,-32.37424770928636,-0.2075272289056818,0.7872775889328896,-0.9456738764651786,-18.311422471819643,-0.4610023047017565,70.22578277614195,40.23805124770021,0.14102564102564102,156,101,55,38,0.7,5.95,1.5,2.0,0.05,"{""base"": {""mci_length"": 14}, ""c1"": {""length"": 37}, ""c2"": {""sar_increment"": 0.016223, ""sar_maximum"": 0.070224, ""sar_start"": 0.010673}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 3}}",0,50.19474865332096,34.95988680321942,,True
B|trend|coral_signals|rex_oscillator_signals|williams_vix_fix_volume_signals|rma_baseline,B,B,trend,coral_signals,rex_oscillator_signals,williams_vix_fix_volume_signals,rma_baseline,adx_dmi_exit,124.6,True,94.68348284217024,0.7890290236847519,2.9085993879978327,4.198294565015325,220.46723766736102,6.382099340419638,14.835789572016374,6.285303568713022,0.225,120,76,44,50,0.3,8.0,0.95,2.6,0.05,"{""base"": {""ma_length"": 25}, ""c1"": {""const_d"": 2, ""smooth_period"": 10}, ""c2"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 12, ""sigVolAdj"": 10, ""smooth"": 14, ""volAdj"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 7, ""bb_mult"": 2, ""lookback"": 2}}",0,48.252501033453505,40.43395722089085,tp_mult,True
