rank,src,c_R,h_R,c_dd,h_dd,c_so,h_so,c_ca,h_ca,c_n,h_n
1,B,100.23062537660182,21.064774590534416,12.246053368860998,16.87521762438614,35.30623049498913,6.305993345405302,8.184728774044551,1.248266840724709,304,330
2,B,105.7268769972195,50.643016345121225,4.387839231592906,10.418936470849367,36.32095783430188,15.815520318272021,24.09543089819126,4.860670423206135,150,161
3,B,84.68634574918057,23.469750499165556,13.887509674378947,13.887509674378908,30.69580300279451,5.740511439586695,6.098022448576099,1.6899898577543346,146,214
4,B,67.92328696132635,22.39584256895944,7.368889301726057,11.804363945641967,34.43866306876783,6.8332304651391125,9.217574614048862,1.8972511074794272,117,171
5,B,85.58219449712195,68.00150964569572,8.13367892138649,8.13367892138649,34.61356103421409,29.809228716573653,10.521953881421885,8.360486110030022,202,186
6,A-trend,61.039617867916974,44.9533337564975,7.744156575597636,9.18984323852938,32.05381329248005,17.356562354911905,7.882022693117668,4.8916322715958795,192,314
7,B,73.01516186285954,36.64554466858273,10.944312171819995,15.015500436008754,34.28814423289977,12.32979839673794,6.671516740070968,2.4405143754451797,126,208
8,A-trend,65.105603680722,37.97920910384962,3.3376413255381863,7.901658048855128,49.35332735651849,21.77735815712151,19.506470986730093,4.80648603989544,142,220
9,B,68.17331479212649,26.825840995246864,6.064067437898231,9.778269553006266,28.12588073157839,8.760381212927161,11.242176227471994,2.74341393943261,222,232
10,B,74.25691046640833,-2.229704211384245,15.163722472929251,25.534442025792615,27.193134303475826,-0.4857765945926756,4.89701065150553,-0.08732143859388025,268,334
11,B,91.99957813524433,51.318297227333176,5.585055103708385,7.305846842675168,25.649215109486427,17.912213261727256,16.4724566592294,7.024277723366844,201,164
12,B,74.26367634702895,26.415182115696883,5.487246305492349,8.398938910645537,34.39096804738152,14.578642154910456,13.533869670238097,3.1450618222994824,172,156
13,B,119.89890326438454,42.42088771006824,9.700516126991673,15.159490526045094,25.57505777250604,8.802074933166365,12.360054011019683,2.798305631524101,233,257
14,B,138.91102637194342,9.595742586273314,5.933225296876913,16.463492266660193,62.11308466167701,3.004486315654668,23.412397038936376,0.5828497642450632,230,236
15,B,117.97770970448917,129.6936249799582,8.642571006057324,11.836422732934352,26.014261639989748,13.773257204424528,13.650765451831644,10.957163993399044,464,698
