si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.027176690537571657,-10.004365950638684,-0.9486853136532649,0.8571428571428571,28,-0.011350972541420146,-3.3261629166472924,-0.9392735535675966,0.6071428571428571,28,0.33247113640769493,True,panelvol_5,cross-sectional,5
-0.036188432714880425,-17.348260120656736,-0.9449178504240912,1.0,28,-0.012091855330085333,-4.66868173368801,-0.9671495389040267,0.6785714285714286,28,0.2691152715729093,True,panelvol_5,cross-sectional,10
-0.022592691063392734,-12.940061967072438,-0.9269380467363975,0.9285714285714286,28,-0.011532627989296912,-5.407229941643568,-0.8985575077118761,0.6785714285714286,28,0.4178673916247791,True,panelvol_5,cross-sectional,15
-0.02249297209220938,-14.847156001705276,-0.9435889691786543,0.8928571428571429,28,-0.01992597109739616,-10.6778983300866,-0.8668202872781636,0.8928571428571429,28,0.7191881279391277,True,panelvol_5,cross-sectional,20
-0.03199721808039563,-11.77665448988933,-0.9079614658285369,0.9642857142857143,28,-0.011742548183127088,-3.4324700933730257,-0.8479001818024299,0.6071428571428571,28,0.29146393793924424,True,paneldisp_10,cross-sectional,5
-0.039830475330713155,-19.20683528994813,-0.9486149557944739,0.9642857142857143,28,-0.009216078910324443,-3.5616777202846706,-0.7776705805934685,0.6428571428571429,28,0.1854380311236734,True,paneldisp_10,cross-sectional,10
-0.0324857854698207,-18.738487397704343,-0.9738956739300961,0.9285714285714286,28,-0.022547536976202903,-10.464114159429183,-0.8175340031206392,0.7857142857142857,28,0.5584289669352471,True,paneldisp_10,cross-sectional,15
-0.03107143666574061,-20.53841303691142,-0.9814799699326295,0.9285714285714286,28,-0.03204659562506387,-17.3125492221318,-0.7848081949448128,0.8928571428571429,28,0.8429350987838188,True,paneldisp_10,cross-sectional,20
-0.03373200505427432,-12.43857804418066,-0.9023501990393659,0.9642857142857143,28,-0.010505648303734128,-3.067735907199577,-0.8380787953411927,0.6428571428571429,28,0.2466307560481003,True,panelvol_10,cross-sectional,5
-0.042983424095196066,-20.73565290665424,-0.9805727881985039,0.9642857142857143,28,-0.016064355753656945,-6.211088491510443,-0.8855416898221796,0.7142857142857143,28,0.29953667335535183,True,panelvol_10,cross-sectional,10
-0.030212905345949725,-17.406140320492174,-0.9820705412118712,0.9285714285714286,28,-0.020053332246538463,-9.279197111594804,-0.7219836631765182,0.75,28,0.5330990639361011,True,panelvol_10,cross-sectional,15
-0.02871954883431657,-19.011724128978777,-0.9938279005999123,0.9285714285714286,28,-0.02650380215220488,-14.265766739458345,-0.7759701452146535,0.8571428571428571,28,0.7503668074855785,True,panelvol_10,cross-sectional,20
-0.03608518668922173,-13.290813630401898,-0.9436195233004123,0.9642857142857143,28,-0.012973213199873102,-3.798893927826216,-0.9286535078215841,0.7142857142857143,28,0.2858285454501059,True,paneldisp_15,cross-sectional,5
