run,offset,n_survivors,eff_rank1,eff_rank2,eff_rank3,eff_rank5,eff_rank10,eff_rank32
0,5645,0,,,,,,
1,4072,1,0.036522852553696056,,,,,
2,4363,0,,,,,,
3,5410,1,0.049916667033142764,,,,,
4,3842,0,,,,,,
5,4813,0,,,,,,
6,5098,0,,,,,,
7,2107,1,0.03716718955169651,,,,,
8,1272,0,,,,,,
9,2475,0,,,,,,
10,2401,0,,,,,,
11,5294,0,,,,,,
12,5486,0,,,,,,
13,1025,1,0.051879196535978195,,,,,
14,3456,0,,,,,,
15,5037,0,,,,,,
16,1646,0,,,,,,
17,4918,0,,,,,,
18,1585,0,,,,,,
19,3300,1,0.025489521024270045,,,,,
20,5013,0,,,,,,
21,2489,2,0.04169008875194294,0.034905282492846273,,,,
22,2679,0,,,,,,
23,2368,0,,,,,,
24,4536,0,,,,,,
25,2252,3,0.04673028717546665,0.04376494575699416,0.03879961876472754,,,
26,5869,0,,,,,,
27,3187,0,,,,,,
28,3350,1,0.02722420881741705,,,,,
29,3480,0,,,,,,
30,3863,0,,,,,,
31,3720,0,,,,,,
32,3504,0,,,,,,
33,5893,0,,,,,,
34,4970,0,,,,,,
35,4896,0,,,,,,
36,4442,0,,,,,,
37,4058,2,0.04741546663722085,0.03988656180245537,,,,
38,2676,0,,,,,,
39,5861,0,,,,,,
40,3291,0,,,,,,
41,2058,0,,,,,,
42,5154,0,,,,,,
43,1787,0,,,,,,
44,5215,0,,,,,,
45,4011,0,,,,,,
46,1563,0,,,,,,
47,1216,0,,,,,,
48,3186,0,,,,,,
49,1175,3,0.055108062003284386,0.04643493052124914,0.045774046869386215,,,
