ip1 recovery (all): 101 strategies this shard (11/16), 36 already banked
  1/101  231 s each  ~6.4 h left
  2/101  162 s each  ~4.5 h left
  3/101  135 s each  ~3.7 h left
  4/101  133 s each  ~3.6 h left
  5/101  136 s each  ~3.6 h left
  6/101  133 s each  ~3.5 h left
  7/101  141 s each  ~3.7 h left
  8/101  135 s each  ~3.5 h left
  9/101  136 s each  ~3.5 h left
  10/101  138 s each  ~3.5 h left
  11/101  137 s each  ~3.4 h left
  12/101  142 s each  ~3.5 h left
  13/101  136 s each  ~3.3 h left
  14/101  131 s each  ~3.2 h left
  15/101  129 s each  ~3.1 h left
  16/101  126 s each  ~3.0 h left
/opt/fx/code/l2lib.py:1856: RuntimeWarning: overflow encountered in scalar multiply
  fama[i] = .5 * al * mama[i] + (1 - .5 * al) * fama[i - 1]
/opt/fx/code/l2lib.py:1855: RuntimeWarning: overflow encountered in scalar multiply
  mama[i] = al * src[i] + (1 - al) * mama[i - 1]
/opt/fx/code/l2lib.py:1856: RuntimeWarning: invalid value encountered in scalar add
  fama[i] = .5 * al * mama[i] + (1 - .5 * al) * fama[i - 1]
/opt/fx/code/l2lib.py:1856: RuntimeWarning: overflow encountered in scalar add
  fama[i] = .5 * al * mama[i] + (1 - .5 * al) * fama[i - 1]
  17/101  131 s each  ~3.0 h left
  18/101  132 s each  ~3.0 h left
  19/101  132 s each  ~3.0 h left
  20/101  133 s each  ~3.0 h left
  21/101  131 s each  ~2.9 h left
  22/101  128 s each  ~2.8 h left
  23/101  126 s each  ~2.7 h left
  24/101  131 s each  ~2.8 h left
  25/101  130 s each  ~2.7 h left
  26/101  129 s each  ~2.7 h left
  27/101  128 s each  ~2.6 h left
  28/101  126 s each  ~2.6 h left
  29/101  126 s each  ~2.5 h left
  30/101  125 s each  ~2.5 h left
  31/101  127 s each  ~2.5 h left
  32/101  125 s each  ~2.4 h left
  33/101  126 s each  ~2.4 h left
  34/101  127 s each  ~2.4 h left
/opt/fx/code/l2lib.py:1881: RuntimeWarning: overflow encountered in scalar multiply
  sm = r if not np.isfinite(sm) else price_smooth * r + (1 - price_smooth) * sm
/opt/fx/code/l2lib.py:1884: RuntimeWarning: overflow encountered in scalar multiply
  st = fr if not np.isfinite(st) else index_smooth * fr + (1 - index_smooth) * st
  35/101  130 s each  ~2.4 h left
  36/101  131 s each  ~2.4 h left
  37/101  134 s each  ~2.4 h left
  38/101  134 s each  ~2.3 h left
  39/101  135 s each  ~2.3 h left
  40/101  135 s each  ~2.3 h left
  41/101  137 s each  ~2.3 h left
  42/101  141 s each  ~2.3 h left
  43/101  144 s each  ~2.3 h left
  44/101  149 s each  ~2.4 h left
  45/101  150 s each  ~2.3 h left
  46/101  151 s each  ~2.3 h left
  47/101  150 s each  ~2.3 h left
  48/101  151 s each  ~2.2 h left
  49/101  149 s each  ~2.2 h left
  50/101  148 s each  ~2.1 h left
  51/101  147 s each  ~2.0 h left
  52/101  148 s each  ~2.0 h left
  53/101  148 s each  ~2.0 h left
  54/101  148 s each  ~1.9 h left
  55/101  148 s each  ~1.9 h left
  56/101  148 s each  ~1.8 h left
  57/101  147 s each  ~1.8 h left
  58/101  147 s each  ~1.8 h left
  59/101  146 s each  ~1.7 h left
  60/101  146 s each  ~1.7 h left
  61/101  145 s each  ~1.6 h left
  62/101  146 s each  ~1.6 h left
  63/101  146 s each  ~1.5 h left
  64/101  148 s each  ~1.5 h left
  65/101  148 s each  ~1.5 h left
  66/101  147 s each  ~1.4 h left
  67/101  146 s each  ~1.4 h left
  68/101  145 s each  ~1.3 h left
  69/101  146 s each  ~1.3 h left
  70/101  146 s each  ~1.3 h left
  71/101  146 s each  ~1.2 h left
  72/101  169 s each  ~1.4 h left
  73/101  171 s each  ~1.3 h left
  74/101  169 s each  ~1.3 h left
  75/101  170 s each  ~1.2 h left
  76/101  169 s each  ~1.2 h left
  77/101  169 s each  ~1.1 h left
  78/101  168 s each  ~1.1 h left
  79/101  169 s each  ~1.0 h left
  80/101  169 s each  ~1.0 h left
  81/101  168 s each  ~0.9 h left
  82/101  167 s each  ~0.9 h left
  83/101  166 s each  ~0.8 h left
  84/101  167 s each  ~0.8 h left
  85/101  167 s each  ~0.7 h left
  86/101  166 s each  ~0.7 h left
  87/101  166 s each  ~0.6 h left
  88/101  166 s each  ~0.6 h left
  89/101  168 s each  ~0.6 h left
  90/101  168 s each  ~0.5 h left
  91/101  167 s each  ~0.5 h left
  92/101  167 s each  ~0.4 h left
  93/101  167 s each  ~0.4 h left
  94/101  168 s each  ~0.3 h left
  95/101  168 s each  ~0.3 h left
  96/101  186 s each  ~0.3 h left
  97/101  185 s each  ~0.2 h left
  98/101  185 s each  ~0.2 h left
  99/101  184 s each  ~0.1 h left
  100/101  184 s each  ~0.1 h left
  101/101  184 s each  ~0.0 h left
DONE in 309.2 min
