s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
ef_5,-1.006,-0.00209,0.5,-0.497,28.0,-0.543,-0.00119,0.607,-0.593,28.0,4,own-price
vr_5,0.047,0.0001,0.571,-0.293,28.0,-3.567,-0.00789,0.714,-0.869,28.0,6,own-price
ac1_5,-1.109,-0.0023,0.643,-0.564,28.0,1.473,0.00324,0.607,0.81,28.0,4,own-price
ac2_5,-0.255,-0.00053,0.536,-0.432,28.0,-4.945,-0.01078,0.679,-0.961,28.0,4,own-price
acsum_5,2.727,0.00558,0.786,0.938,28.0,6.141,0.01344,0.857,0.962,28.0,6,own-price
negac_5,1.335,0.00274,0.536,0.712,28.0,-1.516,-0.00331,0.607,-0.257,28.0,5,own-price
ddhigh_5,4.524,0.00928,0.643,0.694,28.0,6.563,0.01421,0.857,0.662,28.0,4,own-price
ddlow_5,2.662,0.0054,0.643,0.072,28.0,-1.438,-0.00311,0.607,-0.436,28.0,3,own-price
z_5,1.727,0.00357,0.5,0.76,28.0,0.533,0.00117,0.536,0.506,28.0,4,own-price
dpo_5,4.103,0.00836,0.643,0.432,28.0,2.856,0.00609,0.607,0.437,28.0,4,own-price
pctabove_5,4.961,0.01022,0.643,0.906,28.0,4.893,0.01067,0.571,0.858,28.0,4,own-price
bbw_5,-8.825,-0.01829,0.75,-0.931,28.0,-7.883,-0.01728,0.786,-0.977,28.0,6,own-price
rngcomp_5,-2.144,-0.00443,0.607,-0.792,28.0,-3.133,-0.00686,0.75,-0.923,28.0,5,own-price
volratio_5,2.101,0.00433,0.643,0.798,28.0,-0.069,-0.00015,0.571,0.335,28.0,2,own-price
dens_5,0.641,0.00133,0.464,0.516,28.0,-0.19,-0.00041,0.571,-0.107,28.0,2,own-price
ampratio_5,1.057,0.00219,0.5,0.501,28.0,0.621,0.00136,0.607,0.629,28.0,4,own-price
maslope_5,2.436,0.00505,0.571,0.858,28.0,1.053,0.00232,0.464,0.747,28.0,4,own-price
slopet_5,1.852,0.00384,0.607,0.839,28.0,0.346,0.00076,0.429,0.465,28.0,4,own-price
r2_5,-1.11,-0.00229,0.536,-0.246,28.0,-0.611,-0.00134,0.536,-0.684,28.0,5,own-price
hma_5,0.724,0.00149,0.5,0.842,28.0,-0.432,-0.00096,0.5,-0.172,28.0,3,own-price
kurt_5,-1.627,-0.00337,0.571,-0.901,28.0,-0.02,-4e-05,0.5,-0.283,28.0,3,own-price
skew_5,-2.061,-0.00427,0.643,-0.959,28.0,0.423,0.00093,0.464,-0.162,28.0,3,own-price
cv_5,-0.097,-0.0002,0.536,-0.425,28.0,1.566,0.00345,0.571,0.788,28.0,4,own-price
sharpe_5,3.081,0.00637,0.714,0.906,28.0,1.165,0.00255,0.5,0.656,28.0,3,own-price
absmom_5,-0.466,-0.00097,0.464,-0.37,28.0,-0.997,-0.00218,0.571,-0.606,28.0,6,own-price
turn_5,5.143,0.0107,0.607,0.868,28.0,0.837,0.00182,0.536,0.17,28.0,4,own-price
runmax_5,0.265,0.00055,0.464,-0.383,28.0,3.048,0.00657,0.679,0.514,28.0,3,own-price
signent_5,,,0.0,,0.0,,,0.0,,0.0,0,own-price
rsi_5,2.265,0.00469,0.643,0.867,28.0,1.64,0.00359,0.5,0.691,28.0,4,own-price
