pair,raw_bars,sunday_remapped,nonweekday_left,collision_dropped,clamped_high,clamped_low,clamp_max_pips,suspect_spike,suspect_flat,suspect,clean_bars,med_diff_raw_pct,matched_raw,med_diff_clean_pct,matched_clean
AUDCAD,5911,691,0,23,59,67,18.113754377489986,2,15,17,5888,0.1794,4989,0.1747,5649
AUDCHF,5883,685,0,23,145,145,180.51282051282112,4,24,28,5860,0.21,4968,0.2019,5622
AUDJPY,5911,691,0,23,114,111,18.58363033595701,6,13,19,5888,0.2397,4988,0.2362,5648
AUDNZD,5911,691,0,23,99,58,38.34492598537516,0,12,12,5888,0.1466,4988,0.1433,5648
AUDUSD,5267,621,0,20,65,78,45.53573853017672,2,13,15,5247,0.2241,4437,0.2172,5030
CADCHF,5908,691,0,23,55,40,87.52932683630951,0,4,4,5885,0.198,4985,0.1914,5645
CADJPY,5721,670,0,22,85,86,49.44131462794367,2,14,16,5699,0.2329,4825,0.2248,5465
CHFJPY,5910,691,0,23,93,82,31.575541805989303,2,12,14,5887,0.1805,4987,0.1751,5647
EURAUD,5908,691,0,23,78,64,105.7197072377342,2,12,14,5885,0.1818,4987,0.1757,5647
EURCAD,5895,687,0,23,41,40,172.622195361487,0,4,4,5872,0.1767,4976,0.1721,5632
EURCHF,6115,717,0,24,37,41,684.9510749232204,2,14,16,6091,0.0919,5160,0.0906,5844
EURGBP,7192,844,0,28,32,37,999.080694586312,2,9,11,7164,0.1432,6071,0.1429,6878
EURJPY,6117,717,0,24,116,113,113.01798326622273,0,12,12,6093,0.1859,5162,0.186,5846
EURNZD,5909,691,0,23,111,82,108.83270289999413,0,4,4,5886,0.2062,4987,0.2001,5647
EURUSD,5892,687,0,23,53,73,211.79292424545375,10,14,24,5869,0.1647,4973,0.1612,5629
GBPAUD,6038,711,0,23,82,82,41.22530775837316,6,12,18,6015,0.1887,5092,0.186,5771
GBPCAD,5909,691,0,23,51,42,103.7634194037604,0,12,12,5886,0.1816,4987,0.1766,5647
GBPCHF,5950,694,0,23,40,55,687.2615846413614,2,2,4,5927,0.1531,5022,0.1512,5685
GBPJPY,5908,691,0,23,106,78,86.38726331382735,0,13,13,5885,0.2015,4986,0.1972,5646
GBPNZD,6036,710,0,23,93,77,118.98281359359275,0,4,4,6013,0.2205,5092,0.2122,5770
GBPUSD,5904,691,0,23,52,49,126.82516405376305,0,17,17,5881,0.1732,4982,0.1697,5642
NZDCAD,5908,691,0,23,78,72,26.815902996384995,0,15,15,5885,0.218,4986,0.2134,5646
NZDCHF,5881,687,0,23,64,63,20.765736534718314,0,13,13,5858,0.2399,4963,0.2314,5619
NZDJPY,5908,691,0,23,121,112,60.94604123099982,7,12,19,5885,0.2663,4986,0.2609,5646
NZDUSD,5893,687,0,22,180,183,147.7267294545107,0,20,20,5871,0.2546,4976,0.2483,5633
USDCAD,5960,696,0,23,56,57,102.0333794912908,0,3,3,5937,0.1712,5029,0.1667,5694
USDCHF,5958,696,0,23,47,53,47.50189250567775,2,14,16,5935,0.1771,5027,0.1711,5692
USDJPY,7327,861,0,28,131,126,46.52863195188562,6,5,11,7299,0.1828,6055,0.181,6858
